"Daily Weather Observations for Penrith, New South Wales for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2111.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,17.3,24.8,0,,,S,39,08:45,20.0,65,,SSW,15,,23.7,51,,S,22,
,2025-04-2,14.9,25.9,0,,,NNE,20,15:14,16.2,80,,ENE,4,,24.9,35,,N,6,
,2025-04-3,11.8,27.6,0,,,SSE,26,13:35,15.4,89,,NNE,6,,27.2,31,,SSE,13,
,2025-04-4,12.7,27.3,0,,,ESE,26,16:33,18.5,77,, ,Calm,,25.7,48,,NE,7,
,2025-04-5,13.3,27.8,0,,,SSW,30,15:07,17.6,68,,SE,2,,27.2,23,,ESE,7,
,2025-04-6,11.7,29.6,0,,,WNW,28,19:43,17.9,71,,N,4,,26.2,25,,NW,7,
,2025-04-7,11.7,28.0,0,,,SW,30,14:45,21.6,41,,N,7,,27.7,24,,WSW,15,
,2025-04-8,16.4,24.2,0,,,E,20,16:53,19.9,67,,SSW,4,,22.7,55,,ESE,9,
,2025-04-9,15.4,26.3,0,,,ENE,28,16:13,18.9,80,,SSW,2,,25.5,44,,NNE,9,
,2025-04-10,14.2,25.2,0,,,N,11,15:30,17.2,89,, ,Calm,,24.5,59,,NW,4,
,2025-04-11,13.1,30.9,0,,,SE,31,16:30,18.6,85,,N,4,,30.8,34,,NNW,6,
,2025-04-12,16.3,27.9,0,,,ENE,22,15:52,22.8,67,,SSW,13,,26.5,51,,ESE,13,
,2025-04-13,14.7,27.5,0,,,ENE,20,17:21,17.9,98,,NW,4,,27.2,46,,NNE,7,
,2025-04-14,13.4,29.8,0,,,SSE,41,14:33,19.0,85,,N,6,,27.0,46,,SE,26,
,2025-04-15,17.3,24.3,0.2,,,S,39,13:29,20.8,65,,S,15,,24.2,38,,S,11,
,2025-04-16,15.9,24.1,0.2,,,SSW,24,09:25,19.5,55,,SSW,13,,23.8,46,,SSW,9,
,2025-04-17,16.4,26.4,0,,,SSE,31,13:20,21.0,59,,S,13,,24.9,40,,SSE,13,
,2025-04-18,11.1,27.1,0,,,S,11,12:58,18.9,65,,NNW,4,,26.9,32,,WSW,4,
,2025-04-19,11.1,30.7,0,,,NE,24,16:26,18.2,74,,SE,4,,30.3,32,,N,6,
,2025-04-20,11.0,30.8,0,,,N,17,13:18,18.6,65,,SSE,2,,29.5,30,,NNE,7,
,2025-04-21,14.4,28.1,0,,,NW,28,13:03,19.9,73,,SSW,4,,27.5,24,,SW,6,
,2025-04-22,12.9,25.2,0,,,SSE,59,14:11,20.2,66,,SW,11,,20.2,88,,SSW,13,
,2025-04-23,17.6,25.0,8.4,,,ENE,39,13:17,21.1,80,,S,9,,18.9,87,,W,6,
,2025-04-24,15.4,24.9,13.4,,,E,24,15:01,20.2,89,,SSW,2,,24.2,61,,ESE,13,
,2025-04-25,14.8,24.7,0.6,,,ENE,22,15:52,18.9,87,,SE,4,,23.4,68,,ENE,11,
,2025-04-26,14.1,24.5,0,,,NE,33,22:51,16.6,99,,NE,2,,23.5,66,,W,4,
,2025-04-27,16.6,21.3,17.4,,,SSW,44,12:19,17.8,96,,SSW,9,,19.9,80,,SSW,13,
,2025-04-28,17.1,23.1,7.8,,,SW,37,08:28,21.0,65,,SSW,19,,22.0,63,,WSW,2,
,2025-04-29,12.9,25.3,0,,,S,44,14:52,18.4,82,,NE,2,,17.8,73,,SSW,28,
,2025-04-30,15.0,18.8,11.2,,,SSW,43,12:49,17.4,74,,SSW,13,,16.1,70,,SSW,22,
