"Daily Weather Observations for Penrith, New South Wales for July 2025"
"Prepared at 13:00 UTC on Thursday 21 August 2025   IDCJDW2111.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,7.5,15.7,2.2,,,WSW,104,18:27,11.7,86,,SW,17,,10.7,88,,WSW,28,
,2025-07-2,10.3,18.9,38.0,,,SW,65,01:33,15.7,68,,SSW,24,,17.2,60,,SW,24,
,2025-07-3,13.2,18.8,5.2,,,SW,48,00:31,15.8,55,,SW,19,,18.5,46,,SW,11,
,2025-07-4,5.7,18.9,0,,,SSE,22,14:01,13.2,70,,N,4,,18.6,41,,SSE,7,
,2025-07-5,4.0,17.2,0,,,N,9,14:50,6.3,99,, ,Calm,,16.8,66,,NNE,7,
,2025-07-6,6.3,22.9,0,,,W,54,17:32,11.4,92,,NNE,2,,22.4,49,,N,4,
,2025-07-7,7.4,17.7,4.0,,,SW,28,12:31,11.9,84,, ,Calm,,15.9,56,,SW,6,
,2025-07-8,4.4,16.0,0,,,ENE,20,21:49,7.3,99,, ,Calm,,14.2,73,,WNW,2,
,2025-07-9,4.9,20.4,0,,,NNE,15,14:45,9.3,83,,SSW,6,,20.0,46,,NNE,7,
,2025-07-10,5.2,15.8,0,,,NW,76,11:38,14.8,42,,NW,39,,13.8,49,,WNW,31,
,2025-07-11,5.8,18.9,0,,,W,46,13:53,11.0,66,,S,4,,17.6,40,,WSW,17,
,2025-07-12,4.0,20.0,0,,,SSE,11,14:51,9.6,87,, ,Calm,,19.6,38,,SSW,6,
,2025-07-13,2.8,17.7,0,,,NW,48,21:11,6.8,95,, ,Calm,,17.4,40,,NNW,19,
,2025-07-14,6.7,20.1,0,,,W,57,02:15,16.0,46,, ,Calm,,19.8,25,,WNW,4,
,2025-07-15,3.9,14.8,0,,,SSW,15,00:53,6.8,86,,NNE,6,,14.4,53,,ESE,6,
,2025-07-16,0.8,18.9,0,,,WSW,15,19:32,6.6,93,, ,Calm,,18.3,39,, ,Calm,
,2025-07-17,1.5,16.7,0,,,ESE,9,23:04,4.9,99,, ,Calm,,16.2,46,,W,4,
,2025-07-18,3.5,15.2,0.2,,,SSW,26,10:41,8.4,90,, ,Calm,,14.6,61,,S,7,
,2025-07-19,2.2,18.8,0,,,WNW,13,19:10,8.0,91,, ,Calm,,18.2,43,,N,4,
,2025-07-20,-0.3,18.8,0.2,,,SE,30,15:11,4.7,98,, ,Calm,,17.7,50,,SSE,9,
,2025-07-21,4.6,19.9,0.8,,,NE,17,14:47,10.6,94,, ,Calm,,18.5,58,,NE,9,
,2025-07-22,8.4,18.9,0,,,NNE,26,15:20,9.2,99,,NNW,6,,18.7,66,,NNE,13,
,2025-07-23,9.2,20.1,0.6,,,W,37,13:35,13.6,86,,W,4,,18.0,37,,WSW,13,
,2025-07-24,2.4,18.0,0.2,,,SW,22,12:23,7.2,89,,N,2,,17.4,27,,SW,9,
,2025-07-25,0.8,17.5,0,,,NNE,22,14:49,5.3,98,, ,Calm,,16.9,37,,NNE,15,
,2025-07-26,5.2,20.0,2.4,,,NNW,39,14:24,9.7,94,,NNW,4,,19.6,53,,N,11,
,2025-07-27,8.5,19.4,0,,,NW,46,15:29,11.3,86,,W,2,,16.6,50,,NW,22,
,2025-07-28,10.9,19.0,0,,,W,50,11:27,15.7,48,,NW,11,,16.8,42,,WNW,20,
,2025-07-29,7.5,19.0,0,,,WNW,31,02:20,10.4,78,,SE,4,,18.5,44,,WSW,7,
,2025-07-30,9.3,13.1,0,,,SSW,26,17:54,10.8,83,,SSW,6,,10.8,92,,SSW,9,
,2025-07-31,10.0,16.3,11.2,,,SSW,43,10:23,12.9,68,,S,19,,14.9,56,,S,17,
