"Daily Weather Observations for Penrith, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2111.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Penrith Lakes AWS {station 067113}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,9.3,15.1,0,,,SSW,31,12:24,12.4,67,,SSW,13,,14.9,61,,S,9,
,2025-08-2,10.6,15.0,15.6,,,SW,44,19:31,11.6,96,,SSW,9,,13.6,88,,SSW,20,
,2025-08-3,11.5,16.9,14.0,,,S,41,11:50,14.9,79,,SSW,15,,15.2,88,,SSW,11,
,2025-08-4,10.6,18.4,3.2,,,SSE,22,10:53,15.6,78,,SSW,9,,15.4,92,,S,6,
,2025-08-5,8.0,22.0,0.6,,,N,22,14:46,9.1,99,,SSE,4,,20.1,59,,N,15,
,2025-08-6,5.8,19.9,0.2,,,SSW,28,11:16,12.5,77,,WNW,2,,18.8,37,,S,13,
,2025-08-7,5.7,16.8,0,,,S,22,10:58,13.4,73,,SSW,7,,16.1,58,,SE,7,
,2025-08-8,11.0,16.8,0,,,SSE,20,15:22,12.5,74,,S,4,,16.3,53,,SSE,13,
,2025-08-9,10.7,17.3,2.2,,,SE,37,14:57,13.1,89,,S,6,,13.2,84,,SE,24,
,2025-08-10,10.8,17.6,2.2,,,S,26,11:17,14.0,79,,SSW,13,,15.4,74,,W,2,
,2025-08-11,7.3,17.9,1.4,,,S,22,10:22,13.0,71,,SSW,9,,17.2,53,,SSE,6,
,2025-08-12,5.0,18.9,1.2,,,ENE,13,12:32,9.5,89,,N,2,,18.8,45,,NNW,4,
,2025-08-13,4.8,19.2,0.2,,,SSE,19,14:13,10.6,88,, ,Calm,,18.1,43,,SSW,7,
,2025-08-14,9.5,16.9,0,,,SSE,37,14:35,13.4,59,,SSW,15,,13.8,89,,SE,7,
,2025-08-15,7.2,20.7,1.8,,,NE,19,16:18,12.5,92,,WSW,2,,18.5,61,,NNE,11,
,2025-08-16,8.3,20.1,0,,,W,44,13:44,16.2,58,,NNW,2,,18.7,36,,W,15,
,2025-08-17,2.8,17.2,0,,,SW,39,10:24,10.9,61,,SSE,4,,15.1,39,,SSE,7,
,2025-08-18,2.9,16.3,0,,,SE,33,12:35,12.1,53,,SSW,11,,12.8,64,,ESE,15,
,2025-08-19,8.8,17.6,2.6,,,SW,24,09:28,12.9,77,,SSW,11,,15.1,69,,S,13,
,2025-08-20,9.0,13.6,4.4,,,SE,22,12:14,11.9,92,,S,6,,12.4,96,,S,7,
,2025-08-21,11.4,14.8,40.4,,,WNW,20,14:24,12.9,98,,SW,6,,12.7,89,,W,9,
,2025-08-22,10.4,18.4,10.2,,,ESE,15,12:53,13.7,92,,SSE,9,,17.6,74,,ESE,4,
,2025-08-23,8.8,21.8,0.2,,,SSW,41,10:49,15.4,80,,W,6,,20.6,47,,SSE,6,
,2025-08-24,8.9,20.2,0,,,S,31,20:06,15.2,48,,SSW,15,,19.1,45,,SSE,11,
,2025-08-25,9.0,23.6,0,,,ENE,19,19:19,13.8,84,,NW,2,,23.4,52,,SSW,4,
,2025-08-26,10.4,25.8,0,,,N,33,16:16,12.8,99,,SSE,6,,25.7,43,,NE,19,
,2025-08-27,12.6,21.7,0,,,W,59,10:34,21.3,46,,NW,24,,18.1,47,,NW,20,
,2025-08-28,10.5,19.6,0,,,W,69,12:52,16.7,36,,NE,6,,18.7,32,,WNW,31,
,2025-08-29,9.5,20.7,0,,,WNW,69,21:53,16.6,43,,WNW,19,,19.3,32,,WNW,28,
,2025-08-30,9.7,18.2,0,,,W,54,11:50,14.3,41,,W,20,,16.7,36,,WSW,28,
,2025-08-31,4.2,21.0,0,,,N,22,12:10,10.2,71,,SW,4,,20.9,39,,NNE,7,
