"Daily Weather Observations for Sydney, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2124.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,21.9,27.9,0.2,8.0,0.8,S,41,23:54,23.6,85,8,S,6,1016.2,25.6,76,7,E,17,1013.0
,2024-03-2,23.5,25.7,0,4.0,0.0,SSW,46,11:04,25.7,79,7,SSE,24,1012.1,22.3,91,8,SSW,11,1013.9
,2024-03-3,18.8,31.0,1.8,3.4,10.7,SSE,39,22:45,20.5,90,5,W,11,1014.6,28.8,60,1,ENE,22,1010.1
,2024-03-4,20.3,23.3,0,8.0,1.5,SSE,50,08:15,21.2,61,7,SSE,30,1021.7,22.0,59,7,SSE,20,1022.7
,2024-03-5,16.3,26.6,0,8.0,10.7,ENE,35,14:24,17.9,80,1,WNW,13,1024.2,25.9,51,1,E,22,1020.8
,2024-03-6,17.9,28.3,0,6.8,8.7,ENE,33,14:33,20.0,82,1,WNW,9,1021.1,27.4,63,7,ENE,20,1017.5
,2024-03-7,20.0,28.1,0,6.0,9.6,SSW,43,13:35,23.3,87,1,SSW,17,1021.2,26.3,71,6,SSW,26,1021.7
,2024-03-8,21.0,29.3,0,4.4,10.6,ENE,35,15:32,22.5,88,1,WNW,7,1025.2,29.1,57,1,NE,19,1023.6
,2024-03-9,19.7,30.5,0,7.2,10.7,E,31,12:45,21.3,88,1,W,11,1026.5,29.7,53,1,ENE,20,1024.8
,2024-03-10,19.9,29.6,0,8.6,10.6,NNE,37,10:01,21.1,91,1,WNW,11,1028.0,29.1,54,1,NE,22,1026.1
,2024-03-11,19.9,29.4,0,9.6,8.8,NNE,35,23:51,21.3,91,2,W,9,1027.1,26.9,55,7,ENE,20,1023.9
,2024-03-12,19.0,30.1,0,9.0,10.8,,,,20.3,85,1,WNW,9,1019.6,29.9,56,1,E,15,1014.8
,2024-03-13,20.3,30.1,0,7.0,7.4,NE,26,11:22,23.5,80,7,NNE,4,1017.8,26.3,59,7,E,20,1015.0
,2024-03-14,20.2,32.0,0,6.2,6.6,SSE,54,17:04,21.4,81,1,ESE,4,1010.7,27.1,62,7,S,20,1009.1
,2024-03-15,17.6,25.4,5.2,6.6,8.8,SE,46,14:05,20.9,65,7,SE,22,1019.8,25.0,56,6,SE,31,1020.6
,2024-03-16,16.7,26.8,1.2,5.6,7.1,SSE,35,23:34,18.0,87,7,WNW,15,1022.6,25.6,59,6,ESE,15,1019.9
,2024-03-17,17.5,22.8,36.4,7.0,0.4,NNE,31,00:07,17.7,96,8,NW,9,1017.6,21.3,78,8,ESE,15,1015.3
,2024-03-18,17.7,26.4,0.8,1.2,2.4,ENE,39,18:00,19.6,86,7,W,13,1015.8,26.0,65,6,ESE,11,1014.4
,2024-03-19,19.6,27.1,3.4,3.8,8.6,NNE,37,19:26,21.1,95,7,W,4,1017.4,26.1,68,3,ENE,20,1014.9
,2024-03-20,21.0,25.0,0,8.0,0.6,SSE,65,22:16,22.7,86,7,W,19,1014.5,23.8,84,7,S,28,1016.6
,2024-03-21,13.6,22.4,1.8,3.8,5.6,S,59,23:21,14.9,67,1,W,19,1029.2,20.6,54,8,SSE,22,1027.6
,2024-03-22,14.9,24.5,0,6.8,4.9,E,28,13:51,17.5,76,7,W,17,1026.2,22.4,63,7,ENE,15,1023.5
,2024-03-23,16.3,27.4,0.2,4.0,5.8,ESE,22,13:39,17.6,89,7,W,11,1023.9,25.4,58,7,ESE,17,1021.6
,2024-03-24,17.6,27.3,0,4.0,7.4,E,26,12:09,19.9,86,7,WNW,6,1020.9,25.5,64,2,E,17,1018.2
,2024-03-25,17.1,30.0,0,1.4,10.7,E,26,14:29,18.3,88,1,WNW,13,1019.4,29.6,47,1,NE,9,1016.3
,2024-03-26,18.3,28.4,0,5.4,9.3,SSE,26,17:39,19.5,81,7,W,17,1020.5,27.1,60,1,ESE,15,1018.0
,2024-03-27,19.0,26.4,0,6.8,9.3,SE,33,12:47,22.1,76,5,SSE,17,1024.0,25.3,58,1,SE,15,1023.1
,2024-03-28,20.0,25.7,0.4,4.6,5.1,SE,31,06:06,21.8,83,7,SSE,15,1024.9,25.6,67,5,SE,19,1024.4
,2024-03-29,17.8,26.7,1.0,4.6,9.2,E,22,15:15,19.3,93,3,WNW,11,1027.8,25.7,54,3,E,17,1026.0
,2024-03-30,16.3,26.9,0,6.4,10.7,E,28,14:27,17.5,89,1,WNW,19,1026.5,25.9,67,1,E,22,1023.0
,2024-03-31,17.1,27.5,0,4.8,8.4,ENE,22,13:54,18.0,96,3,WNW,11,1024.2,24.2,66,7,E,17,1020.4
