"Daily Weather Observations for Sydney, New South Wales for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2124.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,12.9,18.9,22.8,,5.1,SSW,46,14:48,13.8,90,8,W,20,1030.4,17.9,79,6,SSW,24,1028.6
,2024-05-2,12.9,19.8,23.2,,3.0,W,30,03:25,15.0,93,7,W,17,1031.6,19.2,67,7,S,15,1029.3
,2024-05-3,13.6,16.8,6.8,,0.0,SSW,28,13:00,14.8,96,7,W,17,1029.9,16.1,93,8,SSW,9,1027.2
,2024-05-4,13.7,19.5,18.6,1.0,1.1,SSE,30,14:33,14.7,98,7,W,15,1025.4,17.2,87,7,SSW,13,1022.4
,2024-05-5,14.7,19.2,21.4,3.2,0.1,SE,44,22:50,15.3,96,8,WSW,7,1022.4,16.3,91,8,SSW,11,1020.9
,2024-05-6,15.2,22.3,31.2,0.0,7.6,ESE,57,02:54,19.1,64,4,SE,26,1026.7,21.4,51,6,SE,26,1028.0
,2024-05-7,13.8,23.3,3.0,4.8,2.6,ESE,39,00:29,15.5,95,7,W,17,1030.8,17.6,82,7,S,6,1029.1
,2024-05-8,13.6,21.3,8.8,,4.8,E,37,15:31,17.4,91,7,WNW,7,1031.3,19.2,75,7,ESE,20,1028.8
,2024-05-9,14.6,20.1,8.4,,1.6,ESE,24,17:56,17.1,92,7,W,15,1031.9,19.4,76,7,SE,7,1029.9
,2024-05-10,14.9,19.8,5.2,,1.7,SE,31,23:40,16.0,97,8,WNW,13,1030.7,19.2,85,7,S,9,1027.6
,2024-05-11,15.6,17.1,21.6,,0.0,ESE,33,00:28,15.8,96,8,NNW,4,1026.9,16.1,92,8,NNE,6,1024.0
,2024-05-12,14.3,22.5,31.2,3.2,2.4,W,39,19:31,15.2,98,8,WNW,15,1021.1,19.4,72,7,SSW,13,1017.7
,2024-05-13,14.5,21.3,10.6,0.8,5.7,SSW,56,12:24,16.4,93,7,W,22,1019.3,20.3,70,5,SSW,22,1019.4
,2024-05-14,12.8,23.1,0.2,1.4,9.6,W,28,08:33,16.5,78,1,WNW,22,1025.2,22.3,52,1,ESE,13,1024.2
,2024-05-15,13.0,,0,2.4,8.7,WNW,20,03:14,16.6,84,6,WNW,17,1029.4,20.0,67,1,E,11,1025.8
,2024-05-16,12.4,22.6,0,3.0,4.9,W,22,05:45,15.1,84,7,WNW,17,1029.7,22.0,61,6,E,6,1026.8
,2024-05-17,13.1,23.7,0,3.0,9.1,W,22,05:45,16.1,92,1,WNW,17,1025.3,23.2,51,1,NNW,4,1020.2
,2024-05-18,12.7,15.9,0.6,2.8,4.4,SSW,69,13:56,13.7,62,6,SW,24,1022.9,13.8,72,5,SW,31,1022.3
,2024-05-19,8.7,20.0,4.4,3.8,9.0,W,41,00:29,11.8,59,2,W,28,1022.5,19.3,35,1,WSW,17,1019.5
,2024-05-20,8.7,18.5,0,3.4,5.2,SSW,43,11:04,13.9,56,5,WNW,26,1022.7,16.9,64,7,SSW,26,1022.1
,2024-05-21,11.5,18.7,0.8,1.6,7.3,SSW,48,00:41,15.0,73,7,W,17,1027.2,18.0,63,4,S,26,1025.5
,2024-05-22,9.2,20.7,0.2,2.2,9.1,W,30,01:18,13.6,71,1,WNW,22,1027.2,18.9,44,1,SSE,11,1024.0
,2024-05-23,8.9,21.3,0,3.6,9.4,W,35,08:19,13.2,70,1,W,22,1027.4,20.8,43,4,NW,4,1025.2
,2024-05-24,9.5,21.9,0,2.2,8.6,W,28,07:30,13.7,76,3,W,19,1027.6,20.7,54,7,SE,11,1025.4
,2024-05-25,10.9,19.0,0,3.2,2.9,WNW,26,08:20,13.2,84,7,W,17,1028.6,17.6,70,7,WNW,7,1025.6
,2024-05-26,11.1,22.1,0,0.2,9.4,W,24,07:08,13.7,86,1,W,15,1025.9,20.5,59,1,ESE,13,1022.7
,2024-05-27,10.2,21.3,0,3.0,9.5,W,30,08:57,13.8,76,1,W,24,1025.4,19.6,51,1,S,13,1024.1
,2024-05-28,9.7,22.4,0,2.4,9.1,WNW,26,04:41,12.7,82,0,W,20,1028.8,20.7,58,0,E,13,1026.0
,2024-05-29,9.4,21.3,0,1.4,9.3,WNW,22,07:44,13.1,87,0,WNW,15,1029.5,20.2,68,0,ENE,15,1025.4
,2024-05-30,10.8,24.2,0,2.6,8.3,NNW,31,12:35,14.2,90,1,WNW,13,1026.7,23.0,48,7,NNE,11,1021.9
,2024-05-31,14.2,20.8,0,4.4,0.0,NNW,43,14:24,19.7,60,7,N,19,1017.6,20.4,65,7,N,26,1014.5
