"Daily Weather Observations for Sydney, New South Wales for June 2024"
"Prepared at 13:00 UTC on Tuesday  5 November 2024   IDCJDW2124.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,13.8,15.8,0.4,3.2,0.0,S,65,13:04,14.4,73,8,W,19,1019.3,14.5,96,8,S,7,1018.7
,2024-06-2,11.4,16.6,142.6,,3.7,SW,48,05:55,13.7,63,6,W,24,1016.8,15.7,64,7,W,15,1014.4
,2024-06-3,9.8,19.0,0,4.0,7.8,W,41,22:09,13.7,64,1,WNW,20,1012.2,17.9,38,6,W,20,1010.0
,2024-06-4,8.9,18.2,0,3.0,4.7,W,37,09:53,11.9,65,4,W,19,1015.7,16.5,56,7,NW,9,1014.9
,2024-06-5,11.0,18.5,0,1.8,0.0,W,31,03:43,12.1,73,7,W,15,1019.1,16.2,78,7,SW,13,1017.5
,2024-06-6,11.6,16.3,7.0,0.6,0.0,W,43,21:42,13.3,95,7,WNW,11,1018.5,14.0,92,8,W,11,1016.7
,2024-06-7,12.9,19.3,62.0,,3.8,,,,13.3,97,7,WNW,19,1013.7,17.3,79,,WNW,13,1011.1
,2024-06-8,11.6,19.1,11.8,0.2,1.3,W,35,10:36,13.2,89,7,W,20,1012.3,18.8,60,6,W,17,1009.7
,2024-06-9,10.8,21.2,0,1.4,8.1,SW,35,19:44,12.4,88,6,W,13,1017.1,20.5,48,1,NW,9,1015.7
,2024-06-10,9.0,18.3,0,2.6,8.9,WSW,44,10:19,12.8,68,2,W,15,1021.6,16.6,53,2,S,19,1020.7
,2024-06-11,8.1,16.6,0,3.8,2.5,NW,50,20:41,10.1,82,7,W,15,1020.2,16.0,55,7,WNW,4,1014.0
,2024-06-12,10.1,19.1,0,2.8,6.6,W,76,11:30,15.2,58,2,W,9,1009.3,13.6,61,7,SSW,31,1011.3
,2024-06-13,8.2,16.8,0,3.6,3.1,W,41,06:27,11.6,57,7,W,28,1020.2,15.2,57,7,SSW,19,1019.7
,2024-06-14,9.9,14.4,0,2.6,0.0,W,33,02:59,11.4,74,7,WNW,19,1019.8,12.9,96,8,SSW,7,1018.0
,2024-06-15,10.9,13.9,70.2,,0.0,S,46,15:38,11.7,93,8,WSW,15,1017.6,12.8,87,7,SSW,22,1015.6
,2024-06-16,7.7,17.1,6.4,1.2,8.9,W,39,08:07,10.8,64,1,W,22,1016.0,16.3,39,1,WSW,19,1012.9
,2024-06-17,8.9,16.3,0.2,2.4,1.6,SW,52,11:41,12.3,60,6,W,28,1013.8,15.4,63,5,SW,24,1013.6
,2024-06-18,8.4,18.4,0,2.8,8.2,W,37,08:20,11.5,62,1,W,28,1016.6,15.7,54,4,S,11,1014.4
,2024-06-19,6.5,17.7,0,3.4,9.4,W,37,09:17,10.4,62,1,W,24,1017.2,17.4,42,1,WNW,13,1014.5
,2024-06-20,5.7,17.8,0,2.8,9.1,W,30,08:02,8.1,76,6,W,17,1018.4,17.1,40,3,E,7,1015.7
,2024-06-21,7.9,19.5,0,1.0,6.6,W,33,13:47,11.1,74,5,W,22,1018.4,16.0,57,5,S,11,1017.5
,2024-06-22,9.0,12.1,25.0,,0.0,WSW,41,16:00,9.6,97,8,W,20,1025.4,11.2,96,8,W,6,1024.0
,2024-06-23,9.5,16.1,35.2,2.0,3.4,SW,35,11:05,11.7,94,5,W,19,1024.7,14.4,85,7,W,13,1021.7
,2024-06-24,7.1,18.7,0.2,1.0,7.9,WNW,30,05:01,9.5,89,6,W,19,1020.7,17.6,60,7,ENE,11,1018.0
,2024-06-25,7.4,20.5,0,0.6,9.2,WNW,26,08:50,10.1,86,1,WNW,22,1022.8,20.0,43,1,NW,13,1019.3
,2024-06-26,8.8,22.0,0.2,2.2,8.9,NNW,30,12:56,11.6,88,1,W,11,1020.5,21.6,52,4,N,15,1016.6
,2024-06-27,8.9,20.4,0,3.0,9.3,W,33,12:45,13.0,63,1,WNW,9,1022.9,19.8,37,1,W,17,1020.3
,2024-06-28,7.8,19.7,0,4.0,9.0,W,30,08:33,11.5,71,1,WNW,24,1026.7,19.5,39,1,NW,7,1023.2
,2024-06-29,7.3,20.4,0,2.6,3.6,WNW,24,09:49,8.8,79,6,W,15,1021.6,18.5,55,6,ENE,11,1016.5
,2024-06-30,8.8,14.5,7.2,2.4,0.0,SSW,44,12:48,13.3,94,7,W,11,1013.7,13.7,78,6,S,22,1014.4
