"Daily Weather Observations for Sydney, New South Wales for August 2024"
"Prepared at 13:00 UTC on Tuesday 12 August 2025   IDCJDW2124.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,8.1,15.9,0.6,2.8,3.1,SSW,50,13:47,10.8,72,5,W,22,1032.9,13.2,77,5,S,30,1030.3
,2024-08-2,8.4,17.5,8.6,1.8,7.0,W,30,01:07,11.3,86,2,WNW,19,1030.8,16.5,60,2,SSE,19,1028.5
,2024-08-3,7.4,19.8,1.4,0.6,9.4,W,22,05:56,10.4,88,1,W,17,1030.6,17.7,55,1,ENE,17,1026.8
,2024-08-4,7.0,16.5,0.2,3.2,,WNW,24,07:08,10.8,75,3,WNW,19,1029.3,15.5,60,7,E,7,1026.5
,2024-08-5,9.2,15.3,0,2.0,,W,19,07:11,10.4,85,8,W,13,1026.3,14.2,70,8,W,7,1021.5
,2024-08-6,8.5,18.6,0,0.8,9.9,W,31,03:04,13.1,68,3,WNW,17,1022.9,17.6,46,2,S,13,1021.8
,2024-08-7,7.1,19.3,0,3.8,9.8,W,26,08:55,10.7,78,6,WNW,20,1026.7,17.6,50,1,ESE,13,1025.5
,2024-08-8,7.0,19.8,0,2.4,9.2,ENE,28,13:05,10.9,85,0,WNW,13,1029.3,17.8,70,5,E,19,1024.8
,2024-08-9,10.1,21.3,0,2.0,,W,26,08:37,12.1,83,7,W,17,1027.4,19.2,63,5,E,13,1024.2
,2024-08-10,10.7,19.7,0,2.4,,WNW,28,05:47,13.5,74,4,WNW,19,1029.4,18.6,66,4,SE,13,1027.6
,2024-08-11,10.4,20.1,0,2.0,9.2,ESE,24,13:29,13.3,93,4,W,17,1031.9,18.3,61,4,ESE,19,1030.1
,2024-08-12,11.3,16.8,8.4,1.6,0.3,WNW,22,09:57,12.6,97,5,WNW,15,1033.1,16.4,87,6,N,2,1030.8
,2024-08-13,12.6,18.9,3.2,0.6,0.0,NNE,35,10:53,15.8,96,6,ENE,6,1029.5,18.3,81,7,NE,15,1025.3
,2024-08-14,15.8,17.5,0.8,1.6,0.0,NE,20,00:14,16.7,95,8,W,9,1022.4,16.7,94,8,E,6,1019.3
,2024-08-15,14.9,19.0,12.8,0.8,,S,26,11:56,15.4,97,8,SSW,11,1019.0,18.0,81,6,SSW,17,1016.8
,2024-08-16,13.5,21.3,0.4,2.2,5.7,WSW,41,19:13,15.5,91,5,WNW,11,1015.0,19.6,74,5,E,20,1009.4
,2024-08-17,13.4,21.8,8.2,1.6,9.5,W,46,14:04,16.1,72,3,W,9,1007.7,20.2,40,4,W,33,1004.2
,2024-08-18,12.0,17.5,0,5.0,4.3,SSE,54,14:50,15.3,60,5,W,22,1013.8,17.4,61,6,S,31,1016.0
,2024-08-19,12.1,19.3,0.4,4.2,3.2,WNW,20,00:22,14.6,83,7,W,6,1025.6,16.9,69,7,E,9,1023.8
,2024-08-20,10.2,21.8,0,1.0,,ENE,35,15:10,13.8,89,1,W,6,1024.2,20.1,68,2,NE,20,1018.2
,2024-08-21,13.8,26.2,0,4.8,9.3,WNW,41,15:36,20.5,61,3,N,20,1014.1,26.1,29,3,WNW,24,1011.9
,2024-08-22,15.1,23.7,0,7.6,7.7,W,24,16:54,15.8,65,7,W,13,1019.2,22.8,38,3,WNW,9,1017.1
,2024-08-23,10.7,22.9,0,4.0,8.7,NNE,31,21:50,15.8,64,4,WNW,20,1025.0,19.2,59,6,E,17,1021.8
,2024-08-24,15.0,26.9,0.2,4.4,6.8,NNW,54,14:40,16.9,64,7,N,20,1018.2,26.8,39,1,NNW,30,1011.5
,2024-08-25,16.9,23.1,0,5.6,0.2,NW,57,22:48,20.1,61,7,ENE,6,1015.1,22.1,58,7,ESE,4,1011.3
,2024-08-26,16.0,24.9,0,3.2,10.6,SW,69,03:35,19.4,39,0,ENE,6,1014.7,22.5,35,0,NE,11,1014.5
,2024-08-27,10.9,23.5,0,5.2,10.1,NNW,37,21:53,16.0,59,1,WNW,15,1021.9,21.0,54,1,E,7,1014.6
,2024-08-28,16.0,28.1,0,8.0,8.9,WNW,87,17:07,23.5,27,5,WNW,26,1009.1,27.9,23,3,WNW,41,1004.2
,2024-08-29,14.3,24.5,0,12.0,10.1,W,39,09:26,18.1,36,3,WNW,13,1014.8,24.5,24,0,W,6,1010.8
,2024-08-30,15.3,30.3,0,9.2,10.8,WNW,63,14:38,21.9,36,1,NNW,24,1003.8,29.9,21,1,WNW,33,997.9
,2024-08-31,17.4,24.8,0,10.0,10.8,NW,57,10:44,19.3,33,0,W,30,1007.8,24.6,25,1,WNW,24,1005.4
