"Daily Weather Observations for Sydney, New South Wales for November 2024"
"Prepared at 05:36 UTC on Saturday 30 November 2024   IDCJDW2124.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,16.0,23.6,2.6,6.2,8.6,ESE,39,13:05,19.2,66,5,SE,13,1015.8,22.2,57,3,ESE,20,1016.0
,2024-11-2,16.4,21.1,0.8,7.0,0.0,S,41,23:54,18.0,66,7,ESE,17,1024.4,19.8,73,6,E,20,1021.8
,2024-11-3,16.5,28.6,2.0,4.6,3.6,N,39,10:10,21.1,75,7,NE,13,1015.0,25.1,66,6,NE,22,1010.7
,2024-11-4,18.5,21.6,0,6.0,2.2,SSE,33,03:15,19.5,79,7,S,11,1012.6,18.5,86,7,ESE,6,1013.2
,2024-11-5,18.4,24.1,0.4,4.2,0.6,NE,37,18:04,21.1,69,7,ESE,11,1018.7,21.9,74,7,E,22,1016.9
,2024-11-6,17.9,27.5,0,3.6,5.4,NE,35,18:45,22.5,78,7,NE,13,1014.3,26.4,65,1,ENE,20,1009.8
,2024-11-7,21.1,30.7,0.2,5.4,0.6,SSW,43,11:57,23.5,78,7,SE,7,1006.7,23.9,71,7,S,13,1007.0
,2024-11-8,16.0,30.7,3.0,3.2,13.2,SSW,44,22:12,20.7,58,0,W,20,1012.0,29.6,38,1,ENE,22,1008.8
,2024-11-9,17.7,26.8,0,9.0,5.9,SSW,48,23:06,20.6,73,5,SE,17,1020.4,26.0,61,4,ENE,20,1018.2
,2024-11-10,20.2,26.3,0,5.8,9.6,S,63,14:04,22.5,77,6,SW,19,1019.7,23.2,64,5,SSE,39,1020.0
,2024-11-11,17.8,21.0,0,8.0,0.0,SSE,33,23:02,19.0,75,7,S,13,1022.6,18.9,87,8,SSW,13,1019.5
,2024-11-12,17.6,24.9,0.6,2.6,3.3,SSW,26,05:08,20.8,79,7,S,11,1017.7,23.7,69,7,ESE,19,1015.2
,2024-11-13,17.5,26.0,13.8,2.8,3.1,ENE,30,16:13,20.1,91,8,NW,6,1013.5,22.2,73,5,E,22,1010.0
,2024-11-14,17.6,22.9,2.8,7.2,2.3,S,43,09:39,17.9,93,8,SSW,20,1016.2,21.5,64,7,SSE,20,1016.6
,2024-11-15,17.7,21.2,0.2,5.0,0.2,ENE,37,20:10,19.6,76,7,S,9,1021.6,20.1,77,8,SE,11,1021.0
,2024-11-16,18.6,24.7,1.4,3.8,5.1,ENE,46,17:13,20.9,75,7,ENE,28,1023.1,23.8,69,6,E,28,1021.5
,2024-11-17,20.0,27.4,0.2,5.4,7.2,NE,65,16:01,23.3,75,6,ENE,15,1016.2,25.4,68,7,NE,28,1010.1
,2024-11-18,18.2,28.0,21.0,7.8,8.9,ESE,41,19:39,19.7,52,7,WSW,17,1014.2,25.1,54,1,E,24,1013.3
,2024-11-19,17.2,23.3,1.0,8.6,1.4,ESE,35,23:01,17.6,85,7,SE,7,1023.3,21.8,71,6,ESE,19,1022.6
,2024-11-20,16.4,24.9,2.0,3.6,9.3,E,35,16:38,21.0,69,3,WSW,2,1024.5,24.1,59,2,E,22,1023.3
,2024-11-21,17.7,25.8,0,7.8,10.4,E,41,14:46,20.8,70,5, ,Calm,1027.4,24.0,58,3,ENE,24,1024.6
,2024-11-22,,26.2,,7.8,12.8,,,,21.7,74,1,N,7,1025.7,25.3,64,1,ENE,28,1021.8
,2024-11-23,18.0,27.5,0,8.4,11.9,NE,48,17:40,23.2,71,1,ENE,7,1021.3,27.5,57,1,NE,24,1017.4
,2024-11-24,18.8,26.4,0,9.8,11.6,ENE,48,16:06,22.6,75,3,E,17,1017.2,24.4,66,7,ENE,17,1015.5
,2024-11-25,18.9,27.8,0,9.4,10.8,NE,54,16:29,22.7,78,3,E,19,1015.1,26.4,62,4,ENE,24,1011.9
,2024-11-26,19.0,28.2,0,10.0,11.7,NE,46,14:43,23.9,79,1,W,4,1011.7,26.9,62,3,E,9,1007.7
,2024-11-27,19.8,32.9,0,9.2,8.1,E,35,14:00,25.6,72,5,ESE,15,1008.2,28.4,57,6,E,19,1005.9
,2024-11-28,23.3,29.0,0,10.4,1.6,S,35,17:30,27.1,59,7,W,6,1013.2,27.2,70,7,NNE,4,1012.7
,2024-11-29,20.5,22.1,2.4,3.0,0.0,ENE,41,21:47,20.9,92,8,SSW,19,1018.4,20.6,95,8,S,19,1016.6
,2024-11-30,20.4,,45.8,9.0,,,,,21.3,99,8,ENE,15,1011.7,23.0,89,8,NE,15,1008.3
