"Daily Weather Observations for Sydney, New South Wales for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2124.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Observatory Hill, but some from Fort Denison and Sydney Airport."
"Sydney Airport is about 10 km to the south of Observatory Hill."
"Temperature, humidity and rainfall observations are from Sydney (Observatory Hill) {station 066214}"
"Pressure, cloud, evaporation and sunshine observations are from Sydney Airport AMO {station 066037}"
"Wind observations are from Fort Denison {station 066022}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,21.0,27.8,0.2,6.6,5.1,SSE,30,08:53,24.0,72,6,SSE,20,1021.7,26.9,60,6,ESE,20,1020.8
,2025-02-2,19.7,28.9,0,8.0,11.5,E,30,16:08,22.5,75,4,SE,2,1020.8,27.6,54,2,E,19,1019.0
,2025-02-3,20.0,30.0,0,8.0,10.2,NE,43,16:12,24.3,74,3,ESE,4,1018.8,29.3,62,2,ENE,22,1016.4
,2025-02-4,21.6,29.5,0,8.4,12.1,NE,43,15:59,24.5,77,4,NE,11,1015.0,28.9,63,,NE,24,1010.6
,2025-02-5,22.8,32.1,0,9.6,7.1,SSW,46,11:33,25.0,78,3,E,2,1009.9,25.8,73,7,S,22,1011.1
,2025-02-6,20.5,29.3,1.0,5.4,10.6,E,39,01:58,22.8,80,1,NW,6,1014.5,28.3,67,5,ESE,17,1013.9
,2025-02-7,21.4,30.0,0,7.4,12.4,ENE,46,13:06,23.7,79,1,NE,17,1012.7,28.7,62,1,ENE,30,1009.6
,2025-02-8,21.4,29.1,0,10.6,6.0,NNE,39,23:12,23.3,80,3,NE,13,1009.8,28.8,59,4,ENE,31,1007.0
,2025-02-9,20.0,29.5,8.6,8.6,9.4,ESE,35,16:08,22.7,88,,SW,9,1010.3,28.0,64,6,SSW,22,1009.4
,2025-02-10,22.0,25.1,0,7.8,2.4,W,72,11:48,23.6,78,3,SSW,20,1010.7,20.8,87,7,W,26,1011.4
,2025-02-11,18.6,27.4,53.2,0.8,8.2,ESE,30,15:26,21.1,86,2,WNW,6,1012.0,24.1,74,6,ESE,19,1011.0
,2025-02-12,19.9,29.1,0,5.0,9.2,ENE,39,19:29,22.4,81,5,S,9,1013.1,26.8,69,5,ESE,24,1012.5
,2025-02-13,22.4,28.5,2.2,6.6,12.5,ENE,56,14:22,24.3,80,6,NE,24,1012.7,28.0,67,1,NE,28,1009.9
,2025-02-14,21.9,26.8,0.2,11.2,2.6,NE,39,17:57,23.9,81,7,N,7,1007.0,24.3,87,8,ENE,15,1004.8
,2025-02-15,19.8,26.8,3.0,0.4,11.6,SSW,41,03:16,21.6,76,3,SSW,20,1003.8,25.6,59,4,ESE,19,1001.9
,2025-02-16,15.6,23.0,0.2,8.0,12.4,S,46,23:25,17.0,48,3,WSW,13,1009.8,22.0,37,2,SSE,24,1011.9
,2025-02-17,14.5,24.2,0,10.2,11.9,SSE,41,14:38,16.4,58,1,W,19,1020.1,23.2,40,3,SSE,24,1018.4
,2025-02-18,14.7,25.1,0,7.8,11.9,E,30,16:18,17.1,71,2,W,17,1016.8,23.1,59,5,E,22,1012.0
,2025-02-19,17.1,27.5,0,4.8,8.2,ENE,31,17:21,20.0,83,3,W,9,1015.6,25.8,60,3,E,17,1013.8
,2025-02-20,19.1,23.6,0,5.8,3.8,SSE,48,13:52,20.4,80,7,SE,17,1019.4,21.9,64,6,SSE,31,1020.8
,2025-02-21,18.0,22.7,0,6.2,1.1,E,37,14:34,20.2,74,7,W,15,1025.4,20.6,95,8,ENE,22,1024.1
,2025-02-22,19.5,28.1,6.0,3.0,9.2,ENE,44,15:20,22.4,83,6,NNE,7,1024.9,27.1,64,3,ENE,26,1021.5
,2025-02-23,19.0,28.2,0,8.4,9.1,NNE,46,19:11,21.8,70,1,NNE,13,1020.4,27.9,56,2,NE,26,1016.8
,2025-02-24,21.5,27.7,0,9.0,11.5,SSE,43,15:58,23.0,79,3,W,7,1018.5,26.5,65,4,SE,19,1018.3
,2025-02-25,21.0,23.1,0,7.4,0.0,SSE,39,08:39,21.4,82,8,S,20,1024.9,22.7,69,8,SSE,24,1024.4
,2025-02-26,19.7,28.0,0,2.6,10.2,NE,37,19:28,21.9,78,5,WNW,7,1023.0,27.6,65,2,ENE,24,1018.7
,2025-02-27,21.6,28.7,0,7.2,11.4,NE,46,15:40,23.0,86,4,W,2,1017.2,27.1,75,1,E,26,1015.9
,2025-02-28,21.2,31.2,0,8.0,10.3,S,41,22:45,22.8,83,2,ENE,2,1013.7,30.9,59,3,E,13,1011.2
