"Daily Weather Observations for Sydney Airport, New South Wales for October 2023"
"Prepared at 13:00 UTC on Wednesday 13 November 2024   IDCJDW2125.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,15.9,36.9,0,6.8,9.6,SSW,80,19:57,22.9,48,7,NNW,19,1013.2,35.6,10,2,W,43,1008.0
,2023-10-2,16.2,23.3,0,12.6,9.8,SSE,50,23:04,19.0,61,5,ESE,15,1023.6,21.4,56,2,ENE,28,1020.3
,2023-10-3,17.6,37.2,0,5.4,9.2,NNE,56,15:58,22.7,62,3,WNW,11,1016.4,36.1,12,5,NW,35,1011.2
,2023-10-4,20.6,28.8,0,14.6,0.9,NW,59,22:48,22.8,57,8,NNE,30,1011.8,27.0,36,8,N,33,1008.4
,2023-10-5,13.2,22.7,8.4,5.4,11.3,W,61,11:02,17.0,36,1,WNW,33,1014.5,21.5,19,1,WSW,39,1015.8
,2023-10-6,11.7,21.0,0,7.6,7.1,S,57,21:10,16.9,49,2,SW,24,1024.3,16.8,70,7,SSE,31,1025.2
,2023-10-7,11.7,18.3,2.0,5.6,11.1,SSE,46,23:50,14.0,67,5,SSW,28,1031.8,16.9,66,5,S,28,1030.2
,2023-10-8,12.7,20.9,0,6.6,8.9,ENE,37,16:57,16.4,67,7,WSW,11,1032.8,19.2,54,4,E,19,1029.4
,2023-10-9,12.1,24.9,0,5.2,11.4,NE,43,14:47,17.7,57,1,WNW,13,1027.1,23.7,37,1,NE,31,1021.8
,2023-10-10,14.6,22.1,0,6.4,7.6,S,35,01:31,18.2,81,7,SSE,13,1023.5,21.3,61,5,SE,26,1021.4
,2023-10-11,16.0,25.6,0,6.2,10.2,NNE,48,16:38,21.1,66,4,N,11,1024.6,24.2,53,1,ENE,31,1021.1
,2023-10-12,15.5,32.8,0,7.4,11.0,WSW,76,19:02,20.6,69,4,NW,13,1017.9,30.0,32,1,NE,22,1009.1
,2023-10-13,12.4,22.9,2.4,10.4,11.2,WSW,50,01:39,15.9,46,1,W,28,1017.9,21.5,33,1,E,19,1015.3
,2023-10-14,14.0,30.0,0,6.6,9.8,W,44,14:23,18.8,42,3,WNW,19,1017.9,29.2,21,4,WSW,19,1012.2
,2023-10-15,14.3,24.3,0,8.6,11.7,WSW,52,00:10,19.2,43,2,SW,15,1018.5,23.2,34,2,ENE,28,1012.9
,2023-10-16,15.0,27.4,0,8.0,6.3,WSW,85,14:07,18.7,53,6,WNW,15,1011.6,23.6,24,7,WSW,44,1009.5
,2023-10-17,10.3,17.8,1.6,6.2,4.1,SSW,57,05:29,13.6,81,7,SW,33,1026.0,15.4,74,7,SSW,41,1028.0
,2023-10-18,12.6,21.0,6.2,4.8,7.1,SE,35,23:31,17.6,71,7,SSE,17,1030.5,19.6,50,2,ESE,20,1028.3
,2023-10-19,13.4,22.8,0,4.8,5.4,NNE,39,13:41,16.5,75,7,WNW,13,1026.0,21.5,45,6,NE,24,1021.3
,2023-10-20,14.1,26.0,0,5.4,12.1,NE,50,16:49,19.4,63,1,WNW,13,1020.0,24.6,50,1,NE,33,1015.7
,2023-10-21,16.0,26.0,0,7.2,10.3,NE,61,13:59,20.5,75,3,W,9,1017.2,24.2,63,6,NE,43,1012.6
,2023-10-22,17.0,26.5,0,8.0,11.7,NE,39,17:26,20.8,74,1,SSW,11,1009.7,25.7,38,1,ESE,20,1007.3
,2023-10-23,15.9,28.7,0,7.6,12.3,ENE,44,15:18,19.4,50,2,SSW,22,1013.8,26.5,30,2,ENE,24,1010.3
,2023-10-24,15.4,29.0,0,7.8,11.9,NNE,52,16:22,21.4,65,2,WNW,9,1014.6,26.7,40,1,NE,30,1009.3
,2023-10-25,17.7,23.3,0,9.4,9.7,S,52,06:54,19.2,80,3,S,37,1011.9,21.8,60,5,ESE,30,1010.8
,2023-10-26,13.0,17.0,1.4,7.8,0.2,SSE,61,18:04,14.9,68,7,S,33,1022.4,15.5,62,7,S,43,1022.8
,2023-10-27,12.2,18.3,6.8,6.6,7.7,SSE,61,00:53,14.9,79,7,S,31,1030.0,16.7,64,7,SSE,33,1029.9
,2023-10-28,11.9,20.5,2.4,6.4,5.3,SSE,41,23:52,15.8,61,7,NW,7,1030.0,18.5,48,6,E,17,1027.2
,2023-10-29,12.2,26.0,0,5.4,11.9,NNE,50,17:35,19.0,53,0,NNW,17,1021.5,25.2,31,3,NE,31,1016.6
,2023-10-30,14.7,32.1,0,8.4,9.3,W,59,17:58,22.1,44,3,NNW,13,1013.4,28.0,33,6,NE,30,1006.4
,2023-10-31,21.7,29.2,0,11.8,11.3,WNW,80,03:21,26.9,21,4,W,22,1009.0,20.5,61,2,SSE,39,1013.1
