"Daily Weather Observations for Sydney Airport, New South Wales for March 2024"
"Prepared at 13:00 UTC on Friday  8 November 2024   IDCJDW2125.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,21.3,29.0,0.4,8.0,0.8,S,54,23:56,22.7,87,8,SSW,11,1016.2,27.2,65,7,NNE,19,1013.0
,2024-03-2,22.6,24.3,0,4.0,0.0,S,50,10:22,23.8,85,7,S,28,1012.1,21.9,92,8,S,24,1013.9
,2024-03-3,18.9,33.6,0.6,3.4,10.7,SE,39,22:40,22.3,75,5,NW,7,1014.6,31.8,37,1,WNW,15,1010.1
,2024-03-4,20.3,22.9,0,8.0,1.5,S,72,05:20,20.8,67,7,S,41,1021.7,21.2,65,7,S,30,1022.7
,2024-03-5,17.3,26.8,0,8.0,10.7,NE,39,15:05,20.7,59,1,SW,11,1024.2,25.7,43,1,NE,28,1020.8
,2024-03-6,18.8,29.3,0,6.8,8.7,NE,43,16:17,23.1,67,1,NW,11,1021.1,28.6,54,7,NE,26,1017.5
,2024-03-7,21.4,25.5,0,6.0,9.6,S,52,11:54,23.4,87,1,S,30,1021.2,24.9,80,6,S,37,1021.7
,2024-03-8,21.1,29.5,0,4.4,10.6,NE,41,16:42,23.0,82,1,S,9,1025.2,27.3,59,1,ENE,22,1023.6
,2024-03-9,20.5,30.4,0,7.2,10.7,ENE,39,15:20,24.6,67,1,WNW,9,1026.5,29.3,46,1,NE,28,1024.8
,2024-03-10,20.2,30.6,0,8.6,10.6,NE,46,12:24,24.0,73,1,WNW,9,1028.0,29.3,42,1,NNE,28,1026.1
,2024-03-11,20.4,29.7,0,9.6,8.8,NE,43,16:16,24.9,67,2,WNW,11,1027.1,27.8,46,7,NE,30,1023.9
,2024-03-12,19.9,33.8,0,9.0,10.8,E,28,13:46,22.8,68,1,WNW,13,1019.6,32.3,38,1,E,22,1014.8
,2024-03-13,21.5,29.6,0,7.0,7.4,S,33,03:22,23.9,79,7,SSE,11,1017.8,27.0,50,7,ENE,22,1015.0
,2024-03-14,20.8,31.3,0,6.2,6.6,SSE,74,20:55,24.6,67,1,NNW,13,1010.7,25.2,79,7,SSE,31,1009.1
,2024-03-15,18.6,25.5,2.6,6.6,8.8,S,54,23:26,22.7,59,7,SE,26,1019.8,23.9,52,6,SE,31,1020.6
,2024-03-16,17.1,25.5,0.8,5.6,7.1,ENE,52,17:14,21.4,69,7,SE,20,1022.6,23.9,60,6,ESE,26,1019.9
,2024-03-17,17.6,22.2,36.8,7.0,0.4,ESE,30,14:39,18.7,93,8,NW,17,1017.6,21.1,79,8,E,22,1015.3
,2024-03-18,18.1,26.2,0.2,1.2,2.4,NE,35,18:03,19.6,84,7,W,11,1015.8,24.7,61,6,ESE,13,1014.4
,2024-03-19,19.5,28.6,7.0,3.8,8.6,NNE,43,19:26,22.7,84,7,NNW,7,1017.4,26.7,65,3,ENE,28,1014.9
,2024-03-20,21.7,25.6,0,8.0,0.6,SSE,63,21:05,23.0,86,7,W,15,1014.5,22.5,86,7,S,39,1016.6
,2024-03-21,14.2,20.8,0.8,3.8,5.6,SSE,72,23:18,16.3,65,1,S,22,1029.2,19.2,69,8,SSE,26,1027.6
,2024-03-22,15.9,24.7,0,6.8,4.9,NNE,35,16:57,18.7,72,7,WNW,7,1026.2,22.5,67,7,SE,13,1023.5
,2024-03-23,16.2,24.2,0,4.0,5.8,SSE,26,12:11,18.4,77,7,NW,2,1023.9,23.8,64,7,SE,20,1021.6
,2024-03-24,18.1,25.6,0,4.0,7.4,ENE,30,13:27,20.1,82,7,WSW,6,1020.9,24.8,61,2,ENE,20,1018.2
,2024-03-25,17.5,30.7,0,1.4,10.7,NNE,31,16:37,20.3,71,1,W,17,1019.4,28.8,38,1,ENE,13,1016.3
,2024-03-26,18.4,27.5,0,5.4,9.3,S,31,03:16,20.1,77,7,NW,11,1020.5,26.4,59,1,SE,19,1018.0
,2024-03-27,19.8,25.2,0,6.8,9.3,S,33,04:05,21.4,80,5,SSE,22,1024.0,24.6,62,1,SE,22,1023.1
,2024-03-28,19.9,25.0,0,4.6,5.1,S,33,11:44,22.2,77,7,SSE,22,1024.9,23.4,68,5,SE,24,1024.4
,2024-03-29,18.9,25.5,0,4.6,9.2,ENE,30,13:39,21.3,77,3,SSE,17,1027.8,24.5,54,3,E,20,1026.0
,2024-03-30,16.6,29.2,0,6.4,10.7,ENE,31,14:15,20.1,73,1,NW,13,1026.5,27.1,52,1,ENE,26,1023.0
,2024-03-31,17.3,27.7,0,4.8,8.4,E,31,14:51,19.5,84,3,W,7,1024.2,25.1,63,7,ENE,19,1020.4
