"Daily Weather Observations for Sydney Airport, New South Wales for May 2024"
"Prepared at 13:00 UTC on Wednesday  6 November 2024   IDCJDW2125.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,13.1,18.2,,,5.1,SSE,69,12:45,15.6,89,8,SSW,31,1030.4,17.2,84,6,S,37,1028.6
,2024-05-2,13.4,18.9,,,3.0,SSW,44,09:32,15.5,90,7,SSW,20,1031.6,17.3,77,7,S,26,1029.3
,2024-05-3,13.7,17.1,58.6,,0.0,SSW,44,06:19,15.2,95,7,WSW,13,1029.9,15.9,93,8,SSE,17,1027.2
,2024-05-4,13.5,19.0,11.2,1.0,1.1,SSW,44,19:21,15.6,96,7,SW,13,1025.4,16.5,91,7,SSE,19,1022.4
,2024-05-5,13.9,20.8,27.6,3.2,0.1,S,57,20:43,14.5,95,8,SW,15,1022.4,15.6,94,8,SSE,17,1020.9
,2024-05-6,14.5,22.0,30.6,0.0,7.6,SE,65,01:59,20.4,62,4,SSE,37,1026.7,19.9,55,6,SE,39,1028.0
,2024-05-7,13.4,19.4,2.0,4.8,2.6,ESE,41,00:53,16.7,86,7,NW,11,1030.8,17.2,82,7,NNE,11,1029.1
,2024-05-8,14.7,19.9,,,4.8,S,31,03:01,16.9,94,7,WSW,15,1031.3,18.9,77,7,ESE,19,1028.8
,2024-05-9,14.6,19.8,,,1.6,ESE,30,14:05,16.7,95,7,W,11,1031.9,17.9,87,7,SSE,13,1029.9
,2024-05-10,14.8,19.8,,,1.7,E,35,21:09,16.5,90,8,WNW,9,1030.7,19.1,82,7,S,17,1027.6
,2024-05-11,15.4,17.9,46.8,,0.0,S,46,20:20,16.1,95,8,W,11,1026.9,17.1,89,8,N,7,1024.0
,2024-05-12,14.2,19.4,28.0,3.2,2.4,WNW,46,20:53,16.0,95,8,SSW,17,1021.1,17.4,86,7,SSW,30,1017.7
,2024-05-13,14.6,20.1,11.0,0.8,5.7,SSW,54,10:20,17.1,92,7,SW,35,1019.3,19.7,76,5,SSW,33,1019.4
,2024-05-14,12.7,21.8,0,1.4,9.6,S,26,15:32,17.2,65,1,WNW,13,1025.2,20.0,72,1,S,17,1024.2
,2024-05-15,13.7,23.0,0.2,2.4,8.7,S,30,03:30,17.0,73,6,NW,13,1029.4,22.5,49,1,WNW,9,1025.8
,2024-05-16,12.9,20.6,0,3.0,4.9,NW,24,08:21,16.0,73,7,NW,17,1029.7,20.3,71,6,SE,9,1026.8
,2024-05-17,13.5,23.9,0,3.0,9.1,SW,30,22:07,17.4,77,1,NW,13,1025.3,21.8,50,1,SW,4,1020.2
,2024-05-18,12.9,15.4,0.2,2.8,4.4,S,76,01:09,14.0,67,6,SSW,46,1022.9,13.9,84,5,SSW,46,1022.3
,2024-05-19,8.5,17.6,5.4,3.8,9.0,SW,43,21:20,11.9,63,2,W,20,1022.5,16.7,54,1,SSE,15,1019.5
,2024-05-20,8.9,17.4,0,3.4,5.2,SSW,54,11:19,14.5,53,5,W,13,1022.7,17.0,70,7,SSW,37,1022.1
,2024-05-21,13.6,17.6,0,1.6,7.3,SSW,54,00:33,16.0,71,7,SSW,31,1027.2,16.7,71,4,S,33,1025.5
,2024-05-22,9.1,19.1,0,2.2,9.1,S,37,18:18,13.7,66,1,NW,13,1027.2,17.4,55,1,SSE,17,1024.0
,2024-05-23,8.9,19.3,0,3.6,9.4,WNW,31,08:40,13.3,65,1,WNW,22,1027.4,18.9,52,4,SSE,13,1025.2
,2024-05-24,9.7,19.3,0,2.2,8.6,SW,35,21:26,14.5,72,3,NW,13,1027.6,18.1,74,7,S,20,1025.4
,2024-05-25,10.9,20.0,0,3.2,2.9,NW,19,02:13,14.5,74,7,NW,11,1028.6,17.7,69,7,SSE,9,1025.6
,2024-05-26,10.6,20.9,0,0.2,9.4,NW,24,08:13,14.5,76,1,NW,17,1025.9,19.4,61,1,SE,13,1022.7
,2024-05-27,10.3,19.5,0,3.0,9.5,SSW,33,15:45,15.1,63,1,NW,15,1025.4,17.9,71,1,S,17,1024.1
,2024-05-28,9.5,22.5,0,2.4,9.1,WNW,22,10:13,13.8,69,0,NW,17,1028.8,21.9,35,0,NW,11,1026.0
,2024-05-29,9.5,22.5,0,1.4,9.3,NW,20,05:40,13.4,72,0,WNW,11,1029.5,21.9,54,0,NE,13,1025.4
,2024-05-30,10.6,24.7,0,2.6,8.3,N,33,13:22,15.0,75,1,WNW,11,1026.7,23.6,42,7,N,24,1021.9
,2024-05-31,14.3,22.4,0,4.4,0.0,N,50,14:38,20.4,56,7,N,30,1017.6,21.7,59,7,NNW,33,1014.5
