"Daily Weather Observations for Sydney Airport, New South Wales for August 2024"
"Prepared at 13:00 UTC on Sunday  3 November 2024   IDCJDW2125.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,8.8,14.7,0.4,2.8,3.1,S,57,14:43,11.6,68,5,WSW,13,1032.9,12.2,87,5,SSW,33,1030.3
,2024-08-2,8.5,15.3,4.6,1.8,7.0,S,37,12:00,12.2,85,2,NW,11,1030.8,14.4,76,2,SSE,26,1028.5
,2024-08-3,7.3,19.4,0.2,0.6,9.4,NNE,30,16:45,11.7,75,1,WNW,17,1030.6,18.9,32,1,NNW,7,1026.8
,2024-08-4,6.8,16.7,0,3.2,,WNW,24,23:04,11.5,62,3,WNW,11,1029.3,14.5,74,7,SSE,9,1026.5
,2024-08-5,9.6,16.6,0,2.0,,NW,24,21:06,11.2,79,8,WNW,9,1026.3,15.9,60,8,N,13,1021.5
,2024-08-6,9.0,16.2,0,0.8,9.9,S,33,10:46,14.1,61,3,NW,9,1022.9,15.5,58,2,SSE,20,1021.8
,2024-08-7,7.2,17.2,0,3.8,9.8,W,30,09:14,12.5,60,6,WNW,9,1026.7,16.2,51,1,ESE,15,1025.5
,2024-08-8,7.1,19.7,0,2.4,9.2,NE,35,16:07,12.1,75,0,NW,11,1029.3,18.3,58,5,NNE,24,1024.8
,2024-08-9,10.2,21.6,0,2.0,,WNW,26,08:48,12.5,80,7,WNW,17,1027.4,19.6,57,5,ENE,17,1024.2
,2024-08-10,9.9,18.3,0,2.4,,SW,28,10:41,14.5,66,4,NW,9,1029.4,17.3,74,4,SE,17,1027.6
,2024-08-11,9.3,18.8,0,2.0,9.2,SE,26,13:51,14.3,81,4,NW,13,1031.9,18.1,68,4,ESE,20,1030.1
,2024-08-12,11.4,17.0,2.2,1.6,0.3,N,30,00:19,13.3,89,5,NW,11,1033.1,15.8,89,6, ,Calm,1030.8
,2024-08-13,12.9,19.9,2.8,0.6,0.0,NNE,39,12:40,16.8,96,6,NNE,9,1029.5,19.3,77,7,NNE,24,1025.3
,2024-08-14,15.1,18.7,1.2,1.6,0.0,NNE,22,00:01,18.2,92,8,NW,7,1022.4,15.9,95,8,S,15,1019.3
,2024-08-15,14.2,17.9,8.8,0.8,,SSW,33,08:38,15.4,96,8,SSW,17,1019.0,17.6,87,6,S,17,1016.8
,2024-08-16,13.4,22.6,0,2.2,5.7,E,30,14:41,16.1,85,5,WNW,9,1015.0,20.6,65,5,E,24,1009.4
,2024-08-17,13.3,21.8,2.8,1.6,9.5,W,48,14:52,17.3,59,3,WNW,11,1007.7,20.8,34,4,W,35,1004.2
,2024-08-18,11.2,16.8,0,5.0,4.3,SSW,63,13:15,16.0,57,5,WSW,20,1013.8,16.1,69,6,S,41,1016.0
,2024-08-19,12.4,17.0,1.4,4.2,3.2,WSW,26,06:36,13.9,91,7,WSW,7,1025.6,16.2,67,7,ENE,15,1023.8
,2024-08-20,10.2,22.4,0.2,1.0,,NNE,44,17:21,16.2,72,1,WNW,7,1024.2,20.2,58,2,NE,28,1018.2
,2024-08-21,15.6,27.3,0,4.8,9.3,W,46,15:36,21.4,56,3,NNW,28,1014.1,26.4,25,3,WNW,28,1011.9
,2024-08-22,14.6,23.5,0,7.6,7.7,W,37,14:17,15.8,64,7,W,9,1019.2,21.6,33,3,W,20,1017.1
,2024-08-23,10.9,23.1,0,4.0,8.7,NNE,37,16:31,16.9,57,4,WNW,13,1025.0,20.2,43,6,ENE,24,1021.8
,2024-08-24,13.8,28.1,0.4,4.4,6.8,NNW,50,12:02,17.5,63,7,NNW,22,1018.2,27.8,32,1,NNW,31,1011.5
,2024-08-25,16.2,23.8,0,5.6,0.2,NNW,59,22:55,18.2,80,7,SE,7,1015.1,23.2,52,7,N,15,1011.3
,2024-08-26,16.5,25.4,0,3.2,10.6,WSW,72,03:09,19.0,35,0,SSE,13,1014.7,24.7,23,0,WSW,20,1014.5
,2024-08-27,11.7,25.4,0,5.2,10.1,WSW,35,00:17,16.8,50,1,WNW,13,1021.9,23.0,35,1,NE,19,1014.6
,2024-08-28,16.6,29.6,0,8.0,8.9,WNW,94,17:08,25.1,20,5,NW,28,1009.1,28.3,19,3,WNW,54,1004.2
,2024-08-29,14.5,25.2,0,12.0,10.1,SW,46,00:12,17.3,35,3,W,24,1014.8,24.0,19,0,NW,19,1010.8
,2024-08-30,15.1,31.6,0,9.2,10.8,WNW,70,13:43,22.7,29,1,NNW,30,1003.8,30.5,17,1,WNW,43,997.9
,2024-08-31,16.2,25.9,0,10.0,10.8,WNW,61,09:49,19.8,28,0,W,26,1007.8,25.0,17,1,WNW,35,1005.4
