"Daily Weather Observations for Sydney Airport, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2125.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,19.4,31.3,0.8,0.8,5.6,WNW,78,13:45,25.3,74,5,WNW,17,1006.9,18.4,95,7,S,26,1005.3
,2024-12-2,17.1,34.9,12.8,7.4,13.3,NE,57,17:59,26.8,53,1,NW,17,1009.2,30.7,45,4,NE,31,1006.6
,2024-12-3,20.8,35.1,0,12.0,2.6,NW,54,13:23,28.8,48,7,NNE,13,1007.4,30.4,43,8,NW,37,1006.2
,2024-12-4,20.3,24.5,0,6.4,9.0,SSE,52,05:18,21.5,77,7,S,26,1016.2,22.8,73,5,SSE,22,1017.4
,2024-12-5,19.2,27.0,0,6.8,4.2,ENE,37,14:47,21.5,80,8,SSE,9,1021.7,25.9,66,2,ENE,24,1018.1
,2024-12-6,21.1,30.2,0,6.8,7.4,NNE,41,16:08,24.7,77,4,SSE,11,1018.2,28.3,65,4,ENE,24,1014.4
,2024-12-7,21.3,30.1,,,1.6,SW,44,03:46,24.7,86,8,N,13,1010.3,25.9,90,7,NW,19,1007.5
,2024-12-8,20.8,27.1,,,5.5,SE,39,12:54,24.4,77,1,ESE,11,1008.7,22.5,78,8,SSE,28,1010.8
,2024-12-9,17.9,24.8,22.2,10.8,,NE,37,14:27,21.5,70,7,ENE,19,1015.9,23.2,66,7,NE,28,1013.4
,2024-12-10,18.9,25.1,0,13.2,10.0,S,54,11:33,20.5,81,3,SSE,24,1012.7,23.1,64,3,SE,31,1011.4
,2024-12-11,19.8,26.2,0,8.4,8.6,NE,43,16:38,20.6,78,7,S,13,1011.7,24.6,51,1,ENE,31,1007.8
,2024-12-12,18.1,29.1,0,8.0,,NNE,31,19:01,23.4,62,0,WSW,7,1008.0,28.1,37,1,ESE,19,1006.3
,2024-12-13,20.5,31.9,0,4.2,,S,54,20:43,25.5,68,0,WNW,7,1007.8,30.7,45,2,ENE,26,1004.9
,2024-12-14,20.4,27.3,0,4.8,,S,41,23:01,23.0,74,6,S,19,1012.2,26.2,65,1,ESE,24,1010.1
,2024-12-15,21.1,25.8,0,6.2,,S,43,11:34,23.3,88,8,SSE,15,1012.0,24.8,78,2,SSE,31,1011.7
,2024-12-16,21.8,30.7,0,5.0,,NE,59,16:44,25.4,74,3,SSE,13,1015.3,29.0,62,1,NE,33,1011.5
,2024-12-17,21.2,34.0,0,11.6,,S,78,17:38,27.6,63,3,N,19,1007.8,33.1,42,4,NE,37,1003.9
,2024-12-18,17.4,22.4,1.0,9.2,,S,70,10:14,17.7,89,7,SSE,46,1016.7,21.1,64,2,S,44,1018.0
,2024-12-19,17.3,23.5,0.4,12.0,,SE,41,23:02,21.0,54,4,SSE,22,1019.3,21.8,56,3,S,28,1017.8
,2024-12-20,17.5,25.1,0,8.2,13.2,SSW,33,05:19,20.9,61,2,SSW,20,1014.2,23.9,52,1,SE,26,1010.8
,2024-12-21,18.1,30.1,0,8.8,11.6,SE,35,16:35,23.5,58,1,NW,15,1008.2,26.0,51,7,ESE,24,1006.7
,2024-12-22,20.2,27.7,0,10.0,7.3,ENE,41,14:23,22.1,60,8,ENE,11,1009.6,26.1,55,1,ENE,28,1004.7
,2024-12-23,21.5,29.7,0,8.0,12.0,W,61,11:24,25.9,32,3,WSW,28,1000.5,20.9,66,1,S,41,1002.5
,2024-12-24,16.2,24.4,0,11.8,12.3,S,50,10:56,19.9,49,1,SSW,28,1011.6,22.9,37,1,SE,28,1012.0
,2024-12-25,16.4,29.0,0,8.6,13.2,ENE,39,14:44,21.9,55,0,W,13,1017.7,26.3,44,1,ENE,31,1014.6
,2024-12-26,19.7,29.3,0,8.0,13.1,NE,67,15:25,24.6,58,1,NNE,15,1016.0,27.5,51,1,NE,41,1010.1
,2024-12-27,21.8,39.5,0.8,10.6,8.5,S,72,18:13,23.6,73,7,N,19,1004.2,37.2,27,2,NW,28,1000.1
,2024-12-28,18.9,27.1,0.8,12.0,11.3,NE,46,15:44,21.9,70,5,S,20,1010.5,25.0,55,4,ENE,30,1008.6
,2024-12-29,18.0,29.8,0,9.4,12.6,SE,39,14:16,24.3,35,0,WSW,20,1014.3,25.3,64,1,SE,31,1014.4
,2024-12-30,19.8,27.7,0,11.4,9.2,ENE,41,15:40,22.1,64,3,SE,17,1020.5,26.1,51,3,ENE,26,1017.2
,2024-12-31,20.3,29.6,0,6.6,5.9,E,35,13:54,23.5,75,7,SE,15,1016.0,26.5,59,4,E,24,1014.0
