"Daily Weather Observations for Sydney Airport, New South Wales for March 2025"
"Prepared at 13:00 UTC on Tuesday 19 August 2025   IDCJDW2125.202503"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-03-1,21.5,31.5,0,8.0,9.8,S,48,23:04,23.1,79,6,SW,11,1016.7,29.2,58,0,NE,24,1012.7
,2025-03-2,21.0,25.7,0,7.2,4.9,S,59,21:20,23.5,83,3,SE,15,1013.5,22.9,86,8,S,35,1013.1
,2025-03-3,20.4,24.2,0,6.6,5.8,S,56,08:58,21.7,83,5,S,33,1018.4,22.8,76,5,S,39,1017.5
,2025-03-4,19.6,27.4,3.0,4.4,7.2,ESE,52,07:50,21.4,87,7,ESE,31,1021.1,23.5,74,6,S,30,1021.2
,2025-03-5,19.5,27.8,3.6,6.6,11.0,S,37,03:51,22.5,80,4,SE,19,1021.4,26.1,49,3,SE,22,1019.6
,2025-03-6,20.8,27.9,0,7.6,8.4,SSE,52,15:22,22.5,76,7,E,20,1020.5,24.2,70,5,SE,22,1019.9
,2025-03-7,20.4,28.0,0,5.8,6.5,SE,44,05:40,21.9,86,7,S,19,1021.2,26.5,54,4,ESE,30,1020.4
,2025-03-8,20.9,27.7,0.2,8.2,3.1,E,43,10:22,24.5,64,7,E,20,1022.5,25.5,58,7,E,31,1022.4
,2025-03-9,20.5,28.5,5.0,6.4,7.2,NNE,44,10:39,23.5,83,5,W,9,1023.4,26.8,57,5,ENE,30,1021.1
,2025-03-10,20.4,28.4,0,6.6,2.8,NNE,46,09:38,25.6,65,7,NNE,22,1020.7,25.6,65,7,NNE,28,1018.9
,2025-03-11,19.9,23.8,20.4,3.0,0.0,E,37,14:01,21.5,95,8,NE,13,1020.8,22.5,84,8,E,26,1020.9
,2025-03-12,18.6,26.8,7.2,1.0,0.0,SSW,31,11:01,21.3,89,6,W,7,1022.7,25.7,67,5,ESE,19,1020.0
,2025-03-13,20.1,30.0,0.2,5.0,11.3,ENE,35,12:52,23.3,76,0,NW,11,1020.0,29.0,58,1,NE,26,1017.0
,2025-03-14,20.0,34.2,0,5.4,11.0,S,41,22:29,22.6,86,0,WSW,2,1019.4,31.1,48,1,NE,22,1016.7
,2025-03-15,22.2,34.1,0,8.6,8.4,S,52,01:05,24.8,79,7,WNW,11,1019.7,30.2,59,4,NE,26,1014.8
,2025-03-16,23.0,39.3,0,8.0,4.0,W,46,12:41,28.1,49,7,WNW,7,1011.1,38.3,20,7,WNW,31,1006.5
,2025-03-17,16.9,20.3,0,12.0,10.6,S,72,23:33,18.2,55,3,SSW,35,1018.9,19.8,58,2,S,33,1021.2
,2025-03-18,15.4,24.4,0,6.6,3.6,NE,37,20:49,17.5,62,7,NW,11,1024.5,23.8,47,7,E,19,1022.5
,2025-03-19,17.0,27.9,0,5.4,8.9,NNW,70,11:13,22.1,68,7,NW,11,1023.3,26.4,50,4,NNE,35,1019.6
,2025-03-20,21.2,30.0,0,6.4,8.9,NNE,54,20:53,24.0,69,5,NE,13,1020.2,28.6,57,2,ENE,28,1015.9
,2025-03-21,20.2,29.0,0,10.2,3.1,SSW,52,21:13,23.2,78,7,NW,9,1014.4,26.7,65,6,NW,15,1012.5
,2025-03-22,,24.1,1.2,1.2,3.1,SSW,44,01:05,20.7,86,7,SSW,20,1017.6,22.9,80,4,S,26,1016.1
,2025-03-23,,24.3,2.4,3.8,0.8,SSW,35,15:10,21.2,93,7,SW,19,1020.9,21.5,90,7,SSW,19,1019.7
,2025-03-24,,27.1,2.0,1.4,1.4,ENE,28,14:21,20.9,94,7,SW,7,1020.5,24.9,65,7,NE,15,1019.0
,2025-03-25,20.7,27.2,0,3.4,3.9,E,35,11:01,24.5,72,5,SE,19,1022.9,,,7,E,24,1021.0
,2025-03-26,20.0,28.4,1.8,3.4,7.7,ENE,31,13:50,22.2,92,7,WNW,7,1022.6,26.3,65,4,NE,22,1020.8
,2025-03-27,18.7,27.0,0,4.4,3.1,SSW,41,08:58,21.2,85,7,SW,13,1023.3,25.8,63,7,ESE,20,1022.1
,2025-03-28,19.4,25.9,8.0,3.6,1.4,ENE,39,11:47,21.1,92,7,SSW,9,1022.5,24.6,67,7,ENE,28,1019.9
,2025-03-29,18.2,22.5,24.0,1.2,0.0,SW,61,22:55,19.4,96,7,S,28,1012.3,20.7,97,8,WSW,7,1007.5
,2025-03-30,18.8,24.2,13.0,1.4,5.8,SSW,78,02:24,19.9,94,7,SW,35,1007.6,23.4,74,5,S,44,1007.1
,2025-03-31,,,26.0,5.6,3.5,SSW,74,10:45,18.8,84,6,SSW,39,1011.3,20.9,77,6,SSW,56,1011.1
