"Daily Weather Observations for Sydney Airport, New South Wales for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2125.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,17.2,21.7,1.0,4.6,6.9,SSW,59,11:49,18.8,75,6,SW,37,1015.0,21.0,66,6,SSW,44,1013.1
,2025-04-2,14.4,23.1,0,5.4,8.0,W,33,09:51,16.4,66,7,WSW,20,1012.0,,,1,SSE,13,1008.2
,2025-04-3,14.8,26.9,0,4.0,10.4,WSW,43,12:30,17.7,79,0,NW,13,1011.2,24.5,44,1,SSE,19,1009.5
,2025-04-4,16.4,24.9,0,4.0,8.1,SSW,31,09:57,20.0,72,1,NNW,11,1016.3,24.1,63,3,SE,20,1014.7
,2025-04-5,16.8,25.4,0,4.0,10.7,WSW,44,09:22,19.4,40,1,W,17,1015.1,23.8,35,1,SSE,28,1014.4
,2025-04-6,14.1,27.5,0,8.4,7.7,WNW,39,20:40,19.7,64,1,NW,20,1018.6,24.3,38,6,SSW,13,1013.7
,2025-04-7,16.0,26.7,0,6.4,10.7,W,39,11:31,21.3,39,0,NW,17,1018.1,24.4,41,1,ESE,19,1016.2
,2025-04-8,15.8,21.3,3.2,6.8,3.8,SW,33,11:53,17.6,86,6,W,13,1025.2,20.5,74,5,S,17,1023.1
,2025-04-9,16.6,24.0,5.0,0.8,6.6,NE,39,16:24,17.9,93,6,ESE,9,1025.6,22.6,61,4,NE,24,1021.7
,2025-04-10,16.3,24.6,0.2,3.8,2.1,NE,26,16:30,20.8,73,6,WNW,13,1023.1,23.9,59,7,ENE,17,1020.1
,2025-04-11,16.7,29.1,0,3.2,9.8,SSW,44,21:00,21.9,68,1,NW,13,1023.6,27.7,42,1,ESE,19,1022.7
,2025-04-12,18.8,24.8,0,4.6,,SSW,48,06:25,21.7,80,5,SSW,19,1030.8,24.0,76,5,S,20,1029.0
,2025-04-13,17.8,26.4,0,3.6,9.7,NE,31,15:58,22.4,74,1,NW,4,1030.0,25.3,48,2,ENE,20,1026.1
,2025-04-14,17.0,28.6,0,4.8,9.8,SSW,61,15:16,22.0,70,2,NW,11,1025.4,22.8,75,3,S,39,1023.5
,2025-04-15,17.6,22.2,10.2,6.2,4.7,SSW,56,00:24,20.5,68,6,SSE,33,1027.2,20.7,62,5,SSE,33,1025.1
,2025-04-16,17.4,21.3,0.4,6.6,6.5,SW,52,20:27,18.5,66,7,SW,22,1022.4,20.6,64,4,S,33,1018.4
,2025-04-17,15.8,22.3,4.6,1.8,6.3,SSW,52,10:08,20.0,79,5,SSW,33,1016.5,21.8,73,5,S,35,1014.4
,2025-04-18,15.8,23.4,0.2,3.6,10.4,SSE,31,10:35,20.1,62,1,WSW,13,1014.8,22.2,66,0,SSE,17,1012.3
,2025-04-19,15.2,29.9,0,4.0,10.0,NE,33,16:47,19.9,65,3,WNW,17,1013.2,29.0,30,3,NE,17,1009.5
,2025-04-20,16.0,30.2,0,6.0,10.4,NNE,50,20:30,21.6,50,0,NW,13,1013.3,28.4,29,1,ENE,22,1009.8
,2025-04-21,19.9,25.7,0,7.2,7.8,SSE,37,19:11,23.6,53,6,W,24,1011.4,24.3,59,5,SE,17,1009.6
,2025-04-22,15.8,23.0,0.8,4.0,7.8,SW,56,12:40,20.1,82,7,SSW,33,1014.9,22.2,76,7,S,35,1013.1
,2025-04-23,17.6,25.2,19.6,5.4,7.2,ENE,61,03:29,22.9,71,5,E,28,1022.6,23.3,67,5,ESE,28,1021.6
,2025-04-24,18.4,24.8,0.2,3.6,8.3,NE,31,18:14,20.7,75,6,NW,15,1024.0,24.0,59,3,E,19,1020.6
,2025-04-25,17.5,24.6,13.2,5.8,4.7,ENE,31,13:47,18.8,90,6,WNW,13,1020.6,23.1,61,4,ENE,20,1017.0
,2025-04-26,16.5,24.5,0,3.0,3.7,NE,48,20:41,19.8,86,6,NW,7,1016.9,23.4,67,7,NE,22,1013.6
,2025-04-27,17.5,21.9,36.0,4.6,0.0,S,74,21:06,19.3,93,8,NNE,11,1011.7,21.3,70,8,SSE,35,1008.9
,2025-04-28,18.0,20.7,12.6,3.2,5.0,SSW,54,01:01,19.0,94,7,SSW,35,1014.5,20.4,83,6,SSW,33,1014.3
,2025-04-29,15.2,22.7,4.4,1.8,6.1,SSE,37,13:59,20.1,75,1,NW,11,1017.7,20.0,82,7,SSE,24,1016.3
,2025-04-30,15.6,18.7,16.0,2.6,0.5,SSW,59,10:37,16.0,95,7,SSW,37,1021.5,15.0,90,7,SW,35,1022.1
