"Daily Weather Observations for Sydney Airport, New South Wales for June 2025"
"Prepared at 16:00 UTC on Saturday 16 August 2025   IDCJDW2125.202506"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Sydney Airport AMO {station 066037}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-06-1,10.6,21.2,0,1.2,9.3,WNW,24,10:24,14.1,80,1,NW,11,1027.2,20.2,56,1,NNE,9,1023.8
,2025-06-2,11.0,18.5,0,2.0,4.0,NW,28,10:13,14.1,80,7,NW,11,1020.6,17.4,72,7, ,Calm,1014.9
,2025-06-3,10.7,17.9,0,1.8,5.8,S,43,18:09,13.2,81,7,W,17,1009.8,17.7,55,7,SSW,30,1007.9
,2025-06-4,10.3,14.1,1.6,3.4,2.1,SSW,70,12:23,10.8,87,7,SW,37,1015.4,13.0,80,7,SSW,43,1016.6
,2025-06-5,7.8,16.7,5.8,3.6,9.0,WNW,41,08:08,10.9,59,1,W,28,1023.9,16.1,54,1,SSW,20,1022.6
,2025-06-6,7.2,16.9,0,2.2,4.5,NW,26,08:40,10.6,71,6,WNW,20,1022.1,16.4,47,7,NNW,9,1015.9
,2025-06-7,10.1,20.4,0,2.2,8.8,WNW,59,14:08,15.4,54,2,NNW,19,1010.9,19.5,29,2,WNW,33,1006.3
,2025-06-8,10.1,17.0,0,5.0,,WNW,72,13:03,14.0,46,1,NW,43,1005.6,16.4,29,1,WNW,46,1002.8
,2025-06-9,8.2,15.5,0,6.0,,W,57,14:51,11.6,48,2,NW,22,1002.8,12.0,58,7,W,44,1000.2
,2025-06-10,10.1,18.3,0.6,2.2,,W,56,12:48,13.9,59,1,W,28,1007.8,17.5,42,1,WSW,30,1007.0
,2025-06-11,8.3,17.6,0,3.4,,W,44,09:47,11.7,59,1,W,24,1013.4,16.8,37,2,W,24,1012.0
,2025-06-12,8.0,15.9,0,3.0,,S,48,21:11,12.0,59,4,WSW,24,1018.8,15.2,63,6,S,24,1017.7
,2025-06-13,9.0,15.0,0,2.4,3.3,SSW,52,14:09,11.6,65,7,WNW,11,1022.4,14.0,75,7,SSW,33,1021.3
,2025-06-14,7.3,16.0,0.2,1.4,6.3,SSE,37,11:18,10.7,86,6,NNW,13,1023.6,15.3,78,6,S,20,1021.6
,2025-06-15,8.1,19.1,0.2,1.2,6.3,WSW,41,17:12,10.7,86,6,NW,13,1023.4,16.7,64,4,E,13,1020.1
,2025-06-16,6.6,18.0,3.8,1.6,9.2,NW,31,09:54,10.3,71,1,WNW,17,1024.8,16.8,37,3,NW,11,1021.6
,2025-06-17,6.4,19.5,0.2,3.2,9.0,WNW,43,12:51,11.2,70,1,NW,11,1023.0,19.0,33,5,W,19,1018.7
,2025-06-18,7.7,17.9,0,,9.2,W,30,01:04,11.3,58,1,NW,13,1026.0,17.3,33,1,W,6,1024.2
,2025-06-19,5.8,18.9,0,,8.7,WNW,24,06:18,9.3,71,7,NW,13,1028.6,18.0,49,7,ENE,7,1025.0
,2025-06-20,6.7,17.2,0,,9.2,NNW,24,06:21,9.9,69,1,NW,13,1029.7,16.4,65,1,SE,11,1028.0
,2025-06-21,6.9,19.8,0,,9.2,NW,22,09:28,10.3,76,0,NNW,15,1032.2,19.1,47,0,E,7,1028.5
,2025-06-22,7.0,19.9,0,,9.2,NW,26,08:37,9.9,68,1,NW,15,1029.6,19.4,44,3,E,7,1025.4
,2025-06-23,7.8,22.0,0,,9.4,NNE,35,19:24,11.2,69,0,NW,9,1024.0,21.7,51,1,NE,20,1018.4
,2025-06-24,11.2,22.1,0,,5.9,N,61,06:51,18.6,60,7,N,31,1010.7,21.6,48,1,NNW,33,1006.5
,2025-06-25,13.6,17.4,1.4,,9.2,NW,93,09:06,14.5,40,1,NW,63,1006.6,16.7,40,3,WNW,41,1006.0
,2025-06-26,7.8,14.3,0,,9.2,WSW,46,04:01,10.4,52,1,W,26,1024.4,13.9,50,3,SSW,31,1026.4
,2025-06-27,7.8,15.2,0,4.0,1.7,SSW,39,11:43,10.6,62,7,W,19,1031.7,14.6,68,7,SSW,28,1029.4
,2025-06-28,7.7,17.5,0,2.0,7.8,NW,19,06:26,11.5,71,4,NW,13,1029.4,16.1,68,7,SE,11,1026.6
,2025-06-29,7.7,19.2,0,2.2,7.8,WNW,26,09:53,10.8,80,1,NW,13,1026.1,18.3,45,1,W,6,1023.5
,2025-06-30,9.1,16.7,0,,7.9,SSW,44,21:03,12.2,68,2,NW,13,1027.0,15.2,75,7,S,28,1023.2
