"Daily Weather Observations for Wagga Wagga, New South Wales for January 2024"
"Prepared at 13:00 UTC on Sunday 10 November 2024   IDCJDW2139.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,16.1,31.9,0,,,ENE,48,23:21,22.0,56,,ENE,28,1020.1,31.2,42,3,ESE,15,1015.7
,2024-01-2,20.5,31.8,0,,,NNW,83,15:48,22.7,76,8,ENE,17,1017.1,31.4,46,1,NE,19,1012.6
,2024-01-3,18.8,33.5,47.0,,,NE,31,03:02,24.1,78,,E,17,1015.0,31.6,44,3,N,13,1012.0
,2024-01-4,20.2,30.6,0.2,,,SSE,76,15:54,25.5,67,7,ESE,6,1015.0,29.4,58,,NNW,13,1013.4
,2024-01-5,19.9,29.0,3.4,,,ENE,37,07:43,21.8,64,,ENE,24,1019.4,27.8,50,,ENE,11,1017.4
,2024-01-6,16.9,28.9,0,,,ENE,39,23:00,20.6,59,,ENE,22,1020.4,28.3,38,1,ENE,17,1015.9
,2024-01-7,19.2,27.9,0,,,ENE,48,01:16,20.7,63,7,ENE,24,1015.1,27.2,57,7,NE,20,1011.5
,2024-01-8,20.7,26.6,9.2,,,SW,39,15:23,22.4,93,8,NNW,15,1008.7,24.8,78,8,N,15,1008.1
,2024-01-9,19.3,31.1,6.0,,,W,30,13:03,21.5,91,8,N,4,1011.9,29.5,50,,W,13,1009.5
,2024-01-10,19.1,33.6,0,,,WSW,30,14:30,23.6,72,4,E,11,1013.2,32.2,36,,WNW,19,1011.6
,2024-01-11,18.5,34.9,0,,,ENE,35,23:00,25.7,61,,SE,7,1017.0,33.8,31,,SE,11,1015.8
,2024-01-12,22.6,34.1,0,,,ENE,48,23:47,26.6,60,,ENE,20,1018.7,33.0,40,,ENE,15,1015.3
,2024-01-13,20.5,34.9,0,,,WSW,35,15:50,26.4,64,,ENE,15,1015.1,32.9,40,8,NNE,7,1011.2
,2024-01-14,19.5,29.4,2.2,,,E,46,22:45,23.3,63,,E,22,1016.3,28.7,48,8,NE,22,1015.2
,2024-01-15,16.1,25.6,7.8,,,ENE,63,21:32,19.7,71,8,ENE,28,1019.9,23.5,53,6,ENE,28,1017.9
,2024-01-16,17.1,24.5,0,,,ENE,50,23:03,20.7,64,,ENE,30,1015.4,22.1,74,7,ESE,13,1012.2
,2024-01-17,17.3,26.0,0.4,,,NW,35,13:25,21.9,76,8,ENE,15,1006.7,23.4,82,8,NW,24,1003.4
,2024-01-18,14.3,25.1,6.2,,,WSW,44,16:00,18.4,70,,WSW,19,1006.3,23.8,35,,WSW,30,1005.3
,2024-01-19,10.7,28.3,0.2,,,WSW,33,08:46,17.6,60,,ESE,4,1009.8,26.8,36,,W,20,1007.8
,2024-01-20,12.3,30.2,0,,,E,26,08:41,21.2,68,,E,13,1010.2,28.8,33,8,ESE,7,1006.9
,2024-01-21,17.5,34.9,0,,,WNW,56,12:04,24.5,53,,E,13,1005.1,34.5,23,,W,37,1002.5
,2024-01-22,12.3,30.4,0,,,ENE,33,22:12,17.1,67,,WNW,2,1010.6,28.4,39,,E,9,1008.9
,2024-01-23,17.0,30.9,0,,,ENE,41,07:29,21.9,61,,ENE,28,1013.2,29.5,39,,E,11,1010.3
,2024-01-24,19.6,33.7,0,,,WSW,26,20:51,22.2,69,7,NNE,13,1009.8,32.0,39,4,NW,9,1009.1
,2024-01-25,21.5,31.3,0,,,SSW,41,22:43,27.5,58,8,ENE,7,1009.2,29.5,51,6,SSE,19,1006.2
,2024-01-26,19.5,27.3,1.4,,,SSW,52,23:16,19.7,91,7,WSW,24,1005.3,25.5,39,,WSW,26,1005.4
,2024-01-27,13.8,29.1,0.2,,,WSW,48,15:14,21.2,41,,SSW,24,1007.7,28.2,24,,WSW,24,1004.9
,2024-01-28,10.6,31.4,0,,,WSW,28,09:41,19.9,51,,E,2,1010.4,30.0,24,,NW,15,1008.5
,2024-01-29,18.1,35.3,0,,,ENE,37,23:17,23.8,61,,E,15,1011.3,33.7,31,,S,7,1007.9
,2024-01-30,18.2,35.7,0,,,SW,44,20:11,26.6,47,,ENE,20,1011.8,34.5,36,2,NE,11,1008.6
,2024-01-31,14.8,34.0,0,,,W,37,12:31,23.8,51,,NW,7,1011.5,32.4,24,,WSW,17,1009.3
