"Daily Weather Observations for Wagga Wagga, New South Wales for February 2024"
"Prepared at 13:00 UTC on Saturday  9 November 2024   IDCJDW2139.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,16.4,34.4,0,,,WSW,44,15:24,22.5,66,,ENE,13,1012.5,32.5,31,,W,17,1008.9
,2024-02-2,14.9,32.2,0,,,SW,44,16:31,19.2,57,,WSW,22,1010.5,30.9,24,,SW,28,1007.5
,2024-02-3,13.0,35.6,0,,,W,28,15:32,22.3,58,,ENE,11,1011.3,33.3,27,,WNW,15,1007.9
,2024-02-4,16.4,38.9,0,,,NW,37,16:03,24.8,48,,E,13,1007.9,36.6,19,8,WNW,19,1003.9
,2024-02-5,21.6,23.9,2.4,,,W,41,23:58,22.2,89,8,SE,9,1008.1,23.8,88,8,N,13,1008.0
,2024-02-6,20.6,30.9,6.0,,,W,37,12:35,22.1,89,7,W,11,1011.1,29.3,29,,W,26,1010.8
,2024-02-7,14.3,29.9,0.2,,,ENE,46,21:17,19.8,45,,E,17,1019.6,27.8,32,,SSE,11,1018.1
,2024-02-8,16.5,29.4,0,,,ENE,44,23:12,21.2,53,,ENE,26,1023.3,28.4,35,,NE,13,1020.7
,2024-02-9,14.4,33.3,0,,,SW,41,16:02,20.1,59,,E,11,1022.5,31.9,23,,S,20,1018.3
,2024-02-10,16.3,30.2,0,,,ENE,46,08:35,23.2,58,,ENE,30,1022.1,29.6,27,,ENE,22,1020.5
,2024-02-11,17.3,31.5,0,,,ENE,43,23:28,20.9,57,,ENE,28,1021.6,29.8,33,,N,7,1018.0
,2024-02-12,17.3,35.7,0,,,NNE,31,13:53,23.7,60,,ENE,17,1019.1,33.3,33,,ENE,7,1014.8
,2024-02-13,19.7,37.0,0,,,SW,72,20:50,27.2,52,4,NNE,9,1015.0,35.8,30,,NW,22,1008.9
,2024-02-14,17.3,27.2,6.2,,,WNW,35,12:45,18.6,66,,WSW,17,1012.4,26.5,25,,WSW,20,1013.1
,2024-02-15,12.7,31.6,0,,,ENE,48,23:00,19.8,65,,ESE,15,1018.6,29.2,35,1,NW,11,1016.2
,2024-02-16,19.8,33.3,0,,,ENE,43,23:01,22.0,68,8,ENE,20,1019.9,31.4,42,1,E,7,1017.0
,2024-02-17,21.0,36.4,0,,,N,37,15:45,24.7,68,1,ENE,17,1020.3,35.7,29,3,SW,13,1016.1
,2024-02-18,16.8,36.3,0,,,W,41,14:22,24.0,69,2,ENE,11,1017.9,35.4,16,1,W,20,1014.1
,2024-02-19,18.8,34.9,0,,,ENE,54,20:13,23.5,56,,E,17,1016.4,33.5,26,,NNE,15,1013.5
,2024-02-20,19.1,32.9,0,,,E,41,01:15,23.2,60,,ENE,19,1017.5,30.9,32,,NE,17,1013.5
,2024-02-21,20.2,32.5,0,,,E,35,03:13,22.7,59,1,ENE,17,1016.5,30.9,34,,ENE,20,1012.8
,2024-02-22,19.7,36.0,0,,,W,41,15:12,23.9,64,,ENE,17,1013.6,35.3,22,,NW,13,1009.1
,2024-02-23,22.4,30.7,1.0,,,W,52,13:52,23.6,65,,WNW,15,1006.2,29.3,24,,WSW,35,1006.8
,2024-02-24,9.2,31.6,0.6,,,E,31,21:30,16.3,62,,E,9,1015.2,28.7,29,,NNE,7,1013.5
,2024-02-25,12.9,33.2,0,,,ENE,31,23:16,19.8,59,,E,17,1017.5,31.6,30,,WSW,17,1012.5
,2024-02-26,14.7,35.8,0,,,WSW,33,15:05,21.0,55,7,E,9,1014.0,34.8,15,1,SW,15,1012.0
,2024-02-27,19.1,34.5,0,,,ENE,41,02:16,21.9,58,8,ENE,28,1015.4,32.6,29,,NE,13,1012.6
,2024-02-28,20.6,39.2,0,,,N,33,09:55,24.7,61,,E,19,1015.3,36.8,26,,NNE,15,1011.3
,2024-02-29,22.7,37.6,0,,,WSW,39,15:32,28.5,51,8,ENE,15,1011.8,36.0,28,4,WNW,22,1011.4
