"Daily Weather Observations for Wagga Wagga, New South Wales for August 2024"
"Prepared at 13:00 UTC on Tuesday 12 August 2025   IDCJDW2139.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-2.5,14.7,0,,,E,15,01:56,4.4,78,,E,7,1035.8,14.0,49,,SSE,2,1031.7
,2024-08-2,-1.6,15.8,0,,,ENE,20,12:19,4.8,86,,ESE,6,1032.3,15.3,48,1,WNW,7,1028.9
,2024-08-3,0.1,15.6,0,,,E,17,09:25,5.1,85,8,E,11,1031.1,15.3,48,1,SW,7,1028.3
,2024-08-4,1.8,15.2,0,,,ESE,15,05:27,6.7,82,,E,11,1029.8,14.5,53,4,NW,7,1026.9
,2024-08-5,5.9,13.9,0,,,SW,28,15:41,7.7,93,8,SSE,13,1025.7,12.2,73,7,WSW,20,1022.2
,2024-08-6,2.2,15.2,0.4,,,SW,31,13:08,4.8,98,8, ,Calm,1025.6,14.1,54,,WSW,20,1024.1
,2024-08-7,-0.8,16.1,0,,,SW,24,15:53,6.0,95,,WNW,2,1028.6,15.4,48,,W,17,1026.6
,2024-08-8,0.7,16.9,0,,,NNE,28,14:41,6.4,81,,E,15,1027.9,16.2,52,2,N,17,1024.1
,2024-08-9,2.7,17.7,0,,,ESE,15,09:53,6.3,96,7, ,Calm,1027.8,16.8,45,,SSE,6,1025.4
,2024-08-10,2.3,18.7,0,,,SSE,17,13:00,8.8,80,,E,13,1029.9,17.2,53,,SW,13,1027.8
,2024-08-11,1.5,19.6,0,,,E,22,10:38,8.5,81,,ENE,11,1031.8,19.1,51,,E,7,1029.1
,2024-08-12,5.4,19.9,0,,,ENE,26,11:38,11.6,74,,ENE,9,1032.3,19.5,50,,ENE,11,1028.4
,2024-08-13,5.4,20.5,0,,,E,22,09:38,12.4,80,,E,11,1028.4,19.0,59,8,ESE,9,1023.7
,2024-08-14,10.4,18.8,15.4,,,E,19,10:22,13.3,96,8,ESE,9,1022.6,17.6,71,8,E,4,1018.7
,2024-08-15,6.1,20.7,0.4,,,E,17,12:20,11.6,91,,E,7,1020.2,20.2,61,,ENE,9,1016.1
,2024-08-16,5.0,17.9,0,,,NW,48,13:37,11.5,91,8,E,13,1015.0,13.5,87,8,WNW,17,1011.6
,2024-08-17,5.9,13.4,9.2,,,WNW,54,00:30,9.0,94,8,NNW,9,1009.7,11.6,91,8,W,15,1008.0
,2024-08-18,7.7,16.3,1.6,,,NNW,22,14:08,9.1,94,8, ,Calm,1016.9,15.3,68,4,NW,11,1017.2
,2024-08-19,3.6,18.4,0,,,E,26,11:04,9.5,92,,ENE,9,1024.7,17.8,57,5,NNE,13,1021.9
,2024-08-20,7.0,18.8,0.2,,,NNE,39,10:25,13.0,77,5,ENE,13,1022.0,17.7,63,8,NE,17,1015.1
,2024-08-21,8.5,14.7,0,,,WNW,31,10:58,12.0,90,8,WNW,15,1017.3,13.9,78,8,NW,19,1017.6
,2024-08-22,6.1,17.9,0,,,W,26,14:55,11.4,92,,N,9,1020.5,16.3,60,8,W,19,1019.9
,2024-08-23,2.0,19.3,0,,,NNE,31,13:24,9.0,88,7,E,17,1025.6,18.7,48,1,N,15,1021.2
,2024-08-24,9.0,22.9,1.2,,,NNW,33,11:10,15.6,67,7,NNE,13,1016.8,22.7,54,,NNW,15,1014.3
,2024-08-25,11.3,19.9,0,,,NW,52,14:05,16.0,83,7,ENE,13,1014.3,18.2,88,8,NW,20,1011.8
,2024-08-26,7.7,16.1,10.0,,,W,31,13:47,10.0,89,8,N,9,1020.0,15.1,67,8,W,17,1019.6
,2024-08-27,5.5,18.7,0,,,NNW,30,12:47,12.4,80,,E,7,1022.8,18.0,56,1,NNW,17,1016.2
,2024-08-28,6.7,18.8,0,,,W,57,13:47,15.0,59,,NNW,11,1011.8,16.9,51,8,WNW,26,1010.8
,2024-08-29,5.9,16.6,0,,,WSW,26,10:46,10.9,72,,WNW,11,1017.2,14.8,55,4,WNW,13,1013.6
,2024-08-30,7.6,22.1,0,,,W,48,14:59,13.9,62,8,NNW,7,1004.2,21.5,40,1,WNW,31,1000.6
,2024-08-31,6.0,18.1,0,,,WNW,39,13:11,12.5,69,7,WNW,20,1010.1,17.4,49,7,NNW,22,1009.5
