"Daily Weather Observations for Wagga Wagga, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2139.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,17.6,29.5,24.8,,,N,48,00:42,20.5,89,7,N,7,1006.4,28.8,33,2,W,24,1004.8
,2024-12-2,13.3,33.7,0,,,NW,30,11:53,23.0,59,,E,13,1008.4,32.0,26,,NNW,19,1005.2
,2024-12-3,19.9,29.8,12.0,,,WNW,50,00:03,20.8,95,8,NNE,15,1007.3,27.0,69,8,NNW,17,1005.0
,2024-12-4,18.4,33.0,5.4,,,SW,30,13:25,24.2,82,8,NE,11,1013.4,31.9,41,4,W,15,1012.5
,2024-12-5,20.9,30.9,0,,,NW,33,11:20,25.5,63,1,ENE,17,1017.7,29.1,68,8,E,17,1015.3
,2024-12-6,21.7,36.5,2.2,,,NNE,35,15:46,28.4,72,,ENE,17,1016.5,35.1,39,,NE,9,1011.1
,2024-12-7,22.5,33.6,0,,,SSW,89,14:23,25.9,80,8,WNW,13,1010.1,32.3,47,4,W,24,1005.1
,2024-12-8,18.9,27.0,3.6,,,W,50,14:40,21.3,53,,WSW,28,1011.8,25.5,28,,W,26,1011.3
,2024-12-9,11.7,25.2,0,,,SSW,31,14:22,19.2,56,8,NE,2,1014.3,24.1,39,3,SSW,9,1013.1
,2024-12-10,11.1,29.5,0,,,WSW,43,17:19,20.6,53,,E,4,1013.2,27.2,29,,WNW,19,1009.6
,2024-12-11,10.2,27.6,0,,,SW,39,09:07,20.6,55,,NW,11,1010.9,26.7,29,,W,15,1008.3
,2024-12-12,11.3,31.2,0,,,W,35,14:09,20.7,51,,N,4,1009.3,29.7,26,,WSW,17,1006.5
,2024-12-13,13.4,33.8,0,,,W,44,11:42,24.0,48,,ESE,9,1008.0,32.8,23,,W,28,1005.3
,2024-12-14,17.0,33.7,0,,,W,35,13:49,25.0,58,,E,13,1010.0,32.9,25,,WSW,11,1007.6
,2024-12-15,16.4,36.2,0,,,W,26,11:11,26.3,42,,ENE,9,1010.8,35.0,22,,WSW,15,1008.8
,2024-12-16,22.0,39.5,0,,,NNW,43,13:17,27.9,48,,ENE,17,1011.7,38.3,24,1,N,20,1006.9
,2024-12-17,26.8,32.7,0,,,SW,46,14:35,31.0,38,7,NNW,15,1006.0,31.3,15,,WSW,26,1006.6
,2024-12-18,13.0,30.4,0,,,E,48,22:10,20.9,51,,SE,15,1015.3,28.3,23,,SSE,20,1013.9
,2024-12-19,12.7,29.5,0,,,ENE,35,23:12,19.3,42,,E,22,1019.5,27.1,23,,ESE,13,1014.9
,2024-12-20,14.4,32.9,0,,,S,30,14:17,20.6,55,,NE,11,1013.6,30.9,25,,W,13,1008.3
,2024-12-21,13.5,34.9,0,,,W,54,14:21,24.8,45,,ENE,13,1007.4,34.0,20,1,WNW,26,1004.5
,2024-12-22,13.1,30.5,0,,,WSW,48,15:15,20.1,65,,NNW,9,1007.0,29.0,14,,WNW,20,1003.0
,2024-12-23,11.4,23.3,0,,,SW,57,14:19,15.1,50,3,WSW,33,1006.6,22.5,25,,WSW,35,1006.3
,2024-12-24,9.4,28.2,0,,,SW,41,01:15,15.7,51,,SW,15,1013.7,26.2,30,,SW,19,1011.8
,2024-12-25,12.1,34.2,0,,,WSW,30,13:39,23.0,43,,NE,7,1016.0,33.2,20,,WSW,7,1012.5
,2024-12-26,15.2,37.5,0,,,NNE,54,22:53,27.2,43,,ENE,19,1011.8,36.1,18,,NNW,28,1005.4
,2024-12-27,18.7,28.3,0,,,N,56,23:16,20.6,38,,W,28,1005.8,26.2,17,,W,30,1004.2
,2024-12-28,11.1,27.7,0,,,W,48,14:56,19.9,40,,NW,15,1010.6,25.8,17,,WNW,13,1008.7
,2024-12-29,11.6,30.5,0,,,SW,43,12:59,21.2,48,,NNW,9,1015.2,29.4,23,,SW,24,1013.3
,2024-12-30,14.6,33.8,0,,,NW,39,11:48,23.8,53,,ENE,17,1017.6,32.7,22,,WNW,13,1013.2
,2024-12-31,17.1,34.7,0,,,SSW,39,13:48,26.0,42,,ENE,15,1014.0,33.1,20,,SSW,15,1010.8
