"Daily Weather Observations for Wagga Wagga, New South Wales for May 2025"
"Prepared at 13:00 UTC on Sunday 17 August 2025   IDCJDW2139.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,5.3,20.4,0,,,S,31,14:03,12.8,58,,SSE,9,1030.2,19.9,26,,E,11,1028.3
,2025-05-2,3.4,21.7,0,,,SE,28,11:59,10.9,59,,E,11,1034.8,20.9,26,,SSW,17,1031.4
,2025-05-3,3.9,22.7,0,,,ENE,19,00:07,12.1,54,,ENE,11,1036.1,21.6,27,,ESE,11,1031.7
,2025-05-4,7.3,23.1,0,,,E,19,08:10,13.1,52,,E,13,1034.2,22.1,33,,SSE,9,1029.6
,2025-05-5,8.4,24.8,0,,,W,26,15:06,14.1,52,,E,13,1030.2,24.1,37,1,WNW,13,1024.6
,2025-05-6,7.6,26.2,0,,,WNW,39,12:38,15.6,67,2,E,11,1024.2,25.5,28,2,WNW,20,1019.4
,2025-05-7,8.3,24.1,0,,,W,44,13:46,17.2,53,, ,Calm,1019.2,21.9,45,1,W,26,1017.2
,2025-05-8,6.5,18.8,0,,,SW,33,15:45,10.8,60,,W,11,1027.5,18.2,27,,WSW,20,1026.7
,2025-05-9,2.4,20.8,0,,,ENE,26,09:53,11.2,53,,ENE,9,1033.5,20.4,26,,S,11,1029.6
,2025-05-10,4.5,22.2,0,,,SE,26,15:41,12.3,55,,E,13,1032.9,22.1,31,,ESE,9,1027.7
,2025-05-11,7.7,23.7,0,,,NE,31,10:08,16.8,59,,E,24,1029.2,23.5,37,2,E,13,1025.6
,2025-05-12,8.8,24.8,0,,,SW,26,14:59,16.5,60,,E,9,1027.6,23.7,40,,SSW,11,1024.0
,2025-05-13,8.8,23.7,0,,,E,24,09:47,15.5,65,,E,13,1026.2,22.3,49,1,N,9,1022.3
,2025-05-14,10.0,23.0,0.8,,,WSW,24,14:58,15.5,78,1,E,7,1022.5,22.5,37,1,WSW,20,1019.4
,2025-05-15,3.3,23.3,0,,,ESE,20,23:18,12.2,64,,E,9,1022.8,23.1,38,,ESE,7,1019.7
,2025-05-16,7.8,22.3,0,,,SW,20,16:07,14.1,70,,E,9,1020.6,22.0,45,,WNW,9,1016.0
,2025-05-17,2.5,19.4,0,,,WSW,41,12:44,9.2,77,,NW,9,1018.7,17.2,40,3,W,24,1016.6
,2025-05-18,6.5,18.2,0,,,S,33,10:40,9.3,82,8,NNE,2,1023.5,16.9,37,8,S,17,1023.2
,2025-05-19,1.9,19.1,0,,,ENE,22,19:23,10.4,55,,NE,4,1031.1,17.6,29,,SE,9,1029.3
,2025-05-20,1.8,19.9,0,,,SSE,39,12:33,10.0,57,,ENE,9,1032.1,19.4,31,,E,15,1028.0
,2025-05-21,3.1,21.5,0,,,E,30,11:43,12.0,56,4, ,Calm,1028.0,20.0,47,8,ENE,15,1023.7
,2025-05-22,11.7,14.4,3.6,,,SSE,37,21:00,12.2,91,8,SSE,9,1021.8,13.6,92,8,ESE,7,1018.1
,2025-05-23,12.0,17.5,24.4,,,NNW,35,15:56,13.8,92,8,E,15,1015.1,16.0,76,8,NE,17,1011.8
,2025-05-24,12.4,19.0,2.2,,,NW,31,13:26,13.2,82,8,NW,13,1016.0,18.7,42,,NW,24,1014.4
,2025-05-25,3.7,20.4,0,,,NNW,28,15:51,10.3,76,,E,9,1019.6,19.9,32,,NNW,17,1016.4
,2025-05-26,8.6,16.0,0.2,,,N,52,12:16,13.1,56,8,ENE,19,1015.1,13.6,82,8,N,22,1010.0
,2025-05-27,6.4,11.5,2.4,,,W,41,03:06,9.4,74,8,NNW,9,1011.2,11.0,85,3,WSW,24,1011.4
,2025-05-28,7.8,14.9,6.8,,,SW,31,10:50,9.5,87,8,W,19,1020.3,14.0,64,5,WSW,17,1018.5
,2025-05-29,1.5,16.8,0,,,W,19,14:41,7.9,97,, ,Calm,1022.6,16.3,49,,W,9,1021.7
,2025-05-30,1.6,18.0,0.2,,,SE,15,05:37,7.3,90,,ENE,7,1026.4,17.2,48,,NNW,6,1025.0
,2025-05-31,1.6,18.3,0,,,E,19,09:24,7.6,78,,E,15,1029.2,17.7,46,,NW,6,1026.8
