"Daily Weather Observations for Wagga Wagga, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2139.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Wagga Wagga AMO {station 072150}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,0.8,15.4,0,,,ENE,19,07:49,7.3,69,,ESE,11,1025.8,14.7,42,8,WSW,6,1021.8
,2025-08-2,5.9,17.2,0,,,S,33,10:29,9.9,67,8,S,20,1023.7,17.1,46,4,SSE,19,1021.7
,2025-08-3,1.2,19.1,0,,,SE,15,01:03,8.5,70,, ,Calm,1025.6,18.4,40,,W,2,1023.2
,2025-08-4,3.1,18.1,0,,,NE,33,12:28,8.9,76,,ESE,13,1023.6,17.8,60,,NE,19,1019.0
,2025-08-5,5.4,16.4,1.8,,,WSW,33,13:02,11.7,85,6,NW,9,1018.3,15.5,55,,W,19,1017.6
,2025-08-6,1.7,15.9,0.2,,,W,28,12:35,8.3,85,,E,7,1023.8,13.6,60,8,W,15,1022.9
,2025-08-7,0.2,15.3,0,,,ENE,17,11:03,5.7,90,,ENE,7,1029.3,15.0,47,,E,9,1028.1
,2025-08-8,2.8,16.1,0,,,ESE,30,12:00,8.6,71,,E,13,1032.5,14.9,56,,E,15,1030.1
,2025-08-9,4.1,17.6,0,,,ENE,33,00:27,9.3,65,,E,13,1033.9,16.8,49,,ENE,13,1029.3
,2025-08-10,1.4,17.3,0,,,E,22,11:09,8.2,72,,E,9,1030.8,16.4,44,,SE,7,1027.2
,2025-08-11,2.4,16.6,0,,,E,26,10:25,9.2,76,,E,11,1029.0,16.1,47,,NE,9,1025.4
,2025-08-12,1.4,16.8,0,,,E,26,10:03,8.9,76,,E,9,1027.4,16.3,47,1,NE,6,1024.1
,2025-08-13,6.7,13.6,2.8,,,WNW,15,04:04,8.2,90,8,E,9,1027.0,12.9,78,8,NW,6,1025.6
,2025-08-14,3.1,17.2,0.4,,,E,15,08:55,8.9,83,,E,13,1028.2,16.6,41,,ESE,9,1025.4
,2025-08-15,2.1,16.7,0,,,NW,28,12:52,9.0,78,,E,15,1022.3,15.4,54,4,NNW,20,1017.2
,2025-08-16,6.3,11.3,0.4,,,W,43,14:18,8.5,84,4,W,17,1016.0,9.5,75,8,SW,26,1014.8
,2025-08-17,-2.1,11.7,1.8,,,SSE,17,22:54,4.4,82,8,E,6,1021.0,11.3,59,8,SSW,4,1019.7
,2025-08-18,2.3,14.6,0.2,,,SE,24,14:02,7.1,78,,E,11,1027.7,14.0,42,,ESE,11,1027.1
,2025-08-19,-0.2,16.9,0,,,NE,20,13:39,7.5,69,,NE,7,1032.9,16.2,43,1,ENE,13,1029.5
,2025-08-20,3.2,18.3,0,,,ESE,39,12:20,11.8,66,8,ESE,11,1032.0,16.7,48,4,ENE,19,1027.7
,2025-08-21,10.2,19.1,0,,,ENE,56,13:16,14.1,65,7,E,15,1027.3,17.7,52,3,ENE,33,1023.5
,2025-08-22,4.8,18.2,0.2,,,ESE,17,02:30,12.8,78,,E,11,1024.9,17.6,53,7,WSW,13,1021.1
,2025-08-23,3.2,19.0,0,,,SW,30,14:26,9.5,93,, ,Calm,1023.0,17.9,51,1,W,20,1020.7
,2025-08-24,0.4,16.8,0,,,WSW,24,14:47,9.7,74,,ENE,9,1024.5,15.0,58,1,WSW,15,1021.5
,2025-08-25,0.7,20.2,0,,,E,17,08:23,9.6,75,,E,9,1022.0,19.1,52,,W,11,1018.3
,2025-08-26,7.2,19.7,0,,,ENE,28,09:51,12.6,80,8,E,17,1015.1,19.1,54,8,NNE,15,1008.3
,2025-08-27,9.8,16.2,5.0,,,WSW,78,18:11,12.0,80,4,WNW,19,1004.5,14.8,59,8,WNW,33,1002.4
,2025-08-28,5.6,14.8,3.2,,,WNW,50,13:47,8.7,82,7,NW,19,1009.4,12.1,73,8,W,24,1007.3
,2025-08-29,7.1,16.9,1.6,,,WNW,83,16:37,10.6,78,8,NNW,17,1009.7,15.9,43,8,NW,26,1002.9
,2025-08-30,5.4,13.2,7.4,,,WSW,61,10:22,8.7,71,4,WSW,31,1013.7,12.5,52,5,WSW,35,1019.6
,2025-08-31,0.2,14.7,0.2,,,SSW,31,13:10,6.6,84,,N,9,1028.9,13.3,61,8,SW,17,1025.7
