"Daily Weather Observations for Williamtown, New South Wales for December 2023"
"Prepared at 13:00 UTC on Monday 11 November 2024   IDCJDW2145.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,17.2,26.2,0,,,ESE,33,15:07,24.4,61,,SSW,13,1005.7,24.0,68,,SE,20,1003.7
,2023-12-2,19.8,24.3,2.4,,,SSW,48,22:54,21.6,87,8,WSW,9,1008.7,21.3,92,8,E,11,1007.9
,2023-12-3,16.4,25.9,11.6,,,ESE,39,14:47,22.7,77,,SW,6,1012.8,24.7,67,,ESE,26,1011.5
,2023-12-4,16.8,23.9,0.2,,,SE,33,09:54,21.5,65,8,SE,17,1019.0,23.5,61,1,SE,20,1017.4
,2023-12-5,13.8,34.0,0,,,ENE,31,15:31,21.6,75,,NW,7,1018.2,32.8,37,,NW,11,1013.2
,2023-12-6,21.1,26.3,0,,,SSW,52,08:14,24.6,63,,S,31,1017.3,25.0,64,4,SSE,28,1016.7
,2023-12-7,18.7,31.4,0,,,SE,46,12:08,21.9,79,8,NW,4,1018.6,31.1,55,,ENE,13,1014.9
,2023-12-8,19.8,35.1,0,,,NE,37,17:36,25.5,71,6,NNW,13,1018.4,34.3,49,,ENE,26,1012.8
,2023-12-9,22.8,41.7,0,,,S,48,22:25,30.4,53,,NNW,11,1012.8,38.5,31,,ENE,22,1009.4
,2023-12-10,21.6,29.2,0.2,,,S,61,23:12,22.1,96,8,W,15,1018.0,27.2,72,,SE,26,1016.2
,2023-12-11,17.9,31.5,0,,,SE,31,13:19,24.0,77,8,WSW,7,1017.1,29.4,51,,ESE,22,1014.5
,2023-12-12,19.7,28.2,0,,,ESE,46,14:13,24.8,70,8,SE,17,1019.8,26.5,63,,ESE,31,1016.7
,2023-12-13,20.4,32.7,0,,,ENE,43,14:59,26.1,65,1,ENE,15,1015.7,31.3,49,,E,26,1010.7
,2023-12-14,22.6,41.0,0.2,,,NW,59,14:23,29.1,54,7,NW,24,1008.4,39.7,20,,WNW,33,1002.9
,2023-12-15,21.3,26.7,0,,,SSW,52,00:12,23.5,73,8,S,17,1010.7,25.6,63,,SE,28,1008.4
,2023-12-16,17.6,38.8,0,,,WNW,61,11:44,25.4,70,,WNW,20,1006.3,37.9,12,,NW,35,1002.2
,2023-12-17,21.4,26.9,0,,,ESE,39,11:56,23.9,70,8,SE,26,1014.0,25.6,60,6,ESE,24,1013.5
,2023-12-18,21.8,30.0,0,,,ENE,39,16:16,25.0,85,7,ESE,17,1014.2,28.6,68,,SE,28,1011.0
,2023-12-19,22.7,35.4,0,,,NNE,69,14:34,26.8,78,6,SW,4,1011.9,30.8,49,8,SE,28,1008.8
,2023-12-20,20.5,22.7,13.2,,,S,56,16:11,21.6,93,8,WNW,11,1012.6,19.8,91,8,SSW,31,1011.9
,2023-12-21,17.5,23.8,15.4,,,S,61,14:09,19.9,80,7,W,13,1014.6,22.9,73,8,SSW,41,1014.4
,2023-12-22,18.0,24.5,0.2,,,SSW,41,23:43,22.0,59,,SSW,26,1016.7,23.2,58,,SSE,28,1014.5
,2023-12-23,15.8,25.0,1.2,,,ESE,37,14:28,21.0,71,,W,11,1013.5,24.4,61,,SE,24,1010.0
,2023-12-24,17.7,26.5,0,,,WNW,37,07:54,20.8,83,8,WNW,28,1008.1,23.5,65,8,NNE,7,1005.8
,2023-12-25,17.2,26.3,4.2,,,W,41,20:06,22.2,75,8,WSW,11,1006.8,25.2,73,1,ESE,20,1004.5
,2023-12-26,19.2,29.6,2.0,,,ESE,33,14:16,23.4,83,1,NW,4,1006.8,28.4,55,,ESE,20,1004.9
,2023-12-27,18.2,27.4,0.2,,,SSE,39,12:36,25.1,63,,SW,15,1008.8,25.0,70,6,SSE,26,1007.4
,2023-12-28,17.2,32.9,0,,,NW,39,13:51,24.9,62,,WNW,24,1010.6,31.9,28,7,NW,22,1008.0
,2023-12-29,18.6,28.5,0,,,SE,33,10:51,25.5,78,3,SW,4,1011.0,23.5,91,6,ESE,13,1011.0
,2023-12-30,18.6,26.7,5.4,,,ESE,44,14:45,23.8,64,6,S,24,1010.6,25.3,65,1,ESE,30,1008.8
,2023-12-31,18.7,22.9,5.0,,,SE,37,03:03,21.3,67,8,SE,19,1019.6,20.9,73,8,E,15,1020.4
