"Daily Weather Observations for Williamtown, New South Wales for January 2024"
"Prepared at 13:00 UTC on Sunday 10 November 2024   IDCJDW2145.202401"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-01-1,20.6,26.5,0,,,ENE,48,14:32,22.6,74,8,ENE,22,1022.5,25.2,71,8,ENE,28,1019.5
,2024-01-2,20.5,29.0,0,,,ENE,52,15:53,25.5,67,,NE,19,1019.6,28.0,54,,ENE,33,1016.9
,2024-01-3,19.6,30.0,0,,,ENE,43,16:01,25.5,56,,NE,19,1017.3,29.3,50,,ENE,24,1013.9
,2024-01-4,18.9,29.9,0,,,SSW,48,17:49,25.1,73,,WNW,9,1014.6,24.2,83,8,S,28,1015.5
,2024-01-5,20.2,26.6,1.6,,,SSE,46,11:10,23.2,76,8,SSE,28,1020.2,23.1,74,8,SE,33,1020.2
,2024-01-6,17.1,27.0,0,,,SE,41,13:21,22.5,67,8,SW,11,1021.8,25.5,49,,ESE,31,1019.6
,2024-01-7,15.3,30.3,0,,,ENE,50,14:45,25.1,60,,NNE,19,1019.0,29.2,49,,ENE,31,1014.7
,2024-01-8,20.1,30.1,0,,,W,33,16:40,27.3,59,7,NNW,6,1012.6,29.1,53,7,N,9,1010.7
,2024-01-9,22.4,28.8,1.2,,,S,41,09:56,25.1,78,8,W,9,1012.3,24.7,76,7,SE,17,1011.9
,2024-01-10,22.1,29.9,0.4,,,SE,35,12:46,24.6,79,8,E,6,1015.0,28.9,64,,ESE,24,1013.3
,2024-01-11,21.7,32.2,0,,,ESE,44,14:46,25.9,82,8,NE,13,1017.7,29.4,58,,E,30,1018.2
,2024-01-12,21.4,30.3,0.8,,,ESE,48,13:31,26.4,66,,ENE,20,1020.5,28.8,58,1,ESE,33,1018.2
,2024-01-13,18.8,32.7,0,,,SE,39,12:56,26.4,64,,NNE,11,1016.0,31.3,47,,ESE,28,1012.7
,2024-01-14,20.0,28.2,0,,,SE,41,17:12,25.3,73,6,SSW,20,1016.8,26.2,69,8,S,19,1016.5
,2024-01-15,20.7,25.8,1.8,,,ESE,54,09:29,23.5,77,8,ESE,30,1019.5,23.8,65,8,ESE,33,1020.0
,2024-01-16,19.9,26.8,0.4,,,ENE,39,09:53,24.3,67,8,E,15,1017.6,22.8,82,6,NE,24,1014.4
,2024-01-17,22.0,33.1,0.4,,,N,37,09:22,26.6,65,,NNE,19,1009.9,30.3,58,7,ENE,20,1004.7
,2024-01-18,21.4,35.5,13.0,,,WNW,52,08:37,27.1,73,,WNW,30,1003.4,33.1,42,1,WNW,26,1000.5
,2024-01-19,16.3,29.1,0.2,,,ESE,39,14:38,23.2,45,,WNW,24,1007.3,26.6,33,,SSE,28,1007.5
,2024-01-20,18.3,29.7,0,,,ENE,54,15:33,25.1,71,8,ENE,17,1011.7,27.4,53,,ENE,30,1008.6
,2024-01-21,19.2,39.0,0,,,WNW,52,11:37,25.3,72,,NW,15,1006.9,35.5,37,,ESE,22,1003.1
,2024-01-22,21.9,27.5,0,,,SSW,61,00:01,22.8,68,8,SSW,24,1011.4,25.5,58,1,SSE,35,1011.6
,2024-01-23,19.6,27.1,0.2,,,ESE,37,13:41,23.4,65,3,ENE,11,1015.5,25.8,52,8,ENE,22,1014.0
,2024-01-24,17.2,33.3,0,,,NNE,31,14:16,23.6,63,,NNE,20,1013.0,32.7,41,,NE,15,1010.6
,2024-01-25,23.5,41.7,0,,,WNW,41,10:25,29.6,50,7,NW,17,1009.9,37.1,30,7,SE,20,1007.1
,2024-01-26,23.7,42.4,0,,,NW,61,13:59,34.8,36,6,NW,28,1002.3,40.4,24,8,WNW,35,998.9
,2024-01-27,23.0,25.5,0,,,SSE,31,23:02,24.0,70,8,E,15,1006.9,23.7,69,7,ENE,17,1005.8
,2024-01-28,20.4,26.9,0,,,S,35,10:26,23.8,77,8,S,13,1009.7,25.3,72,8,SSE,20,1010.4
,2024-01-29,21.2,34.6,0,,,ENE,46,15:35,26.7,66,,ENE,17,1012.4,33.4,50,,NE,24,1007.7
,2024-01-30,22.8,31.8,0,,,SE,39,13:08,26.7,79,8,ENE,15,1012.3,29.4,65,,ESE,31,1011.1
,2024-01-31,20.0,29.8,0,,,ESE,35,12:24,25.3,78,8,NE,13,1012.4,28.7,64,1,ESE,24,1011.3
