"Daily Weather Observations for Williamtown, New South Wales for November 2024"
"Prepared at 13:00 UTC on Saturday  9 August 2025   IDCJDW2145.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,15.5,23.1,1.0,,,SE,37,12:54,20.5,73,3,SW,13,1014.6,21.5,67,4,ESE,22,1015.1
,2024-11-2,17.1,23.7,0.6,,,ENE,52,14:47,18.9,81,8,ENE,17,1023.4,23.4,59,,ENE,30,1020.3
,2024-11-3,15.3,33.1,0.2,,,NW,33,14:48,21.7,69,,NNW,13,1017.2,31.7,40,,N,20,1011.5
,2024-11-4,21.5,25.3,0,,,S,43,13:55,24.8,64,8,SSE,6,1012.1,20.0,88,8,S,33,1012.4
,2024-11-5,18.7,23.5,4.6,,,ESE,37,13:13,21.6,77,8,SE,20,1017.6,21.8,74,8,ESE,26,1016.3
,2024-11-6,17.0,30.5,0,,,NW,31,09:19,21.0,82,8,NNW,15,1015.0,28.8,60,,N,11,1010.2
,2024-11-7,19.8,37.7,0,,,WSW,61,15:04,24.2,79,8, ,Calm,1008.9,33.7,31,1,SE,35,1004.0
,2024-11-8,17.5,28.8,25.6,,,WNW,39,12:38,22.5,59,,WSW,20,1012.1,26.3,50,,SE,15,1009.6
,2024-11-9,15.2,26.7,0.2,,,ENE,39,17:29,22.1,69,,SW,11,1019.4,24.3,60,,ESE,26,1017.1
,2024-11-10,16.8,26.1,0,,,S,54,15:09,21.5,76,7,NW,13,1018.8,23.3,81,7,S,31,1018.0
,2024-11-11,18.8,23.5,0,,,SSW,37,06:53,20.1,82,8,S,22,1021.1,21.8,78,7,S,17,1017.6
,2024-11-12,17.2,21.9,14.4,,,SSE,28,15:50,18.4,93,8,WSW,9,1016.7,21.1,81,8,S,9,1014.8
,2024-11-13,17.8,24.5,8.4,,,ESE,35,16:35,21.7,81,,E,7,1012.7,23.5,71,,SE,19,1009.6
,2024-11-14,15.6,24.0,5.4,,,SSW,50,12:43,20.3,82,8,WSW,13,1015.2,22.8,70,8,S,28,1015.0
,2024-11-15,19.1,22.2,0,,,ENE,30,09:25,20.5,75,8,ESE,15,1020.8,21.5,72,8,E,17,1019.7
,2024-11-16,19.1,25.2,3.8,,,ENE,48,16:43,20.4,83,8,ENE,19,1022.3,24.5,69,5,ENE,28,1020.6
,2024-11-17,18.4,31.2,0,,,SW,52,20:25,24.0,66,,NNE,17,1017.4,30.8,48,,N,20,1011.5
,2024-11-18,19.4,24.5,4.0,,,S,28,08:27,20.8,94,8,S,11,1014.1,23.3,71,6,ENE,9,1014.3
,2024-11-19,16.8,23.2,4.0,,,ESE,37,12:21,20.0,65,7,E,17,1022.3,22.9,60,8,ESE,28,1021.4
,2024-11-20,13.7,24.6,0,,,SE,37,10:42,21.7,63,6,NE,13,1024.0,24.3,48,2,ESE,22,1022.7
,2024-11-21,12.7,24.2,0,,,SE,41,11:04,20.7,66,8,NE,13,1027.1,23.5,55,,E,26,1024.4
,2024-11-22,13.4,27.3,,,,,,,22.6,67,1,NE,11,1025.3,27.0,55,,E,20,1021.3
,2024-11-23,13.5,,0,,,,,,22.5,67,,N,15,1021.7,28.0,48,,ESE,22,1018.1
,2024-11-24,14.2,,,,,,,,23.3,65,,NNE,9,1017.9,28.0,53,,E,22,1014.4
,2024-11-25,16.5,30.9,,,,,,,23.3,70,,NW,13,1015.3,29.4,54,,ENE,28,1011.8
,2024-11-26,18.3,35.3,,,,ENE,43,15:13,25.3,69,,NNW,11,1012.2,33.4,45,,ENE,24,1007.9
,2024-11-27,21.0,37.0,0,,,NW,37,11:36,28.2,59,,NW,11,1009.2,33.0,38,8,ENE,19,1006.9
,2024-11-28,23.5,27.7,0,,,WNW,31,12:09,24.2,75,8,NW,11,1013.2,26.1,75,8,NW,13,1013.6
,2024-11-29,20.5,23.3,0.2,,,S,28,10:05,21.7,89,8,S,11,1017.2,21.3,93,8,S,19,1015.6
,2024-11-30,20.8,27.6,1.4,,,NNE,39,11:50,23.2,90,8,NE,13,1011.3,26.6,71,7,NE,17,1008.3
