"Daily Weather Observations for Williamtown, New South Wales for December 2024"
"Prepared at 13:00 UTC on Friday  8 August 2025   IDCJDW2145.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,20.4,31.5,6.2,,,ENE,37,15:57,25.7,70,,NNW,13,1007.8,30.6,56,3,NE,17,1004.7
,2024-12-2,16.9,35.5,0.4,,,NE,44,15:54,25.7,62,,NNW,19,1009.9,34.0,43,1,NE,20,1006.9
,2024-12-3,21.3,33.1,0,,,WNW,57,14:29,28.0,55,,NNE,11,1008.2,32.3,47,3,WNW,22,1006.9
,2024-12-4,22.7,25.7,0,,,SSW,46,09:29,23.4,82,8,SSW,30,1015.1,23.7,75,8,S,28,1016.5
,2024-12-5,19.9,26.3,0,,,SE,33,12:41,22.9,85,7,S,15,1021.0,25.8,72,1,SE,20,1018.5
,2024-12-6,20.2,33.9,0,,,ENE,35,12:41,23.8,87,8,W,7,1018.6,32.7,50,,E,20,1014.0
,2024-12-7,22.7,34.2,0,,,WSW,46,22:54,25.3,80,8,NNW,2,1011.0,29.0,66,7,S,28,1007.9
,2024-12-8,22.2,29.9,0.8,,,SE,48,14:13,25.8,74,,SSE,19,1008.7,26.4,76,8,SE,31,1008.6
,2024-12-9,19.7,24.3,1.6,,,ENE,37,16:16,21.7,88,8,ESE,11,1015.4,23.1,79,8,ENE,19,1011.9
,2024-12-10,21.1,25.8,0.2,,,SSE,54,12:47,23.0,82,8,S,17,1011.4,23.7,74,5,S,37,1010.2
,2024-12-11,15.9,26.0,0.2,,,SE,39,12:03,22.4,63,8,ESE,15,1011.4,25.5,56,,E,20,1008.4
,2024-12-12,16.2,30.3,0,,,ENE,37,16:00,23.7,66,,WNW,17,1008.2,27.8,55,,ESE,28,1005.6
,2024-12-13,18.3,34.8,0,,,SSE,37,12:02,24.7,76,1,NNW,7,1008.0,33.2,46,,E,19,1004.6
,2024-12-14,22.0,28.7,0,,,S,44,01:34,24.9,73,8,SW,17,1011.0,26.8,65,,SE,22,1009.5
,2024-12-15,20.3,27.1,0,,,S,35,14:06,24.3,86,7,SSW,11,1011.0,25.1,79,7,SSE,26,1011.0
,2024-12-16,20.4,32.2,0,,,ENE,44,15:01,25.8,77,1,NE,11,1014.7,30.3,57,,ENE,31,1011.4
,2024-12-17,18.2,37.6,0,,,S,69,20:07,26.7,56,,N,15,1009.4,35.1,43,,ENE,28,1004.3
,2024-12-18,17.9,22.9,0.2,,,SSW,61,01:52,18.4,91,8,SSE,35,1015.0,18.7,86,8,SSE,20,1016.9
,2024-12-19,17.4,24.9,1.2,,,SSE,48,11:43,22.3,55,2,SSE,30,1017.9,24.1,47,,SSE,30,1016.8
,2024-12-20,13.4,25.2,0,,,SSE,35,11:11,21.9,55,,SW,15,1013.6,24.2,52,,SSE,22,1010.6
,2024-12-21,12.9,33.8,0,,,ENE,41,16:59,21.5,69,,NNW,9,1008.8,32.9,35,,E,15,1004.8
,2024-12-22,21.4,28.4,0,,,ENE,39,16:26,23.0,74,8,S,9,1009.0,26.6,66,0,SE,19,1004.4
,2024-12-23,20.5,35.0,0,,,SE,67,14:45,27.6,51,,WNW,20,999.8,28.9,41,,ESE,19,999.9
,2024-12-24,13.8,24.6,0,,,SSE,43,11:23,22.1,34,,SW,17,1010.9,23.0,42,,SSE,26,1011.8
,2024-12-25,15.4,28.4,0,,,ESE,33,16:57,22.1,61,,WNW,6,1017.8,26.9,45,,ESE,20,1014.8
,2024-12-26,14.9,30.9,0,,,ENE,41,13:38,24.7,64,,NE,6,1016.2,29.4,51,,ENE,24,1010.3
,2024-12-27,21.3,35.8,0,,,SSW,50,22:17,23.0,72,8,WSW,2,1007.6,34.0,40,,N,15,1002.2
,2024-12-28,19.9,26.6,2.0,,,SSW,48,00:51,22.1,74,8,S,17,1010.2,25.4,55,,ESE,17,1008.6
,2024-12-29,16.1,29.1,0,,,ESE,43,14:44,23.5,64,,WSW,7,1014.0,27.4,37,,SE,22,1013.8
,2024-12-30,20.3,27.8,0,,,ESE,43,15:08,25.2,66,1,ESE,13,1019.5,26.4,60,,ESE,30,1016.1
,2024-12-31,15.9,29.1,0,,,ESE,46,12:38,23.5,68,4,NNW,4,1014.7,28.1,60,1,ESE,28,1012.7
