"Daily Weather Observations for Williamtown, New South Wales for January 2025"
"Prepared at 16:00 UTC on Thursday  7 August 2025   IDCJDW2145.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,16.7,33.0,0,,,ENE,43,15:02,25.6,59,,NNE,13,1013.8,31.2,39,,ENE,22,1010.0
,2025-01-2,19.9,25.3,0,,,SSW,54,06:16,23.0,78,8,S,30,1017.1,22.7,75,8,S,24,1018.2
,2025-01-3,20.2,26.2,1.8,,,ESE,33,13:43,22.5,73,8,ENE,7,1021.3,24.6,60,8,E,20,1019.7
,2025-01-4,15.9,29.7,0,,,E,43,11:54,24.8,54,,NNE,11,1019.9,28.4,49,,ENE,20,1016.6
,2025-01-5,16.1,34.3,0,,,ENE,31,15:23,24.3,64,,N,11,1017.6,34.2,32,,ENE,15,1014.5
,2025-01-6,17.4,35.0,0,,,S,61,22:48,26.0,64,,NNE,6,1016.1,33.9,39,,ENE,17,1012.2
,2025-01-7,21.1,22.3,9.6,,,S,57,00:38,21.4,96,8,WSW,9,1017.8,21.4,88,8,SSW,24,1018.1
,2025-01-8,18.7,20.3,29.8,,,SSW,57,15:29,19.3,91,8,SSW,35,1016.9,18.7,94,8,SSW,35,1014.5
,2025-01-9,17.5,24.5,52.2,,,SW,43,07:29,19.5,95,8,SW,20,1012.9,22.3,82,8,SSE,26,1012.4
,2025-01-10,17.6,28.7,1.8,,,ENE,43,16:55,23.8,81,1,E,9,1015.5,26.0,64,6,ENE,19,1013.3
,2025-01-11,19.5,28.5,1.2,,,ENE,43,16:04,22.8,78,8,NE,13,1014.0,27.2,58,1,ENE,22,1011.1
,2025-01-12,19.3,30.6,0.2,,,ENE,46,15:47,25.0,62,,NNE,13,1010.8,28.8,54,,E,24,1007.7
,2025-01-13,20.5,31.5,0,,,ENE,37,16:27,24.6,72,,NNE,4,1008.0,30.2,54,,ESE,19,1005.7
,2025-01-14,19.4,32.5,0,,,NE,35,20:04,24.6,77,6,NNW,7,1007.9,31.7,49,3,SE,15,1005.3
,2025-01-15,21.1,35.0,0,,,WNW,120,20:22,25.9,74,,NW,11,1003.9,33.2,48,,ENE,24,998.0
,2025-01-16,18.1,21.1,35.6,,,SSW,70,11:39,19.9,89,8,NNW,7,999.9,19.3,86,8,S,31,1003.6
,2025-01-17,15.9,21.7,21.8,,,SSW,76,11:10,16.1,93,8,SW,22,1009.2,18.1,97,7,SSW,48,1008.6
,2025-01-18,15.6,26.5,66.4,,,S,74,00:10,21.5,92,8,S,41,1012.6,25.7,73,8,SSE,30,1015.3
,2025-01-19,19.8,24.4,16.4,,,SSE,50,00:18,22.4,61,8,S,30,1017.2,23.9,54,1,S,31,1016.6
,2025-01-20,14.6,24.2,0.2,,,SSE,30,12:20,19.3,73,8,W,9,1013.7,23.0,57,,SE,22,1011.2
,2025-01-21,13.8,27.5,0,,,SE,31,13:42,20.7,74,,W,2,1012.1,25.7,60,,ESE,22,1009.3
,2025-01-22,17.7,,0,,,,,,23.9,73,7,NW,7,1006.0,33.9,43,7,NE,6,1001.8
,2025-01-23,20.9,25.1,,,,SSE,41,13:16,21.8,81,8,S,20,1011.4,22.9,74,8,SSE,22,1008.0
,2025-01-24,20.0,25.4,0,,,SSE,50,14:21,22.5,72,7,SW,13,1003.6,23.9,64,,SSE,39,1006.9
,2025-01-25,16.1,26.4,0,,,ESE,33,14:03,21.2,79,8,W,7,1015.5,24.9,57,,SE,22,1012.7
,2025-01-26,17.2,29.9,0,,,ESE,43,13:58,24.1,71,2, ,Calm,1014.2,28.2,65,,ESE,28,1012.3
,2025-01-27,22.9,34.3,0,,,NE,39,16:18,25.0,71,7,NNE,17,1013.7,33.0,51,,NE,17,1009.8
,2025-01-28,23.2,40.7,0,,,SSW,67,17:42,28.8,67,,NNW,9,1010.4,38.9,31,1,NW,24,1007.7
,2025-01-29,21.1,25.1,6.6,,,S,37,01:16,22.9,74,7,SSW,22,1015.6,23.6,72,8,SSE,22,1012.8
,2025-01-30,20.8,26.8,1.6,,,S,30,17:49,22.2,88,8,W,9,1012.1,25.4,80,8,SSW,20,1010.4
,2025-01-31,22.1,27.5,2.0,,,SE,37,13:37,23.8,93,8,S,7,1014.8,25.7,76,8,SE,24,1015.5
