"Daily Weather Observations for Williamtown, New South Wales for April 2025"
"Prepared at 13:00 UTC on Monday 18 August 2025   IDCJDW2145.202504"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-04-1,17.0,22.5,0,,,SSW,50,12:52,18.4,80,8,WSW,9,1014.3,18.9,91,8,SSW,22,1012.7
,2025-04-2,15.9,20.6,3.0,,,WNW,20,10:51,16.9,81,8,WNW,7,1011.3,20.1,69,8,NW,6,1008.5
,2025-04-3,16.3,26.5,1.2,,,,,,17.8,92,6,NW,11,1011.2,25.4,43,,N,13,1009.7
,2025-04-4,14.0,27.2,0,,,SE,26,15:30,17.4,76,,NW,13,1015.7,26.5,58,1,NNE,4,1014.1
,2025-04-5,14.2,26.8,0,,,WNW,37,10:42,18.6,60,,WNW,17,1015.3,26.4,29,,W,19,1013.6
,2025-04-6,13.1,27.3,0,,,WNW,43,12:52,18.9,73,,NW,13,1019.2,26.8,33,,NW,20,1014.1
,2025-04-7,14.7,26.7,0,,,W,44,11:22,20.7,40,,WNW,24,1018.6,26.5,33,,WNW,11,1016.1
,2025-04-8,16.6,21.8,0,,,ESE,31,14:36,19.3,82,8,SSW,15,1024.3,19.8,76,8,ESE,20,1022.7
,2025-04-9,12.9,23.9,0,,,ENE,31,16:19,20.9,73,,N,2,1024.9,23.1,59,1,ESE,19,1021.2
,2025-04-10,12.8,25.5,0,,,SE,20,14:08,19.0,82,1,WNW,9,1023.2,24.1,60,7,E,9,1020.1
,2025-04-11,13.3,28.2,0,,,NW,22,09:19,19.9,82,,NW,17,1023.8,27.3,46,,E,9,1022.6
,2025-04-12,15.3,25.9,0.2,,,ESE,35,14:52,23.0,84,8,SW,7,1029.8,21.4,85,8,SE,20,1028.1
,2025-04-13,15.5,25.7,0.8,,,SE,26,15:00,21.9,87,2, ,Calm,1029.2,25.2,63,6,SE,19,1025.7
,2025-04-14,12.1,27.4,0.2,,,NW,20,11:37,18.9,82,,NW,9,1025.7,26.7,38,,N,6,1022.2
,2025-04-15,18.5,24.1,10.2,,,SE,54,00:53,22.3,62,8,SSE,22,1025.5,22.4,58,8,S,28,1023.5
,2025-04-16,14.8,22.0,3.0,,,SSW,44,15:55,19.6,65,1,SW,19,1021.1,20.7,65,8,SW,22,1017.3
,2025-04-17,15.6,23.0,12.6,,,SW,39,13:01,17.9,91,8,SW,15,1015.7,22.6,65,8,S,20,1013.2
,2025-04-18,13.1,24.2,1.8,,,WNW,22,10:10,19.1,73,,WNW,17,1014.4,23.2,56,,SSE,13,1012.0
,2025-04-19,11.8,27.0,0.2,,,NW,24,10:55,17.6,76,,NW,13,1013.6,26.8,46,,NNW,11,1010.4
,2025-04-20,12.1,28.9,0.2,,,WNW,20,08:22,20.0,68,,NW,11,1014.1,28.5,41,,N,9,1010.6
,2025-04-21,15.3,27.6,0,,,WSW,70,22:43,21.5,70,6,NNW,6,1011.9,27.2,38,5,WNW,24,1008.4
,2025-04-22,13.8,21.7,23.6,,,WNW,28,08:59,16.0,69,8,WNW,20,1014.8,20.0,85,8,WSW,7,1012.3
,2025-04-23,15.2,24.5,3.4,,,ESE,41,11:42,20.2,81,8,ENE,13,1021.0,23.2,73,8,ESE,26,1019.7
,2025-04-24,19.4,24.2,0.8,,,ESE,37,16:44,22.6,68,1,E,9,1022.8,23.2,69,1,ESE,19,1019.8
,2025-04-25,14.6,24.3,3.2,,,ENE,26,12:26,22.2,79,1,NNE,2,1019.9,23.1,66,1,E,13,1016.0
,2025-04-26,13.6,25.0,0,,,NE,22,12:53,20.4,83,,NNW,2,1016.6,23.6,71,8,ENE,9,1013.1
,2025-04-27,16.9,21.5,38.0,,,SSW,81,12:29,17.4,95,8,SW,19,1009.4,20.2,82,8,S,28,1004.2
,2025-04-28,16.8,23.8,59.0,,,SSW,52,00:02,18.6,93,8,SW,20,1012.9,21.7,76,7,S,20,1013.0
,2025-04-29,14.8,23.5,1.4,,,SW,31,18:33,18.9,86,,WNW,17,1017.5,21.6,70,3,SE,11,1015.4
,2025-04-30,14.9,19.3,17.2,,,SSW,50,16:27,16.6,96,8,WSW,7,1020.0,17.1,83,8,SSW,31,1019.9
