"Daily Weather Observations for Williamtown, New South Wales for August 2025"
"Prepared at 13:00 UTC on Monday  1 September 2025   IDCJDW2145.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Williamtown RAAF {station 061078}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,8.8,15.0,27.2,,,S,28,16:49,10.7,91,8,WNW,17,1022.5,11.7,95,8,W,7,1020.0
,2025-08-2,9.5,17.0,32.6,,,SE,81,19:36,14.8,79,8,ESE,20,1017.3,12.9,88,7,E,20,1012.9
,2025-08-3,12.4,18.8,47.8,,,SSE,70,06:46,15.8,89,8,SE,39,1017.9,17.7,86,8,SE,17,1018.0
,2025-08-4,12.8,19.7,5.6,,,ESE,31,03:17,14.6,91,8,W,7,1022.0,18.8,76,,S,17,1019.5
,2025-08-5,11.1,20.9,0.8,,,WNW,37,14:53,13.6,93,7,WNW,19,1019.1,20.4,54,,WNW,24,1015.7
,2025-08-6,9.1,19.3,0,,,W,24,11:35,14.0,71,,W,15,1020.9,18.6,41,,SW,6,1019.1
,2025-08-7,7.7,14.9,12.4,,,SSE,33,15:06,10.4,95,8,NW,13,1027.0,14.3,90,8,SE,13,1027.0
,2025-08-8,10.2,17.4,15.4,,,ESE,28,13:17,12.9,87,8,NW,6,1031.8,16.5,72,8,E,4,1029.9
,2025-08-9,10.4,18.5,20.4,,,SSE,35,12:43,14.5,90,,WSW,7,1031.5,17.5,64,1,SE,20,1027.8
,2025-08-10,9.7,16.1,11.0,,,S,28,14:41,12.9,95,8,WSW,7,1028.3,14.9,81,8,S,13,1026.0
,2025-08-11,8.4,15.4,6.0,,,S,20,13:39,11.8,91,5,W,7,1027.7,14.6,72,8,S,6,1025.1
,2025-08-12,7.1,18.1,0.8,,,WSW,26,13:41,11.5,87,,WNW,15,1026.4,15.7,65,1,SE,11,1023.6
,2025-08-13,6.5,19.5,0,,,SE,22,15:52,10.3,83,,WNW,17,1025.7,18.5,46,,N,7,1022.7
,2025-08-14,10.2,16.4,3.4,,,SW,30,13:01,11.2,93,8,WSW,7,1025.2,15.9,73,8,S,19,1023.4
,2025-08-15,9.6,18.7,9.0,,,NNW,22,12:00,13.3,89,8,WNW,11,1021.8,18.3,64,1,NW,9,1017.1
,2025-08-16,8.1,21.2,0.2,,,SSW,52,15:11,11.3,81,8,NW,7,1014.0,19.8,42,8,WNW,33,1009.8
,2025-08-17,6.6,16.8,1.4,,,WNW,35,08:41,10.8,59,,WNW,24,1018.9,16.0,40,4,S,6,1017.5
,2025-08-18,4.7,15.1,0,,,SSW,41,14:36,11.0,69,,W,11,1024.9,11.3,91,8,SSW,26,1025.9
,2025-08-19,6.9,15.9,16.0,,,SW,20,09:35,11.6,93,8,WSW,6,1030.8,15.1,71,8,SSW,7,1028.8
,2025-08-20,8.1,16.3,2.6,,,ENE,31,12:31,12.8,95,8,NW,2,1030.6,14.6,89,8,E,7,1027.3
,2025-08-21,12.6,15.7,17.8,,,ENE,44,09:37,15.5,85,8,ENE,19,1026.4,12.5,93,8, ,Calm,1024.5
,2025-08-22,11.0,16.7,21.6,,,NW,24,12:41,14.4,97,8,NW,4,1023.1,15.6,88,8,W,15,1018.4
,2025-08-23,10.6,21.2,3.0,,,WNW,43,08:40,15.5,68,,WNW,28,1018.1,18.6,64,8,S,22,1017.8
,2025-08-24,9.8,19.9,0,,,WNW,39,13:20,14.7,52,,SW,17,1021.8,19.4,41,1,WSW,15,1017.3
,2025-08-25,12.6,21.5,0,,,WNW,26,04:23,15.3,63,8,WNW,17,1019.1,21.2,56,1,N,4,1017.1
,2025-08-26,9.5,24.5,0,,,NNE,28,09:57,17.8,79,,NNE,13,1017.3,23.9,51,1,N,9,1010.8
,2025-08-27,11.9,25.1,0,,,WNW,69,17:01,19.3,68,7,W,19,1003.7,20.2,46,7,WNW,35,1003.6
,2025-08-28,12.0,20.2,0.2,,,WNW,69,16:19,15.7,51,,WNW,28,1008.2,19.4,35,,WNW,43,1006.3
,2025-08-29,8.2,20.8,0,,,NW,63,10:14,16.6,39,,WNW,31,1010.8,20.2,32,,NW,37,1006.8
,2025-08-30,9.3,19.6,0,,,WNW,80,10:17,12.5,52,,WNW,41,1007.6,18.5,32,6,WSW,28,1013.0
,2025-08-31,7.1,19.5,0,,,WNW,41,08:08,12.1,53,,WNW,26,1026.3,19.3,32,,NW,15,1023.2
