"Daily Weather Observations for Canberra, Australian Capital Territory for March 2024"
"Prepared at 13:01 UTC on Friday  8 November 2024   IDCJDW2801.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,16.2,33.2,0,,,WSW,48,13:07,25.3,63,,NW,22,1015.4,31.7,35,4,W,28,1012.6
,2024-03-2,16.2,29.7,0,,,E,46,16:16,19.6,84,7, ,Calm,1012.9,28.0,30,,N,20,1012.0
,2024-03-3,11.4,29.2,0,,,NW,48,14:15,17.7,77,,WNW,9,1014.2,27.7,28,,WNW,33,1011.5
,2024-03-4,8.9,24.7,0,,,E,43,18:28,12.9,55,,SSE,22,1022.4,24.0,35,,E,11,1019.9
,2024-03-5,6.1,27.8,0,,,,,,14.3,75,,SSE,11,1023.4,25.4,41,,NNE,13,1019.2
,2024-03-6,10.0,30.4,0,,,NW,31,13:05,16.5,76,3,ENE,2,1020.5,29.4,32,1,WNW,19,1017.3
,2024-03-7,9.9,29.2,0,,,ENE,48,17:08,20.0,56,,ESE,11,1022.4,28.3,37,,ENE,22,1021.2
,2024-03-8,17.1,29.8,0,,,NNE,31,13:21,19.8,70,8,SSW,9,1025.7,27.8,43,,NNW,13,1022.6
,2024-03-9,15.7,31.2,0,,,NE,31,14:01,21.3,68,8,E,6,1026.1,29.5,28,4,NNE,17,1023.5
,2024-03-10,10.0,31.3,0,,,NNE,30,16:51,17.7,76,,ENE,2,1028.2,29.9,22,,NW,11,1025.0
,2024-03-11,9.5,30.5,0,,,NNE,28,15:24,16.6,100,7,S,4,1027.5,28.5,32,,WNW,7,1022.3
,2024-03-12,8.0,34.5,0,,,NE,48,15:29,15.1,77,, ,Calm,1020.2,32.3,24,,WNW,9,1016.0
,2024-03-13,13.4,30.1,0,,,NNE,22,13:12,19.2,62,7,E,2,1018.1,29.6,34,6,ENE,11,1014.1
,2024-03-14,16.3,28.1,0,,,WNW,41,11:50,20.3,87,7, ,Calm,1011.9,27.6,38,8,W,17,1010.2
,2024-03-15,12.8,21.0,14.6,,,ESE,43,16:38,15.9,80,8,SE,9,1020.4,19.5,62,8,SE,26,1020.2
,2024-03-16,7.8,22.9,0.2,,,ENE,31,09:52,13.1,92,8,ESE,6,1023.3,22.4,45,6,NE,13,1018.9
,2024-03-17,12.7,20.5,0.4,,,E,43,16:27,16.2,96,8,ESE,9,1016.9,20.0,65,8,E,17,1014.2
,2024-03-18,14.4,24.3,0,,,E,33,14:15,17.7,76,,S,9,1016.2,21.4,71,8,W,11,1014.2
,2024-03-19,14.3,29.5,0.4,,,NW,35,14:48,18.8,80,,ENE,2,1017.1,27.7,40,1,N,20,1013.3
,2024-03-20,18.7,23.6,12.8,,,S,41,17:25,20.3,69,1,WNW,24,1015.5,22.1,38,7,NW,26,1016.6
,2024-03-21,2.3,20.8,0.2,,,NE,35,16:22,9.7,69,,SE,9,1028.9,19.2,38,,SE,11,1025.4
,2024-03-22,5.8,23.9,0,,,NNW,35,14:22,10.7,83,,SSE,9,1025.9,22.5,39,,NW,11,1021.3
,2024-03-23,7.1,22.8,0,,,NNE,30,14:59,13.1,83,6,SE,9,1023.6,21.9,52,1,NE,17,1020.7
,2024-03-24,10.9,25.5,0,,,NW,35,15:00,14.7,99,8, ,Calm,1020.5,24.6,28,,NW,22,1017.5
,2024-03-25,3.5,27.8,0,,,WNW,33,15:43,10.0,89,,SSE,7,1019.9,26.7,23,,NNW,11,1016.3
,2024-03-26,4.3,28.5,0,,,W,24,15:13,11.6,79,,SE,6,1020.6,26.6,25,,NE,9,1017.7
,2024-03-27,8.5,25.9,0,,,NNE,26,13:08,13.7,87,, ,Calm,1024.3,24.5,36,1,NNE,11,1021.3
,2024-03-28,12.0,26.4,0,,,E,43,17:25,16.8,80,5,S,6,1025.2,25.3,40,3,NW,13,1022.7
,2024-03-29,11.4,27.7,0,,,E,28,18:55,16.5,80,,N,4,1027.9,26.2,40,,E,9,1023.9
,2024-03-30,9.1,30.0,0,,,E,31,17:40,13.9,90,,E,4,1026.9,29.3,27,,W,13,1022.9
,2024-03-31,8.1,28.8,0,,,NNW,41,13:52,13.4,81,, ,Calm,1024.4,27.3,31,,NNW,9,1019.0
