"Daily Weather Observations for Canberra, Australian Capital Territory for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW2801.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,10.1,29.0,0,,,NNW,20,16:44,13.1,100,8,SE,2,1020.8,27.8,26,,N,7,1016.9
,2024-04-2,12.1,23.2,0,,,NW,57,11:15,18.0,78,8,NNW,33,1010.9,22.4,35,,W,33,1009.7
,2024-04-3,4.3,23.3,0.2,,,NW,33,14:31,10.3,85,,E,9,1019.8,22.7,35,4,WNW,15,1018.4
,2024-04-4,10.3,21.3,0,,,E,35,13:50,14.3,77,4,E,9,1025.3,19.7,57,8,E,24,1024.0
,2024-04-5,13.3,16.6,4.6,,,SSE,43,12:58,14.0,91,8,SSE,15,1027.4,14.6,80,8,SSE,20,1024.3
,2024-04-6,13.0,21.9,37.4,,,ESE,35,02:26,13.6,99,8,W,17,1018.2,19.1,71,8,WNW,15,1013.2
,2024-04-7,12.8,21.7,29.0,,,N,37,10:33,16.6,86,8,NNW,24,1012.6,20.7,62,8,NW,20,1009.9
,2024-04-8,9.5,22.7,0.2,,,WNW,35,13:25,15.0,98,8,NW,13,1012.4,22.3,36,1,WNW,20,1009.3
,2024-04-9,11.0,14.4,0,,,S,44,12:02,13.3,76,8,NNW,2,1011.1,9.4,86,7,SE,15,1012.9
,2024-04-10,4.1,18.6,2.8,,,S,43,09:41,11.3,64,1,S,28,1018.7,18.3,48,,WNW,11,1016.5
,2024-04-11,2.0,20.5,0,,,E,31,19:39,12.6,64,,SE,11,1021.5,19.2,35,,N,9,1019.5
,2024-04-12,6.3,21.1,0,,,NW,39,13:17,13.9,71,1,SW,7,1022.8,20.9,46,,NW,17,1018.7
,2024-04-13,3.3,20.9,0,,,NNW,24,14:30,9.8,100,8,NE,2,1023.3,19.8,39,,NNW,13,1020.2
,2024-04-14,7.6,22.3,0,,,NNW,31,15:36,14.5,80,1, ,Calm,1024.1,21.7,31,,NNW,17,1021.0
,2024-04-15,1.1,22.4,0,,,N,33,16:09,9.9,76,,SSW,4,1024.8,21.7,36,,NNW,20,1021.1
,2024-04-16,2.1,22.3,0,,,NW,20,15:33,11.6,79,, ,Calm,1025.5,21.2,36,,NNW,13,1021.4
,2024-04-17,7.8,21.0,0,,,ENE,30,17:31,13.6,82,7,S,9,1026.0,20.4,44,,N,13,1021.1
,2024-04-18,8.6,20.3,0,,,WNW,39,13:18,13.9,96,2,N,7,1019.3,19.2,39,,WNW,26,1014.8
,2024-04-19,3.2,19.0,0,,,SSW,30,14:10,9.5,79,,N,7,1018.3,18.1,43,5,SSE,17,1017.9
,2024-04-20,4.6,19.4,0,,,S,37,09:06,13.5,66,1,SSE,20,1027.3,18.2,46,5,SE,17,1026.1
,2024-04-21,-0.1,21.5,0,,,N,15,06:42,8.6,85,,SSE,7,1031.2,21.4,24,,W,7,1026.5
,2024-04-22,3.6,23.0,0,,,NNW,20,13:27,7.6,100,8, ,Calm,1030.1,22.9,33,,NNW,7,1025.4
,2024-04-23,1.0,21.7,0,,,N,41,13:44,11.2,74,,WNW,4,1026.0,20.8,47,,NNW,28,1020.0
,2024-04-24,5.9,21.2,0,,,NNW,54,04:40,17.0,50,7,WNW,22,1016.0,18.4,38,,N,30,1015.7
,2024-04-25,-0.5,18.2,0,,,N,26,14:24,8.3,70,,NW,7,1022.0,17.0,34,,WNW,9,1019.0
,2024-04-26,0.0,18.4,0,,,NNW,19,12:32,10.3,66,,SE,7,1025.1,17.8,37,,W,6,1022.5
,2024-04-27,4.0,19.5,0,,,SE,17,00:57,8.9,91,8,SSE,7,1028.8,18.7,44,,WNW,9,1025.0
,2024-04-28,1.1,20.8,0,,,W,28,13:07,8.8,95,,NNW,6,1028.0,19.9,46,,NNW,19,1023.5
,2024-04-29,2.1,20.2,0,,,N,31,12:58,10.2,85,, ,Calm,1024.7,18.3,59,8,N,15,1022.3
,2024-04-30,8.7,16.6,3.0,,,SE,30,20:46,12.5,87,8,ESE,6,1026.9,16.4,64,4,NNE,11,1025.6
