"Daily Weather Observations for Canberra, Australian Capital Territory for May 2024"
"Prepared at 13:01 UTC on Wednesday  6 November 2024   IDCJDW2801.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,2.5,17.6,0,,,E,31,15:53,9.4,69,,SSE,15,1032.0,16.8,37,,E,15,1029.8
,2024-05-2,0.0,17.3,0,,,E,33,15:39,9.1,81,1,SE,9,1033.9,15.8,52,8,E,19,1030.6
,2024-05-3,3.6,17.2,0,,,ESE,30,18:41,10.4,76,6,SE,7,1031.9,15.3,59,8,E,19,1028.1
,2024-05-4,8.2,15.9,0,,,ESE,35,12:00,13.0,71,8,SE,15,1027.3,14.9,61,8,ESE,19,1024.4
,2024-05-5,10.0,13.8,2.2,,,SSW,33,15:48,10.4,98,8,S,9,1025.8,13.1,81,8,SE,11,1024.4
,2024-05-6,5.4,17.3,1.0,,,ESE,46,10:04,13.0,66,1,SSE,20,1030.9,14.3,66,7,ESE,24,1030.8
,2024-05-7,6.0,16.6,0,,,E,31,14:22,12.6,80,8,SSE,11,1033.4,15.4,64,8,E,15,1030.8
,2024-05-8,5.3,17.0,0,,,ESE,37,15:27,12.6,80,8,SSE,9,1034.0,15.3,66,8,SE,20,1030.9
,2024-05-9,7.9,16.7,0,,,E,31,12:06,13.6,80,8,S,7,1033.5,16.3,72,7,ESE,15,1031.0
,2024-05-10,8.9,16.5,1.0,,,ESE,31,15:35,12.9,99,8,S,9,1032.4,14.5,81,8,SE,13,1029.4
,2024-05-11,8.4,13.6,1.4,,,SE,26,12:26,12.5,95,8,SSE,7,1028.9,12.8,94,7,SSE,13,1025.9
,2024-05-12,9.8,17.0,14.8,,,S,37,12:29,12.1,97,3,SSE,9,1024.0,16.1,57,4,SSE,13,1022.1
,2024-05-13,3.4,20.0,0.2,,,NNW,26,14:24,11.2,91,, ,Calm,1024.0,19.5,44,,NW,15,1021.1
,2024-05-14,0.1,19.1,0,,,,,,7.5,99,, ,Calm,1027.3,18.6,49,,NNW,19,1025.1
,2024-05-15,6.7,18.3,0,,,NNW,31,14:56,12.5,69,1, ,Calm,1030.4,17.4,55,,NNW,24,1027.0
,2024-05-16,1.0,18.1,0,,,N,26,12:55,8.6,99,8,SSE,9,1031.6,16.1,61,,WNW,7,1027.9
,2024-05-17,1.6,19.5,0.2,,,S,43,22:30,6.1,100,8, ,Calm,1027.1,17.9,54,,W,9,1022.4
,2024-05-18,5.2,11.9,0,,,S,57,10:51,7.4,61,,S,35,1026.3,10.6,53,8,S,31,1026.2
,2024-05-19,-3.9,14.1,0,,,N,30,14:38,3.8,83,4, ,Calm,1024.5,13.3,41,,N,19,1020.5
,2024-05-20,-3.7,16.2,0,,,S,31,12:32,3.1,91,7,NE,2,1025.3,15.2,43,1,S,17,1024.0
,2024-05-21,-2.1,16.5,0,,,S,26,10:36,6.3,88,,SE,6,1029.9,16.3,43,,WSW,9,1026.4
,2024-05-22,1.6,15.4,0,,,SE,19,06:15,6.0,75,,ESE,4,1029.0,15.0,47,,WNW,9,1025.1
,2024-05-23,-2.8,16.8,0,,,NNW,22,15:18,4.4,89,,NNW,2,1029.2,16.8,42,,NW,13,1025.8
,2024-05-24,-0.6,16.0,0,,,SE,24,06:12,5.1,96,, ,Calm,1029.0,15.0,48,,NNW,7,1026.1
,2024-05-25,0.5,16.5,0,,,NNW,13,02:47,4.8,99,8, ,Calm,1029.7,15.5,57,6,WNW,4,1026.1
,2024-05-26,-1.3,16.5,0,,,NW,22,14:47,3.6,100,8,SE,9,1027.9,16.1,54,,NW,15,1024.3
,2024-05-27,-3.3,16.6,0.2,,,NW,15,14:31,2.0,100,8, ,Calm,1027.5,16.1,50,,WNW,11,1025.1
,2024-05-28,-4.9,18.9,0,,,N,11,01:28,3.2,99,, ,Calm,1030.4,18.5,35,, ,Calm,1027.3
,2024-05-29,-3.9,19.1,0.2,,,NNW,41,12:48,4.6,92,, ,Calm,1030.7,18.4,47,,NNW,24,1026.7
,2024-05-30,1.9,17.9,0,,,NNW,48,13:26,9.4,95,7,SSW,6,1026.5,16.5,64,2,NNW,24,1021.4
,2024-05-31,9.3,16.5,13.0,,,NNW,67,06:13,11.9,95,8,NNW,13,1017.1,16.0,52,,WNW,31,1015.3
