"Daily Weather Observations for Canberra, Australian Capital Territory for August 2024"
"Prepared at 13:01 UTC on Tuesday 12 August 2025   IDCJDW2801.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-3.7,13.9,0,,,S,33,10:17,5.4,83,, ,Calm,1036.3,12.7,45,1,ESE,9,1031.7
,2024-08-2,-4.7,14.3,0.2,,,NNE,20,14:39,3.6,87,,SSE,7,1032.7,13.5,40,,NNW,11,1029.0
,2024-08-3,-5.6,15.0,0,,,N,30,16:12,0.3,99,1,NNE,7,1031.3,14.0,45,,NNW,17,1027.8
,2024-08-4,-4.6,14.8,0,,,NNW,26,14:45,1.5,94,7,N,2,1031.0,13.7,38,,NNW,15,1026.6
,2024-08-5,1.5,11.9,0,,,W,31,14:28,4.5,94,8, ,Calm,1027.3,10.8,53,8,WNW,20,1023.1
,2024-08-6,-2.9,14.8,0.2,,,N,31,13:20,3.8,84,,SSE,4,1025.3,14.0,50,,NNW,20,1022.2
,2024-08-7,-5.3,15.1,0.2,,,NNW,19,13:53,1.0,99,,N,9,1028.4,14.5,35,,NNW,11,1026.0
,2024-08-8,-4.8,15.4,0,,,NNW,41,14:10,3.3,83,,NE,6,1029.7,13.9,47,,NNW,22,1025.7
,2024-08-9,1.4,17.1,0,,,NW,30,14:36,5.6,99,4,SE,2,1027.9,15.8,41,1,NW,15,1025.7
,2024-08-10,-3.4,16.0,0,,,N,22,14:11,3.8,100,8,ESE,7,1031.2,15.3,48,5,WNW,6,1028.4
,2024-08-11,1.9,18.0,0,,,SE,19,08:49,7.8,82,,SE,13,1033.8,17.6,45,,NNW,9,1030.6
,2024-08-12,-0.2,18.0,0,,,ENE,28,13:58,7.1,100,7,ESE,9,1034.5,16.2,56,3,NE,13,1030.9
,2024-08-13,7.0,17.6,4.4,,,W,17,13:40,11.4,100,8, ,Calm,1030.4,16.6,63,7,NNW,7,1025.8
,2024-08-14,8.8,15.6,0.6,,,N,17,16:39,11.7,100,8, ,Calm,1023.9,14.8,79,8,N,7,1020.3
,2024-08-15,4.7,20.3,0.6,,,NNE,28,15:21,10.5,99,8,ESE,11,1021.5,19.1,54,4,NNE,17,1017.6
,2024-08-16,3.4,17.8,0,,,WNW,56,16:55,9.9,100,8,N,7,1016.6,17.0,63,1,NNW,22,1010.7
,2024-08-17,5.7,14.5,1.4,,,WNW,46,03:38,9.9,78,1,NW,19,1008.6,11.8,62,8,WNW,28,1006.6
,2024-08-18,1.0,17.0,0.2,,,SSW,35,10:53,8.0,99,1,NNE,4,1016.6,15.6,49,8,SSE,7,1016.8
,2024-08-19,4.6,16.2,0.2,,,NW,24,14:58,8.8,83,8,SE,6,1026.5,15.1,56,8,NW,15,1023.6
,2024-08-20,2.2,17.8,0,,,NNW,41,12:33,8.8,91,4, ,Calm,1024.4,15.6,56,7,N,15,1017.6
,2024-08-21,5.5,17.0,0.2,,,NNW,57,02:43,14.1,74,,NNW,28,1015.1,14.7,58,2,NNW,35,1016.2
,2024-08-22,7.8,17.3,0,,,WNW,43,13:13,12.3,65,,WNW,19,1020.4,14.5,53,1,WNW,24,1019.4
,2024-08-23,-0.4,17.5,0,,,NNW,31,14:44,5.9,97,7, ,Calm,1026.7,16.7,41,,NW,17,1022.8
,2024-08-24,5.4,21.4,1.6,,,NNW,57,10:40,13.0,79,,NW,15,1018.7,20.2,51,2,NNW,31,1014.9
,2024-08-25,9.9,19.1,0,,,NW,61,14:25,14.1,93,6,NNW,7,1016.6,15.5,95,8,NW,33,1014.8
,2024-08-26,7.3,16.3,2.6,,,WNW,69,00:15,12.0,63,,NW,24,1017.5,14.8,50,,WNW,30,1017.9
,2024-08-27,1.2,17.1,0.2,,,N,52,13:49,11.9,73,,NNW,19,1022.4,15.5,56,5,NNW,35,1016.6
,2024-08-28,10.2,17.9,0,,,NW,67,12:40,15.2,50,,NNW,41,1011.3,15.0,49,8,WNW,37,1009.8
,2024-08-29,7.2,17.0,0,,,NW,52,16:37,11.6,45,1,NW,28,1015.1,15.2,47,,NNW,33,1012.1
,2024-08-30,7.4,19.6,0,,,NW,56,15:03,13.0,63,7,NW,31,1004.9,18.6,51,2,NW,35,1001.1
,2024-08-31,8.8,16.6,0,,,NW,65,15:27,12.7,57,1,NW,31,1008.3,15.7,46,,NW,41,1007.9
