"Daily Weather Observations for Canberra, Australian Capital Territory for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW2801.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,2.5,21.6,0.2,,,E,41,20:36,10.9,78,8,W,9,1024.3,20.1,41,,NNW,22,1020.1
,2024-10-2,9.1,19.2,0,,,NE,39,13:17,14.5,69,8,ENE,20,1029.9,18.5,50,6,NNE,17,1028.0
,2024-10-3,6.2,20.9,0,,,N,37,12:36,13.5,63,4,E,7,1030.4,20.2,39,,NNE,19,1024.9
,2024-10-4,2.8,20.1,0,,,NW,44,10:34,13.2,74,6,W,4,1020.3,18.1,54,8,NNW,26,1013.8
,2024-10-5,12.3,20.0,5.8,,,NW,52,13:24,16.7,53,4,W,20,1008.3,18.1,43,5,WNW,28,1006.5
,2024-10-6,9.4,17.5,0,,,WNW,61,05:59,14.4,55,,WNW,41,1010.6,15.9,54,8,NW,24,1012.9
,2024-10-7,8.5,22.5,0,,,WNW,59,13:06,15.7,63,,NW,19,1018.0,20.5,45,8,WNW,37,1015.9
,2024-10-8,7.4,17.0,0,,,E,43,19:29,9.9,74,8,SSE,17,1022.1,14.9,52,1,NE,17,1020.8
,2024-10-9,0.4,17.7,0,,,NE,33,14:32,9.3,62,8,ESE,11,1026.9,16.9,42,1,NE,13,1023.3
,2024-10-10,-0.3,22.7,0,,,NNW,52,12:37,10.5,74,,NW,4,1023.2,22.3,36,,N,30,1019.1
,2024-10-11,4.4,24.9,0,,,NW,46,14:23,12.8,73,7,W,6,1024.6,23.7,37,,NW,26,1019.5
,2024-10-12,9.9,19.6,0,,,NNE,39,14:09,11.0,60,8,SSE,19,1026.7,18.8,33,,NNE,24,1024.6
,2024-10-13,3.0,21.2,0,,,NNW,26,10:28,11.3,57,,SSE,9,1026.7,20.2,29,,N,13,1021.0
,2024-10-14,7.3,22.9,0,,,S,48,15:15,14.9,64,8,W,2,1019.7,19.3,52,8,S,19,1016.4
,2024-10-15,8.1,15.5,5.8,,,ENE,33,14:27,11.8,79,8,SE,13,1025.4,14.5,62,7,NE,20,1023.5
,2024-10-16,3.6,22.0,0,,,N,31,13:53,10.1,70,,SSE,9,1022.3,20.8,45,,N,17,1017.5
,2024-10-17,4.6,25.0,0,,,,,,12.7,75,, ,Calm,1018.4,,,,,,
,2024-10-18,12.7,21.9,3.0,,,NNW,61,12:04,15.7,100,7,NNE,15,1009.4,20.2,81,8,NNW,35,1003.2
,2024-10-19,11.7,24.4,6.8,,,SSE,31,16:37,16.1,86,3, ,Calm,1009.5,21.0,62,8,NNW,19,1011.1
,2024-10-20,3.9,26.3,0.2,,,SSE,37,09:58,14.8,57,,SSW,13,1019.9,24.8,29,,SSW,19,1017.4
,2024-10-21,5.2,24.1,0,,,NNE,33,16:17,13.3,65,,SSE,13,1023.7,23.0,34,,S,9,1018.5
,2024-10-22,4.1,26.8,0,,,NNW,30,15:15,9.7,99,8,SE,6,1017.7,26.3,36,,N,19,1013.1
,2024-10-23,8.1,24.1,0,,,WSW,41,15:47,15.7,71,3, ,Calm,1012.6,23.3,43,8,NNW,17,1009.3
,2024-10-24,6.5,21.5,0,,,NNW,46,14:53,15.8,43,,NNW,13,1011.3,20.7,24,,NNW,22,1008.9
,2024-10-25,1.3,18.9,0,,,ESE,28,16:24,10.3,69,,WNW,4,1015.1,16.5,30,8,NW,7,1014.0
,2024-10-26,-1.3,19.3,0,,,N,33,15:22,9.1,40,,SSE,15,1022.2,17.5,21,,N,17,1018.3
,2024-10-27,4.6,25.0,0,,,NW,41,13:35,11.7,65,5,S,7,1019.8,21.8,29,8,N,20,1016.3
,2024-10-28,3.7,27.7,0,,,WNW,54,11:31,13.6,60,4,NW,6,1018.5,26.7,17,,NW,30,1015.4
,2024-10-29,7.2,25.6,0,,,N,35,14:16,14.2,64,,NNW,2,1023.4,24.2,36,,NNE,17,1019.3
,2024-10-30,9.9,28.3,0,,,W,44,14:26,15.1,73,3,SSW,7,1018.2,27.1,17,,WNW,31,1012.6
,2024-10-31,5.0,26.1,0,,,W,50,13:07,15.8,48,3, ,Calm,1011.5,23.8,23,8,WNW,30,1008.6
