"Daily Weather Observations for Canberra, Australian Capital Territory for December 2024"
"Prepared at 13:01 UTC on Friday  8 August 2025   IDCJDW2801.202412"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-12-1,17.6,26.2,40.4,,,WNW,43,17:25,19.2,87,8,NNW,13,1007.6,24.2,54,8,NW,22,1005.2
,2024-12-2,10.2,30.8,0.6,,,NNW,56,12:48,21.5,59,,WNW,15,1009.1,29.6,29,,W,20,1007.3
,2024-12-3,16.5,25.3,0,,,NNW,56,13:42,20.9,80,7,NNW,15,1008.6,23.5,71,8,NNW,31,1006.0
,2024-12-4,16.6,30.5,7.0,,,E,43,16:08,21.8,92,7,N,11,1014.9,29.2,55,1,N,19,1013.9
,2024-12-5,14.5,30.5,4.4,,,NNW,31,14:40,18.3,80,8,E,6,1020.2,30.2,52,2,NW,17,1016.4
,2024-12-6,18.3,33.5,0,,,E,57,17:22,24.7,71,7, ,Calm,1018.6,33.1,44,1,W,13,1013.3
,2024-12-7,19.6,31.0,48.6,,,WNW,46,14:59,22.8,89,8,NNW,22,1010.1,30.6,52,1,WNW,28,1006.3
,2024-12-8,19.3,28.0,0.2,,,NW,46,11:22,24.5,44,,W,19,1009.1,27.3,22,,WNW,28,1009.0
,2024-12-9,11.8,23.1,0,,,N,33,12:40,17.9,68,8,E,6,1014.0,20.2,37,8,WNW,17,1013.5
,2024-12-10,7.2,28.0,0,,,E,59,17:26,17.2,62,,NNW,4,1012.4,25.3,33,8,N,20,1008.5
,2024-12-11,12.6,27.3,0,,,NW,46,14:43,18.3,68,8,NNW,9,1010.2,26.3,23,,WNW,28,1006.1
,2024-12-12,9.1,30.3,0,,,NW,44,13:20,18.2,62,,N,4,1008.5,28.8,28,,NNW,26,1005.3
,2024-12-13,10.1,30.3,0,,,E,43,19:13,21.0,70,,NW,7,1008.1,29.6,27,1,WNW,24,1006.3
,2024-12-14,16.4,32.2,0,,,NW,50,12:50,20.8,69,,N,4,1011.0,31.8,20,,WNW,31,1008.6
,2024-12-15,13.4,33.0,0,,,ENE,52,18:10,23.2,63,,SE,2,1012.3,31.7,24,,NNW,15,1010.2
,2024-12-16,12.8,34.5,0,,,NW,37,13:46,22.1,62,,ENE,6,1014.9,32.8,31,,NNW,24,1010.3
,2024-12-17,17.7,32.5,0,,,NW,50,10:39,26.7,49,,NNW,26,1008.7,31.6,32,3,WNW,30,1005.5
,2024-12-18,14.0,25.8,0,,,E,50,18:28,15.6,62,8,SSE,19,1016.7,24.8,23,,SSW,22,1015.2
,2024-12-19,6.5,25.5,0,,,NE,39,16:30,16.7,56,6,E,22,1019.7,23.7,38,,N,11,1015.3
,2024-12-20,8.5,29.7,0,,,N,35,17:04,16.3,66,,W,7,1013.6,27.8,36,,NNW,13,1008.0
,2024-12-21,10.8,32.7,0,,,NNW,52,12:42,20.0,61,, ,Calm,1008.9,31.9,20,2,WNW,20,1005.0
,2024-12-22,11.2,29.6,0,,,NW,52,16:01,18.1,68,8,ENE,11,1007.9,28.2,28,,NW,22,1002.3
,2024-12-23,12.4,22.2,0,,,WNW,63,13:54,18.2,43,1,W,31,1000.8,20.7,28,,WNW,33,1002.3
,2024-12-24,3.6,26.2,0,,,NNW,31,14:28,14.3,43,,ESE,6,1011.4,24.3,27,,NW,17,1010.1
,2024-12-25,8.7,31.3,0,,,E,44,18:23,18.6,63,,N,4,1016.6,29.7,29,,N,11,1012.7
,2024-12-26,9.8,34.1,0,,,NW,56,15:37,20.7,60,,N,7,1014.3,33.3,19,,NW,28,1008.0
,2024-12-27,18.9,28.6,0.6,,,NW,56,13:06,22.9,54,,NNW,31,1003.2,27.8,30,,NNW,28,1002.8
,2024-12-28,11.7,26.5,0,,,NNW,50,10:31,17.2,67,8,N,15,1009.4,25.8,23,1,WNW,22,1007.3
,2024-12-29,6.7,29.8,0,,,ENE,48,17:51,19.4,40,,WNW,7,1014.2,27.0,26,,NNW,17,1012.4
,2024-12-30,13.7,31.0,0,,,NNW,37,14:22,18.6,66,4,NNE,9,1019.5,29.1,27,,NW,20,1014.2
,2024-12-31,14.9,30.7,0,,,E,50,17:01,23.0,55,,ESE,13,1015.7,28.9,40,8,NNE,19,1012.0
