"Daily Weather Observations for Canberra, Australian Capital Territory for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW2801.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,17.3,32.3,0,,,W,46,11:57,22.1,69,1,N,11,1013.4,30.9,20,,W,24,1009.8
,2025-01-2,16.0,22.9,0,,,ESE,39,17:08,17.2,70,8,ENE,17,1018.2,21.8,52,8,NE,19,1017.6
,2025-01-3,13.4,31.0,0,,,E,48,18:50,16.9,69,7,NNE,9,1021.3,28.6,35,3,NW,13,1015.9
,2025-01-4,12.3,34.9,0,,,NW,50,18:03,20.7,70,,NNW,9,1018.5,33.2,27,,WNW,19,1013.6
,2025-01-5,14.9,36.4,0,,,W,56,16:25,25.1,46,1,W,6,1017.2,34.6,20,,WNW,20,1013.2
,2025-01-6,13.1,34.4,0,,,WNW,57,12:00,25.1,47,2,W,6,1015.6,33.8,25,1,NW,22,1012.5
,2025-01-7,16.4,21.3,5.0,,,ESE,44,15:13,16.8,81,8,S,13,1019.6,20.2,55,8,SSE,24,1019.6
,2025-01-8,6.6,23.1,0,,,ESE,46,18:44,16.2,58,7,ESE,20,1020.8,21.3,43,5,E,24,1018.1
,2025-01-9,11.3,28.2,0,,,E,41,15:54,18.0,60,1,SSE,9,1017.1,26.5,40,5,ESE,20,1013.4
,2025-01-10,14.1,24.6,0,,,NE,41,13:39,19.9,73,8,ESE,13,1016.4,18.8,99,8,ESE,17,1014.5
,2025-01-11,15.9,27.4,12.2,,,E,43,15:25,19.8,79,8,SE,11,1014.4,26.5,47,,NE,28,1009.9
,2025-01-12,16.2,30.3,4.2,,,NNW,70,18:27,20.9,76,1,E,4,1010.6,28.7,34,,WNW,11,1006.1
,2025-01-13,13.2,32.9,17.2,,,E,44,17:43,20.3,78,,SSW,6,1007.9,30.3,37,5,NNW,17,1004.7
,2025-01-14,17.2,32.6,6.0,,,N,57,00:45,21.0,71,1,SW,6,1008.9,30.4,37,,WNW,15,1004.8
,2025-01-15,16.9,35.9,0.2,,,NW,78,16:14,22.8,72,,SSE,6,1003.1,34.4,31,,NNW,31,993.5
,2025-01-16,14.5,24.8,17.8,,,S,50,07:22,15.2,73,8,S,24,1003.3,23.7,32,2,S,19,1004.1
,2025-01-17,9.7,25.5,0,,,S,57,07:12,16.6,53,,S,35,1012.6,24.8,33,,SSE,28,1012.6
,2025-01-18,13.2,23.3,0,,,ESE,59,12:21,16.1,63,5,SSE,35,1019.8,22.7,52,1,ESE,35,1019.5
,2025-01-19,13.9,25.1,0,,,ENE,41,14:07,16.7,60,7,SSE,19,1019.0,24.1,43,,E,17,1015.6
,2025-01-20,8.3,29.8,0,,,ENE,35,18:02,15.4,72,2,WSW,6,1013.0,27.9,34,,NE,9,1007.9
,2025-01-21,12.7,32.8,0,,,N,44,14:01,20.4,65,, ,Calm,1010.5,30.4,33,7,NNW,30,1005.8
,2025-01-22,14.1,32.7,0,,,SSW,44,14:08,22.4,68,,NE,2,1004.9,26.3,45,8,S,28,1004.4
,2025-01-23,12.4,21.2,0,,,ENE,35,09:24,16.5,75,7,SE,11,1011.8,20.2,60,8,ENE,19,1007.1
,2025-01-24,13.1,25.2,7.6,,,S,37,09:40,18.0,65,,S,11,1004.7,24.5,39,2,SSW,20,1007.0
,2025-01-25,10.7,29.1,0,,,NW,35,15:35,17.1,80,8,NW,6,1014.1,26.7,45,1,NW,17,1010.2
,2025-01-26,12.8,26.7,0,,,ENE,48,18:49,19.3,78,8,ESE,9,1014.6,25.5,52,4,ESE,15,1012.1
,2025-01-27,17.7,36.3,0,,,NNW,50,13:14,21.8,78,4,SSE,6,1012.2,32.5,37,7,NW,24,1008.2
,2025-01-28,16.1,37.5,0,,,NNW,52,09:13,28.4,48,,NNW,31,1010.3,35.2,20,7,NNW,35,1008.2
,2025-01-29,14.6,27.8,0,,,E,39,17:50,17.6,64,8,E,15,1016.1,23.5,50,1,ESE,7,1012.4
,2025-01-30,10.9,27.0,0,,,E,48,18:21,17.6,78,8,S,7,1012.5,24.9,54,8,NE,15,1010.1
,2025-01-31,14.5,26.7,0,,,ENE,33,15:08,18.6,73,8,SE,4,1016.8,24.5,55,5,NE,17,1015.8
