"Daily Weather Observations for Canberra, Australian Capital Territory for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW2801.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,2.0,16.1,0.2,,,SSW,41,10:49,11.1,68,,S,30,1029.8,14.1,54,8,S,22,1029.8
,2025-05-2,3.0,18.7,0,,,SE,19,04:07,8.3,78,,SSW,6,1035.4,18.3,29,,S,6,1032.2
,2025-05-3,-0.2,20.3,0,,,NNW,17,11:46,7.4,94,,SE,7,1037.2,20.0,30,,NW,7,1033.3
,2025-05-4,-0.7,20.5,0,,,NNE,19,14:50,8.2,94,,WSW,4,1035.6,19.6,26,,N,13,1031.1
,2025-05-5,1.6,21.7,0,,,NW,26,13:36,8.5,99,1, ,Calm,1031.8,20.2,49,,NNW,17,1026.3
,2025-05-6,3.0,23.5,0,,,NNW,46,12:31,11.6,91,,SE,7,1025.5,22.0,36,6,WNW,20,1021.1
,2025-05-7,5.1,23.6,0,,,NW,57,11:59,16.6,62,,NW,20,1019.6,21.7,38,,WNW,31,1016.5
,2025-05-8,3.0,17.5,0,,,WNW,30,00:26,10.8,65,,SSE,13,1026.8,16.7,31,,ESE,9,1026.2
,2025-05-9,-1.2,19.3,0,,,WSW,17,14:05,8.2,69,,SE,7,1034.6,18.3,38,,SSW,9,1030.4
,2025-05-10,0.9,19.6,0,,,ESE,24,16:30,7.7,89,, ,Calm,1034.2,19.5,46,,WSW,9,1029.8
,2025-05-11,3.9,20.8,0,,,N,24,11:54,12.9,87,, ,Calm,1032.0,19.6,49,8,SSW,9,1027.9
,2025-05-12,10.1,21.7,1.8,,,NE,19,15:09,13.4,100,8,ESE,7,1029.3,21.1,52,,NE,11,1025.4
,2025-05-13,8.4,20.3,0,,,NE,26,15:59,14.0,82,8,SE,7,1028.3,19.3,56,1,WNW,7,1024.5
,2025-05-14,9.8,20.6,0.8,,,SW,30,15:22,13.0,100,8, ,Calm,1023.5,18.1,62,1,WNW,11,1020.7
,2025-05-15,6.7,19.2,1.2,,,NNE,31,12:19,13.0,69,,SE,9,1024.1,17.5,58,,E,17,1021.7
,2025-05-16,6.4,19.2,0,,,NE,17,12:32,12.6,91,1,E,9,1021.8,18.4,56,8,W,9,1017.0
,2025-05-17,1.5,17.7,0,,,S,28,23:49,7.6,100,8,S,9,1018.3,16.8,49,,NW,13,1015.7
,2025-05-18,4.6,14.2,0,,,S,52,09:26,9.7,61,1,S,33,1024.4,11.2,59,8,S,30,1024.7
,2025-05-19,4.9,14.4,0,,,ESE,39,10:47,9.1,71,6,S,13,1031.5,12.0,58,7,E,24,1031.1
,2025-05-20,3.0,15.8,0,,,E,33,11:31,9.9,78,8,SSE,9,1033.0,13.9,64,8,E,17,1030.3
,2025-05-21,3.3,17.6,0,,,SE,28,13:26,11.1,97,4, ,Calm,1030.0,16.0,64,8,ESE,17,1026.1
,2025-05-22,10.4,15.7,1.0,,,ESE,30,23:15,12.8,97,8,SSE,11,1023.1,13.8,99,8,SSE,11,1019.1
,2025-05-23,12.6,16.1,19.6,,,NNW,46,23:32,15.6,99,8,E,17,1016.0,14.0,95,8,E,2,1012.9
,2025-05-24,9.1,16.8,10.8,,,NW,50,13:39,12.1,77,8,NW,22,1014.9,15.4,51,,WNW,28,1014.5
,2025-05-25,2.1,18.1,0,,,NW,35,13:41,7.5,90,, ,Calm,1019.6,17.5,33,,WNW,20,1017.3
,2025-05-26,-0.7,15.1,0,,,NNW,56,14:35,8.3,77,1,NE,7,1019.0,11.6,90,8,N,28,1013.6
,2025-05-27,6.5,12.3,4.8,,,NW,56,12:37,9.3,67,1,NNW,22,1009.9,8.8,70,8,NW,28,1008.8
,2025-05-28,4.9,15.1,0,,,NW,30,00:08,10.3,67,,NW,11,1017.0,14.4,57,,NNW,19,1015.5
,2025-05-29,-1.7,16.8,0,,,NW,20,14:23,6.6,94,, ,Calm,1022.4,16.0,48,,NW,11,1021.0
,2025-05-30,-3.9,18.9,0.2,,,NNW,17,15:40,2.4,100,, ,Calm,1026.9,18.8,26,,W,9,1024.9
,2025-05-31,-0.4,16.3,0,,,ESE,17,04:54,6.5,88,8,S,6,1030.7,15.2,55,,SSW,9,1027.4
