"Daily Weather Observations for Canberra, Australian Capital Territory for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW2801.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Canberra Airport."
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Canberra Airport {station 070351}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,0.1,11.1,0.2,,,SSW,72,22:21,6.8,83,8,S,15,1019.8,8.2,83,7,SSW,28,1014.2
,2025-07-2,6.8,13.3,2.0,,,S,69,00:23,11.0,77,8,S,33,1008.6,12.9,64,8,S,22,1008.3
,2025-07-3,7.9,14.7,0,,,SSW,52,10:23,10.0,67,8,S,15,1014.5,14.2,49,7,S,22,1013.6
,2025-07-4,-3.2,10.2,0,,,W,19,13:59,1.6,100,8,SE,6,1023.3,9.5,77,,W,15,1021.3
,2025-07-5,-4.2,11.0,0.4,,,SSW,17,21:58,-0.2,100,2, ,Calm,1026.0,10.8,72,8,W,2,1022.7
,2025-07-6,-0.2,15.0,0,,,N,24,04:15,8.5,91,, ,Calm,1019.6,10.6,85,8,SSE,4,1015.7
,2025-07-7,2.6,,11.4,,,,,,7.1,100,8,N,7,1018.4,,,,,,
,2025-07-8,3.4,12.6,0.2,,,NW,67,13:41,7.9,99,8,NNW,24,1014.1,10.7,65,1,NW,50,1008.2
,2025-07-9,2.9,12.1,0,,,WNW,44,11:35,7.1,75,,NNW,19,1010.2,10.0,50,8,WNW,22,1008.0
,2025-07-10,4.2,7.5,3.8,,,NW,56,08:40,5.1,91,8,NW,37,1003.5,7.1,84,8,WNW,11,1005.3
,2025-07-11,4.4,11.6,1.0,,,NNW,44,10:49,6.6,93,8,N,20,1018.8,9.3,83,8,NNW,26,1019.0
,2025-07-12,4.9,14.2,0,,,NNW,37,14:23,9.2,63,,N,7,1025.0,12.7,48,,NW,24,1024.3
,2025-07-13,-2.8,12.0,0.2,,,NW,48,13:04,2.2,100,8,NE,2,1023.3,9.9,67,8,NW,28,1016.4
,2025-07-14,2.1,12.0,0,,,NW,59,01:33,7.1,70,,NNW,17,1014.6,10.7,54,,NNW,31,1013.0
,2025-07-15,2.3,12.3,0,,,WNW,41,14:14,5.9,72,2,NW,20,1012.5,10.7,48,,WNW,28,1011.2
,2025-07-16,-5.4,12.8,0.2,,,N,31,15:18,0.9,99,,SE,7,1019.5,12.0,51,,N,22,1018.4
,2025-07-17,-4.4,12.6,0,,,NW,19,14:39,0.5,100,8,SE,6,1020.3,12.0,49,,WNW,11,1016.7
,2025-07-18,-4.3,14.1,0,,,W,19,14:02,1.9,93,,SSE,2,1021.9,13.6,39,,W,7,1019.1
,2025-07-19,-5.5,13.6,0,,,N,39,13:38,0.7,100,, ,Calm,1021.5,12.5,44,1,NNW,26,1017.5
,2025-07-20,-5.2,14.8,0.2,,,ENE,28,14:54,2.0,87,,SE,9,1025.6,14.3,39,4,NE,17,1022.9
,2025-07-21,0.9,16.1,0,,,ENE,35,19:45,8.5,93,8,SSE,9,1026.4,15.1,52,7,NNE,13,1021.3
,2025-07-22,3.1,16.6,0,,,NW,56,17:35,8.0,100,8, ,Calm,1018.7,15.9,53,7,N,28,1011.4
,2025-07-23,4.4,12.7,16.6,,,WNW,43,12:31,7.8,72,,NW,17,1015.0,10.8,45,,WNW,24,1014.5
,2025-07-24,-3.3,12.8,0.2,,,NW,35,13:43,3.2,88,, ,Calm,1022.6,12.3,42,,WNW,22,1020.4
,2025-07-25,-5.3,12.6,0,,,E,33,20:28,1.0,97,8,N,4,1024.8,11.7,48,5,NE,11,1019.7
,2025-07-26,0.9,12.7,14.4,,,NNW,52,21:37,6.5,100,8,WNW,7,1009.0,11.6,69,8,NNW,30,1005.4
,2025-07-27,6.5,12.2,4.8,,,NW,52,13:45,8.3,99,8,NNW,26,1004.6,9.6,82,8,NW,31,1002.7
,2025-07-28,6.9,11.9,0.8,,,NNW,48,07:34,7.8,92,8,NNW,28,1007.6,8.6,98,8,NW,28,1008.7
,2025-07-29,5.8,13.0,1.6,,,NW,39,10:28,8.4,80,1,NNW,20,1015.9,10.9,59,8,NNW,20,1013.7
,2025-07-30,2.6,10.1,0,,,S,35,12:01,6.0,73,8,SE,15,1016.5,9.9,59,8,SSE,20,1015.9
,2025-07-31,-0.3,13.3,0,,,SSW,46,12:05,7.0,73,,SSE,26,1023.0,12.5,41,1,S,19,1021.9
