"Daily Weather Observations for Tuggeranong, Australian Capital Territory for February 2024"
"Prepared at 13:00 UTC on Saturday  9 November 2024   IDCJDW2802.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tuggeranong (Isabella Plains) AWS {station 070339}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,16.8,32.0,0,,,WNW,33,15:38,17.8,80,,NW,7,1012.7,30.4,40,,NNW,13,1007.4
,2024-02-2,11.5,31.2,0,,,SSE,26,18:34,19.4,71,,NNE,2,1008.4,30.2,28,,E,11,1005.1
,2024-02-3,14.1,32.0,0,,,NNE,31,16:39,17.4,72,, ,Calm,1012.6,29.6,42,,NNW,13,1008.1
,2024-02-4,14.1,33.4,0,,,N,28,13:16,19.5,73,, ,Calm,1009.3,31.9,25,,NW,15,1005.8
,2024-02-5,19.5,22.4,0.4,,,N,26,11:34,20.5,94,,ENE,6,1009.3,21.6,92,,N,9,1008.0
,2024-02-6,18.4,25.9,12.8,,,S,37,22:53,19.9,100,,E,2,1010.3,24.3,61,,SSW,20,1010.5
,2024-02-7,10.6,24.4,0,,,S,35,00:10,14.5,56,,S,15,1021.0,23.1,44,,ENE,13,1019.2
,2024-02-8,14.5,23.3,0,,,E,30,18:07,16.6,58,,SE,17,1024.9,22.0,45,,ESE,20,1022.6
,2024-02-9,8.4,29.1,0,,,ENE,30,18:38,14.5,81,,WNW,6,1022.5,28.4,34,,ENE,9,1018.2
,2024-02-10,14.5,23.4,0,,,ESE,35,09:53,17.5,64,,S,13,1025.1,21.7,54,,ESE,19,1023.6
,2024-02-11,14.0,26.9,0.2,,,ENE,24,16:00,17.0,68,,NE,7,1023.6,25.0,42,,WNW,11,1019.0
,2024-02-12,11.5,31.4,0,,,N,28,13:37,19.2,76,, ,Calm,1019.7,29.0,39,,N,15,1015.6
,2024-02-13,13.7,31.8,0,,,WNW,39,14:23,21.8,71,,W,2,1016.1,29.0,43,,NNW,22,1010.4
,2024-02-14,18.1,27.4,9.8,,,NE,37,17:10,20.0,79,,N,9,1010.5,27.0,41,,NNW,15,1011.4
,2024-02-15,14.4,21.6,0,,,NE,31,18:51,15.5,71,,SE,2,1020.1,19.3,70,,NE,11,1019.4
,2024-02-16,15.4,27.3,0,,,NNE,26,18:22,17.3,93,, ,Calm,1021.8,24.5,64,,NNE,7,1018.8
,2024-02-17,16.8,32.4,0,,,ENE,37,16:12,21.6,79,,WNW,2,1021.6,31.0,31,,NNW,15,1017.2
,2024-02-18,16.0,32.2,0.8,,,E,63,17:20,21.1,80,,WNW,2,1019.3,29.5,44,,NE,13,1014.7
,2024-02-19,13.0,28.2,1.0,,,NE,35,17:28,18.6,75,,WNW,2,1018.5,27.0,50,,NNE,9,1016.1
,2024-02-20,17.5,27.3,0,,,NE,33,16:16,19.4,72,,SSE,7,1019.1,25.7,50,,N,13,1015.9
,2024-02-21,12.7,25.7,0,,,E,28,14:57,17.7,84,, ,Calm,1017.6,24.4,57,,E,9,1014.5
,2024-02-22,14.5,32.1,0,,,N,31,13:29,19.9,78,,SSW,2,1014.5,30.6,31,,W,19,1009.4
,2024-02-23,14.5,30.1,0,,,WNW,31,16:05,21.5,67,,NE,6,1007.9,27.3,56,,N,17,1005.1
,2024-02-24,14.3,26.2,4.8,,,NNE,33,15:37,18.6,65,,SSE,2,1015.5,24.0,45,,NNE,11,1014.6
,2024-02-25,10.8,30.3,0,,,NNW,30,12:41,16.1,71,,E,7,1017.7,28.3,36,,NNE,13,1012.0
,2024-02-26,13.4,30.4,0,,,ENE,43,16:33,16.3,85,,SW,2,1014.5,29.8,29,,N,9,1012.7
,2024-02-27,16.0,25.5,0,,,NE,26,14:53,17.5,76,,NE,6,1018.2,22.8,62,,ENE,15,1015.7
,2024-02-28,17.5,33.6,0,,,NNE,30,14:10,19.1,84,,S,6,1017.8,31.7,40,,NNW,11,1013.7
,2024-02-29,18.6,33.2,0,,,W,33,16:00,25.9,62,,NNW,11,1013.4,30.2,40,,NNW,9,1012.7
