"Daily Weather Observations for Tuggeranong, Australian Capital Territory for September 2024"
"Prepared at 16:00 UTC on Saturday 16 November 2024   IDCJDW2802.202409"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tuggeranong (Isabella Plains) AWS {station 070339}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-09-1,11.2,18.3,0,,,WNW,61,11:57,15.1,42,,WNW,30,1011.9,17.5,36,,NW,28,1010.0
,2024-09-2,9.7,13.2,0,,,W,74,07:48,11.3,54,,WNW,33,1008.2,11.7,36,,WNW,28,1013.8
,2024-09-3,0.7,15.7,0,,,SW,31,00:35,8.3,51,,N,4,1029.1,15.4,40,,NNW,13,1027.6
,2024-09-4,-2.1,20.2,0,,,WNW,31,13:49,6.4,78,,NW,4,1028.6,19.2,30,,NW,19,1023.0
,2024-09-5,4.0,22.9,0,,,NW,41,13:26,15.7,54,,NE,15,1023.3,21.0,34,,NNW,15,1020.5
,2024-09-6,8.4,24.3,0,,,NW,48,10:38,18.5,47,,NW,20,1022.5,23.9,32,,NNW,20,1018.1
,2024-09-7,13.2,20.9,0.2,,,W,39,02:24,14.1,72,,NNW,7,1023.4,20.4,30,,NW,19,1020.7
,2024-09-8,-0.4,17.1,0,,,WNW,43,13:57,8.5,70,,SSW,6,1021.4,16.3,37,,WNW,19,1017.2
,2024-09-9,8.4,18.5,0,,,NW,43,13:39,15.0,46,,W,17,1017.1,16.4,40,,WNW,26,1016.5
,2024-09-10,-0.7,20.0,0,,,NNE,20,13:47,9.1,68,,NW,6,1025.9,19.4,32,,NNE,11,1023.1
,2024-09-11,0.9,19.9,0,,,N,30,16:19,10.6,70,, ,Calm,1024.9,19.4,39,,NNW,13,1021.0
,2024-09-12,6.4,14.4,0,,,S,41,10:55,12.4,64,,S,17,1023.8,14.0,59,,SSE,17,1024.2
,2024-09-13,0.3,17.0,0,,,NW,20,14:15,8.7,61,,SE,9,1029.2,16.3,43,,NNW,9,1024.4
,2024-09-14,-1.1,18.6,0,,,WNW,44,15:02,8.6,77,, ,Calm,1024.0,16.4,31,,WNW,20,1019.2
,2024-09-15,2.4,12.7,0,,,SSW,52,08:18,7.0,49,,SSW,24,1028.5,11.3,37,,SSE,20,1028.0
,2024-09-16,-5.4,16.9,0,,,SSE,28,19:35,4.4,62,,NW,6,1027.3,15.0,31,,N,15,1023.0
,2024-09-17,-0.3,19.3,0,,,N,35,13:26,9.1,63,,NW,9,1026.3,18.3,34,,WNW,20,1020.4
,2024-09-18,4.1,18.0,0,,,NW,57,16:27,14.0,33,,WNW,22,1017.1,17.2,26,,WNW,30,1012.4
,2024-09-19,7.0,17.8,0,,,WNW,69,12:20,15.4,34,,WNW,22,1009.3,15.7,39,,WNW,31,1006.1
,2024-09-20,0.7,16.8,0,,,WNW,50,14:42,12.0,51,,NNW,13,1009.8,14.8,39,,WNW,24,1008.0
,2024-09-21,8.7,16.5,0,,,WNW,54,03:04,12.7,45,,W,17,1010.2,15.7,36,,WNW,24,1009.7
,2024-09-22,10.0,18.2,0,,,NW,46,13:08,13.1,54,,NW,15,1016.1,17.3,40,,W,20,1015.5
,2024-09-23,1.9,22.6,0,,,NW,46,14:35,16.4,49,,N,17,1018.7,21.4,32,,NW,22,1017.0
,2024-09-24,4.2,24.8,0,,,N,39,13:52,14.2,62,,W,2,1021.8,24.1,27,,NW,17,1015.4
,2024-09-25,10.5,19.6,0,,,WNW,63,05:12,15.7,67,,NW,19,1014.1,14.8,81,,NNW,13,1012.2
,2024-09-26,4.1,13.7,17.8,,,S,54,02:15,5.5,85,,SSE,20,1020.7,13.3,40,,SSE,17,1019.8
,2024-09-27,3.6,15.8,0.4,,,SSW,35,08:37,8.5,56,,S,17,1028.9,15.1,43,,NE,13,1026.1
,2024-09-28,-0.7,18.3,0,,,NNE,28,11:14,11.6,67,,SW,2,1029.3,17.9,47,,NE,15,1024.7
,2024-09-29,5.2,20.4,0,,,NNW,35,12:34,12.1,71,,NW,7,1023.2,19.6,37,,NW,17,1018.0
,2024-09-30,7.3,21.1,0.4,,,ENE,35,18:09,15.3,59,,SSW,13,1020.6,19.6,34,,NW,4,1018.5
