"Daily Weather Observations for Tuggeranong, Australian Capital Territory for May 2025"
"Prepared at 13:01 UTC on Sunday 17 August 2025   IDCJDW2802.202505"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Tuggeranong (Isabella Plains) AWS {station 070339}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-05-1,7.7,16.1,0,,,SSE,41,04:51,11.2,62,,S,17,1029.8,14.8,50,,S,15,1029.7
,2025-05-2,0.9,19.6,0,,,S,15,12:19,8.9,76,,WNW,2,1035.3,18.5,31,,NE,9,1031.9
,2025-05-3,-1.6,19.9,0,,,NNE,17,12:09,7.8,75,, ,Calm,1037.2,19.7,32,,S,6,1032.9
,2025-05-4,-1.3,20.5,0,,,N,19,15:29,8.3,76,, ,Calm,1035.5,20.2,32,,N,7,1030.8
,2025-05-5,0.3,21.7,0,,,N,24,16:11,7.0,95,, ,Calm,1031.7,19.9,48,,N,11,1025.9
,2025-05-6,3.3,22.9,0,,,WNW,43,12:48,10.6,84,, ,Calm,1025.3,22.1,35,,WNW,19,1020.9
,2025-05-7,3.8,23.1,0,,,WNW,50,15:26,16.5,61,,NE,13,1019.3,21.2,38,,WNW,22,1016.3
,2025-05-8,2.2,18.1,0,,,S,22,19:39,11.9,62,,E,2,1026.7,17.0,33,,SSW,7,1026.1
,2025-05-9,-0.7,19.1,0,,,NW,17,13:17,8.4,70,, ,Calm,1034.6,19.0,34,,WSW,2,1030.3
,2025-05-10,-1.0,19.7,0,,,NNE,17,11:38,8.3,75,, ,Calm,1034.0,18.9,45,,ENE,9,1029.8
,2025-05-11,4.9,20.9,0,,,NW,17,13:13,13.6,72,, ,Calm,1031.8,20.8,42,,WNW,6,1027.6
,2025-05-12,9.2,22.4,0,,,ESE,19,19:31,13.3,87,,WSW,2,1029.2,21.2,44,,SE,4,1025.2
,2025-05-13,8.5,20.3,0,,,NNE,22,16:50,12.8,80,,W,4,1028.2,19.9,56,,W,7,1024.4
,2025-05-14,10.5,19.5,0.2,,,N,24,14:31,11.3,92,,WSW,7,1023.5,13.4,79,,N,17,1020.7
,2025-05-15,6.5,19.4,8.2,,,NNE,26,13:13,12.9,86,, ,Calm,1023.9,17.8,53,,NNE,13,1021.6
,2025-05-16,8.1,18.8,0,,,NE,19,12:51,11.9,92,, ,Calm,1021.6,17.7,58,,NW,9,1016.9
,2025-05-17,2.0,17.9,0,,,SSE,31,19:04,5.9,100,, ,Calm,1018.2,17.5,47,,NW,7,1015.4
,2025-05-18,5.7,12.4,0,,,S,48,08:11,9.1,63,,S,24,1024.4,10.4,60,,S,20,1025.3
,2025-05-19,6.5,14.5,0,,,S,41,00:20,9.1,65,,S,24,1031.7,13.0,47,,SE,19,1030.9
,2025-05-20,4.9,15.7,0,,,ENE,28,12:25,10.3,67,,S,9,1033.1,13.9,59,,ESE,15,1030.2
,2025-05-21,4.1,16.0,0,,,SE,22,10:37,9.6,90,,NW,6,1030.1,15.1,68,,SE,9,1026.1
,2025-05-22,9.5,13.8,1.0,,,S,30,07:21,13.0,82,,S,13,1023.1,13.1,96,,S,11,1019.2
,2025-05-23,12.3,15.2,26.2,,,NNE,26,09:55,13.7,100,,S,7,1016.1,13.9,95,,SSE,6,1012.7
,2025-05-24,7.2,14.9,12.2,,,NW,52,14:04,12.1,73,,NNW,15,1014.5,14.4,50,,NW,26,1013.6
,2025-05-25,4.5,18.1,0,,,NW,33,13:00,8.9,71,,SSW,2,1019.3,17.5,32,,NNW,13,1016.9
,2025-05-26,-0.1,15.2,0.2,,,NNW,28,21:12,6.4,84,, ,Calm,1018.8,10.2,88,,NNE,11,1013.5
,2025-05-27,6.4,12.5,6.2,,,NW,48,10:28,9.6,60,,NW,19,1009.5,8.9,65,,WNW,19,1008.4
,2025-05-28,0.7,16.1,0,,,NW,24,00:40,7.9,77,, ,Calm,1016.6,15.3,51,,NNW,9,1015.1
,2025-05-29,1.0,17.1,0,,,S,28,09:19,9.6,67,,SSE,13,1022.2,16.3,47,,WNW,9,1020.8
,2025-05-30,-3.3,19.4,0,,,NW,13,15:35,3.5,93,, ,Calm,1026.7,18.9,23,,NNW,6,1024.7
,2025-05-31,-0.7,16.0,0,,,NW,15,13:45,5.5,76,, ,Calm,1030.5,15.8,50,,NW,7,1027.3
