"Daily Weather Observations for Mount Ginini for November 2023"
"Prepared at 13:01 UTC on Tuesday 12 November 2024   IDCJDW2804.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,-0.5,12.2,0,,,ENE,24,19:25,3.8,78,,E,9,,10.5,57,,NE,7,
,2023-11-2,3.7,16.2,0,,,WNW,26,11:07,9.6,59,,SW,9,,15.3,49,,WSW,9,
,2023-11-3,4.0,16.0,0,,,W,28,15:52,10.8,64,,SW,6,,12.2,62,,WNW,9,
,2023-11-4,5.1,8.5,0,,,E,39,21:40,6.0,99,,NE,6,,6.6,99,,E,9,
,2023-11-5,3.2,10.1,0.4,,,E,39,23:03,4.7,99,,E,13,,8.6,97,,ENE,13,
,2023-11-6,1.8,15.2,1.4,,,E,28,23:34,9.8,82,,WSW,2,,14.3,61,,NW,6,
,2023-11-7,5.3,17.5,1.2,,,W,31,15:25,10.8,68,,WNW,13,,16.1,53,,NW,13,
,2023-11-8,7.9,17.3,0,,,WNW,44,12:23,11.6,76,,WNW,17,,14.8,67,,WNW,17,
,2023-11-9,6.1,15.3,20.6,,,SW,56,05:59,7.4,91,,SW,13,,10.5,90,,W,17,
,2023-11-10,6.5,19.4,9.6,,,WNW,26,15:02,12.4,83,,W,7,,18.5,51,,WNW,11,
,2023-11-11,11.3,23.6,0,,,NNW,48,22:32,14.5,69,,WNW,22,,22.1,51,,NW,17,
,2023-11-12,12.1,21.2,0.8,,,WSW,54,11:12,16.1,29,,WSW,17,,19.7,20,,W,17,
,2023-11-13,3.5,19.8,0,,,NW,26,13:24,8.5,79,,ESE,6,,18.6,46,,WSW,9,
,2023-11-14,8.1,14.9,0,,,WSW,33,17:52,10.3,40,,SW,13,,9.0,84,,WNW,9,
,2023-11-15,5.2,17.7,1.6,,,WSW,35,16:08,10.0,71,,WNW,4,,16.4,57,,W,13,
,2023-11-16,6.3,,0.2,,,,,,9.7,53,,SW,13,,13.4,52,,WNW,15,
,2023-11-17,0.8,16.3,,,,SSE,26,07:38,4.1,67,,SE,7,,15.2,34,,WSW,7,
,2023-11-18,3.9,18.6,0,,,WNW,31,09:34,10.7,57,,WNW,13,,17.8,47,,NW,11,
,2023-11-19,9.2,20.9,0,,,W,44,14:47,14.8,50,,NNW,15,,20.3,34,,NW,11,
,2023-11-20,9.6,18.8,0,,,NW,31,02:04,12.5,76,,WNW,17,,14.8,78,,NW,13,
,2023-11-21,7.4,17.3,17.8,,,S,30,20:02,11.5,78,,WSW,9,,14.6,64,,SSW,6,
,2023-11-22,7.9,15.9,0,,,ESE,33,22:20,10.2,84,,ESE,4,,14.6,70,,ESE,6,
,2023-11-23,6.0,14.8,4.4,,,ESE,50,21:26,10.2,88,,ESE,19,,13.7,70,,E,9,
,2023-11-24,6.1,11.2,0,,,ESE,52,23:54,8.8,99,,E,17,,11.1,97,,ENE,11,
,2023-11-25,8.7,14.8,26.6,,,N,44,01:34,11.0,99,,NW,13,,13.1,95,,NW,11,
,2023-11-26,7.1,15.3,11.6,,,W,50,08:57,10.5,79,,W,22,,13.6,70,,WNW,15,
,2023-11-27,7.3,17.8,0.2,,,ENE,33,22:32,11.1,93,,NW,9,,16.7,44,,NW,11,
,2023-11-28,8.6,11.5,0,,,E,50,22:09,9.4,99,,ENE,9,,10.9,92,,ENE,7,
,2023-11-29,7.3,11.8,69.6,,,NW,61,12:17,9.2,99,,NE,6,,8.7,95,,NE,9,
,2023-11-30,5.6,12.6,26.4,,,SSW,56,06:32,7.0,98,,SW,20,,10.2,99,,SSW,11,
