"Daily Weather Observations for Mount Ginini for March 2024"
"Prepared at 13:01 UTC on Friday  8 November 2024   IDCJDW2804.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,13.6,22.5,0,,,WSW,65,13:26,14.5,97,,W,15,,20.4,58,,WSW,20,
,2024-03-2,14.2,20.5,0,,,SW,46,01:10,14.8,62,,WSW,17,,19.5,49,,W,11,
,2024-03-3,6.9,18.6,0,,,SW,43,13:58,9.6,57,,SW,15,,17.7,44,,SW,20,
,2024-03-4,7.2,17.8,0,,,SSW,24,00:24,14.0,9,,S,2,,16.9,45,,E,6,
,2024-03-5,5.6,19.5,0,,,WNW,28,18:54,12.5,48,,W,11,,18.3,59,,W,9,
,2024-03-6,11.8,18.8,0,,,WSW,35,14:21,14.1,80,,WNW,13,,17.7,58,,W,11,
,2024-03-7,13.6,22.5,0,,,E,30,22:28,17.4,51,,ENE,9,,18.5,56,,NE,11,
,2024-03-8,9.7,22.4,0,,,ENE,31,23:38,11.6,93,,NE,13,,21.7,60,,WNW,9,
,2024-03-9,11.6,21.9,0,,,NNW,28,10:49,17.1,49,,NNE,7,,20.4,49,,NNE,9,
,2024-03-10,12.4,23.1,0,,,NE,26,16:11,18.9,45,,E,6,,22.2,44,,E,6,
,2024-03-11,13.0,22.9,0,,,E,20,01:32,17.6,19,,NNW,7,,21.4,38,,WNW,9,
,2024-03-12,12.5,23.2,0,,,WSW,39,03:15,13.9,67,,SW,19,,23.0,48,,SW,11,
,2024-03-13,13.2,21.0,0,,,NNW,24,09:30,15.7,57,,N,9,,19.1,53,,WNW,9,
,2024-03-14,13.3,18.2,0,,,SW,61,10:48,14.5,71,,SW,19,,16.5,69,,WSW,17,
,2024-03-15,6.0,13.2,11.4,,,ESE,50,03:25,6.9,99,,E,24,,10.6,88,,E,19,
,2024-03-16,3.7,13.4,0,,,E,46,23:36,5.3,99,,E,19,,12.6,68,,ENE,11,
,2024-03-17,5.0,11.3,4.2,,,ENE,41,22:00,8.5,99,,ENE,11,,10.3,99,,ENE,6,
,2024-03-18,7.3,14.2,10.6,,,E,43,00:14,9.6,99,,E,20,,12.8,99,,E,11,
,2024-03-19,8.3,19.0,1.6,,,NNW,44,20:50,12.2,86,,NNE,6,,17.6,68,,NW,15,
,2024-03-20,8.5,14.1,22.2,,,WSW,48,10:44,9.1,89,,SW,20,,11.4,57,,WSW,11,
,2024-03-21,0.4,12.2,0.2,,,ESE,28,01:35,3.6,55,,E,17,,11.5,57,,ESE,6,
,2024-03-22,2.8,15.4,0,,,NW,24,13:45,9.1,38,,NNE,6,,14.4,66,,WNW,11,
,2024-03-23,6.5,15.9,0,,,NW,30,12:16,10.1,68,,WSW,6,,14.7,62,,NW,13,
,2024-03-24,6.2,15.6,7.2,,,WSW,39,08:18,7.9,80,,SW,20,,15.2,56,,WSW,11,
,2024-03-25,6.7,17.5,0.2,,,SW,48,07:33,8.7,47,,SW,24,,16.6,37,,WSW,11,
,2024-03-26,7.4,18.8,0,,,SW,37,05:36,10.9,37,,SW,22,,18.8,33,,WSW,9,
,2024-03-27,9.0,18.2,0,,,NW,31,14:24,12.3,48,,WSW,6,,17.4,49,,WNW,13,
,2024-03-28,6.7,17.5,0,,,WSW,33,13:32,8.7,99,,NNW,9,,17.2,56,,WNW,11,
,2024-03-29,6.3,18.9,0,,,WSW,28,10:27,11.6,79,,WSW,11,,16.9,55,,SSW,11,
,2024-03-30,10.6,19.9,0,,,SW,37,07:24,12.3,68,,SW,19,,19.2,48,,SW,9,
,2024-03-31,10.3,20.9,0,,,WSW,28,12:43,12.7,55,,WNW,13,,19.8,48,,SW,7,
