"Daily Weather Observations for Mount Ginini for July 2024"
"Prepared at 13:01 UTC on Monday  4 November 2024   IDCJDW2804.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-5.3,0.9,1.2,,,ESE,33,09:05,-2.4,87,,ESE,15,,-0.5,86,,E,9,
,2024-07-2,-3.5,0.6,0,,,ESE,41,22:57,-1.8,97,,ESE,15,,-0.2,91,,E,15,
,2024-07-3,-3.3,0.8,0,,,SE,44,20:31,-2.3,87,,SE,6,,0.2,84,,ESE,17,
,2024-07-4,-2.3,2.4,0,,,ESE,50,11:49,-0.9,98,,ESE,11,,1.6,95,,ESE,13,
,2024-07-5,-2.3,3.8,0,,,ESE,41,00:06,0.7,93,,E,17,,3.3,80,,ESE,4,
,2024-07-6,-2.0,4.7,0,,,E,37,21:57,2.3,22,,ESE,13,,2.8,57,,ESE,13,
,2024-07-7,-2.5,4.3,0,,,ENE,46,08:30,0.7,99,,ENE,22,,2.6,99,,E,20,
,2024-07-8,0.6,4.0,1.0,,,NE,44,18:05,2.2,99,,NE,17,,3.2,99,,NNE,13,
,2024-07-9,1.3,3.6,16.4,,,NW,37,03:09,1.8,99,,WNW,19,,3.3,99,,WNW,9,
,2024-07-10,0.8,4.3,4.0,,,SW,33,12:24,1.7,99,,WSW,15,,2.2,99,,SW,17,
,2024-07-11,-0.4,7.7,0.6,,,SW,35,00:15,4.3,22,,WSW,13,,6.7,24,,WNW,13,
,2024-07-12,1.0,4.8,0,,,SW,35,05:53,2.3,77,,SW,15,,3.2,78,,SSW,11,
,2024-07-13,-1.5,5.3,0,,,SSW,44,21:53,1.7,75,,S,7,,4.5,55,,SW,11,
,2024-07-14,-2.8,0.3,0,,,SSW,39,00:48,-2.4,97,,SW,15,,-1.9,94,,SW,11,
,2024-07-15,-5.8,-1.7,0.6,,,WSW,61,19:08,-4.4,95,,SW,20,,-3.0,96,,SW,26,
,2024-07-16,-4.4,0.1,5.4,,,WSW,48,01:42,-1.7,97,,SW,11,,0.0,99,,WSW,15,
,2024-07-17,-1.7,1.1,5.2,,,SSW,48,08:49,-0.1,99,,S,19,,1.0,99,,SSW,13,
,2024-07-18,-2.2,0.9,0,,,SW,43,16:07,-1.7,97,,WSW,19,,-0.3,80,,SW,13,
,2024-07-19,-5.1,-0.6,0,,,NW,63,23:08,-4.8,95,,SW,24,,-2.7,97,,W,17,
,2024-07-20,-4.8,-1.2,16.6,,,SW,72,18:43,-2.5,97,,WSW,26,,-3.5,96,,WSW,28,
,2024-07-21,-3.6,0.1,14.8,,,SW,48,01:45,-2.9,96,,SW,15,,-1.2,98,,SW,19,
,2024-07-22,-3.0,1.1,4.0,,,WSW,50,07:20,0.1,99,,SW,19,,0.9,99,,SW,19,
,2024-07-23,-0.6,4.0,0,,,SSW,43,00:20,0.0,99,,SW,15,,3.0,87,,WSW,19,
,2024-07-24,-2.1,3.0,0,,,NW,50,23:15,-1.1,94,,W,20,,1.8,82,,W,19,
,2024-07-25,-1.1,3.5,0,,,NW,63,03:43,1.6,99,,WNW,26,,2.1,99,,W,19,
,2024-07-26,-2.1,5.5,9.4,,,WSW,48,01:27,-1.7,97,,SSW,22,,4.5,66,,WSW,7,
,2024-07-27,-1.7,5.0,0,,,SW,54,22:33,0.8,59,,WNW,11,,4.1,62,,WSW,11,
,2024-07-28,-5.6,-3.4,2.2,,,SSW,46,21:03,-5.4,94,,SSW,13,,-3.6,95,,SSW,15,
,2024-07-29,-8.0,-0.1,0.6,,,SSW,63,06:01,-4.4,81,,S,20,,-1.1,71,,SE,6,
,2024-07-30,-5.5,3.1,0.4,,,SSE,39,00:18,-1.3,47,,SSE,19,,2.5,39,,SSE,9,
,2024-07-31,-2.0,4.7,0,,,SSE,30,02:52,3.0,31,,S,13,,3.5,58,,SSE,2,
