"Daily Weather Observations for Mount Ginini for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW2804.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,2.6,14.5,0.2,,,SSW,31,15:38,8.5,55,,SSW,11,,13.5,32,,SW,11,
,2024-10-2,3.4,12.0,0,,,E,31,00:05,4.5,99,,ENE,11,,10.5,67,,NNE,11,
,2024-10-3,1.0,13.6,0,,,NNE,26,15:40,8.0,74,,E,7,,12.0,49,,NNE,7,
,2024-10-4,4.2,12.3,0,,,W,46,22:37,8.1,75,,W,22,,12.3,65,,WNW,13,
,2024-10-5,2.9,8.2,16.6,,,SW,67,11:21,5.0,85,,SW,24,,7.9,65,,WSW,26,
,2024-10-6,2.2,6.1,0.4,,,SW,89,06:35,2.5,99,,SW,31,,4.5,95,,SW,28,
,2024-10-7,2.5,9.5,0,,,SW,83,19:49,5.5,89,,SW,26,,9.0,80,,SW,31,
,2024-10-8,0.9,8.0,0.2,,,SSW,72,00:23,2.4,89,,NNE,7,,6.2,79,,ENE,6,
,2024-10-9,-1.8,8.8,1.4,,,E,22,14:53,0.3,99,,ENE,9,,7.2,60,,ESE,7,
,2024-10-10,0.2,15.1,0,,,SSW,37,14:43,4.5,86,,WSW,17,,13.6,47,,SSW,17,
,2024-10-11,4.3,15.8,0,,,W,43,11:50,9.4,69,,WSW,13,,15.5,57,,WSW,17,
,2024-10-12,1.9,12.0,0,,,ESE,28,09:48,6.8,40,,SE,6,,10.9,35,,E,11,
,2024-10-13,-1.1,13.7,0,,,E,26,04:21,3.9,50,,NE,11,,12.3,36,,NW,11,
,2024-10-14,3.9,14.7,0,,,SSW,33,13:54,7.0,96,,WSW,13,,6.0,91,,SSW,22,
,2024-10-15,3.5,9.5,10.6,,,ESE,33,00:21,4.2,99,,E,9,,5.8,99,,ENE,11,
,2024-10-16,0.4,12.5,0,,,ENE,20,23:01,9.4,64,,S,7,,8.8,84,,NE,7,
,2024-10-17,5.0,16.1,10.0,,,NW,30,14:31,8.7,86,,W,9,,14.8,69,,NNW,9,
,2024-10-18,8.7,11.3,5.8,,,NW,78,11:50,10.0,99,,NNW,19,,11.2,99,,W,26,
,2024-10-19,6.8,15.3,30.4,,,SSW,44,22:32,8.7,99,,SSW,19,,13.8,68,,SW,7,
,2024-10-20,7.5,17.4,0,,,S,46,00:12,11.1,44,,SSE,15,,16.0,29,,SSE,13,
,2024-10-21,6.5,17.0,0,,,SSE,31,04:39,9.9,35,,ESE,7,,16.0,38,,SSW,9,
,2024-10-22,6.8,20.1,0,,,SSW,43,05:12,11.3,59,,SSW,22,,19.0,27,,SW,11,
,2024-10-23,11.2,15.9,0,,,WSW,59,18:31,12.5,59,,W,15,,13.0,63,,SW,15,
,2024-10-24,2.0,13.6,1.0,,,SW,59,01:39,5.6,65,,SW,11,,11.7,37,,WSW,15,
,2024-10-25,-1.5,11.4,0,,,S,52,04:50,1.9,69,,SSW,13,,10.7,36,,SW,9,
,2024-10-26,-1.0,12.2,0,,,WNW,26,13:30,4.2,57,,SSE,4,,11.8,44,,W,13,
,2024-10-27,3.0,15.7,0,,,SSW,37,14:22,7.5,52,,SSW,11,,14.0,44,,SW,13,
,2024-10-28,6.6,17.6,0,,,SW,52,10:08,11.1,55,,SW,15,,16.1,30,,SW,17,
,2024-10-29,4.2,17.8,0,,,W,30,14:05,9.0,56,,SSW,11,,17.3,41,,W,15,
,2024-10-30,7.0,19.2,0,,,SW,35,16:48,11.4,51,,WSW,15,,17.8,39,,WSW,17,
,2024-10-31,6.2,15.3,0,,,WSW,54,12:03,8.0,49,,SW,19,,13.3,41,,WSW,22,
