"Daily Weather Observations for Mount Ginini for November 2024"
"Prepared at 05:36 UTC on Wednesday 27 November 2024   IDCJDW2804.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,3.2,15.2,0,,,W,26,12:26,6.6,80,,NNE,7,,12.2,49,,WSW,9,
,2024-11-2,2.3,14.6,2.2,,,WNW,56,22:46,4.3,99,,NNE,11,,13.8,60,,NNW,15,
,2024-11-3,4.2,19.9,0,,,WSW,69,15:14,10.5,78,,W,35,,19.4,33,,WSW,24,
,2024-11-4,10.4,16.7,0,,,WSW,59,06:29,12.7,46,,SW,20,,15.5,50,,SW,19,
,2024-11-5,4.3,18.4,0,,,NNW,31,14:54,8.5,97,,NNW,9,,16.6,53,,WNW,11,
,2024-11-6,8.1,21.6,0,,,WNW,50,22:50,16.3,53,,SW,11,,19.1,47,,WSW,19,
,2024-11-7,11.5,15.4,1.2,,,WSW,65,03:08,13.6,75,,WSW,24,,13.2,64,,WSW,17,
,2024-11-8,3.1,11.8,0,,,SW,63,09:34,5.2,90,,SW,24,,11.4,51,,WSW,28,
,2024-11-9,2.4,16.1,0,,,SSW,46,20:41,6.2,80,,N,9,,14.5,50,,WSW,15,
,2024-11-10,5.2,18.4,0,,,SW,48,00:09,10.5,49,,SW,9,,16.5,40,,WSW,9,
,2024-11-11,4.3,15.5,0,,,ENE,26,02:07,9.2,76,,NNE,4,,13.6,64,,WNW,11,
,2024-11-12,6.8,20.2,0,,,NE,30,14:24,11.6,69,,E,6,,14.9,52,,ENE,9,
,2024-11-13,7.6,14.5,0.2,,,WSW,37,10:17,11.1,92,,NW,11,,11.5,84,,SW,15,
,2024-11-14,5.3,17.1,1.4,,,NW,30,11:59,9.8,84,,N,2,,13.8,57,,W,9,
,2024-11-15,5.6,17.4,0,,,NW,31,15:56,6.6,99,,NE,11,,15.6,56,,NW,15,
,2024-11-16,6.6,20.8,0,,,NE,37,22:13,9.2,99,,NNE,13,,19.9,47,,WNW,11,
,2024-11-17,9.0,12.5,0,,,WNW,78,14:34,11.8,99,,NW,26,,11.8,99,,WNW,35,
,2024-11-18,2.2,13.6,27.2,,,SSW,52,02:44,6.4,68,,SW,19,,13.2,52,,SW,13,
,2024-11-19,3.6,18.0,0,,,ENE,30,00:40,7.8,90,,NNE,7,,15.4,49,,WNW,9,
,2024-11-20,4.3,19.0,0,,,WNW,28,06:01,8.4,99,,W,15,,17.1,48,,WSW,9,
,2024-11-21,7.7,18.6,0,,,NW,28,13:05,10.4,99,,WNW,7,,17.2,60,,W,9,
,2024-11-22,9.8,21.1,0,,,WSW,30,05:39,15.1,63,,SW,13,,17.6,53,,SSW,9,
,2024-11-23,11.4,22.9,0,,,WNW,31,12:08,16.4,61,,WSW,11,,22.4,41,,W,11,
,2024-11-24,13.9,22.9,0,,,WNW,35,12:28,16.8,61,,W,11,,21.7,49,,W,11,
,2024-11-25,11.1,23.6,0,,,NW,48,06:33,16.4,61,,NW,22,,21.9,41,,NW,22,
,2024-11-26,14.1,19.7,0,,,W,46,12:21,17.1,68,,WNW,19,,15.4,77,,WNW,17,
,2024-11-27,11.9,,0.6,,,,,,13.5,90,,WNW,19,,12.6,99,,W,31,
