"Daily Weather Observations for Mount Ginini for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW2804.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,8.7,22.0,0,,,ENE,33,18:52,16.3,60,,NE,6,,20.3,59,,ENE,15,
,2025-02-2,9.2,24.3,0,,,ENE,37,21:05,19.7,22,,SE,4,,23.2,48,,E,13,
,2025-02-3,12.8,24.8,0,,,ENE,30,19:42,16.9,40,,NE,7,,23.9,35,,NE,7,
,2025-02-4,13.2,25.4,0,,,SSW,39,21:18,17.3,70,,WSW,13,,24.9,44,,WSW,11,
,2025-02-5,14.2,25.1,0.2,,,SSW,41,19:57,17.7,62,,W,7,,23.6,48,,WSW,9,
,2025-02-6,9.9,25.0,37.4,,,N,26,07:28,16.4,62,,NNW,11,,22.4,49,,W,9,
,2025-02-7,13.6,25.0,0.2,,,SSW,56,18:28,17.6,51,,W,15,,24.6,48,,WSW,11,
,2025-02-8,11.6,20.2,9.6,,,WNW,41,02:57,15.8,68,,WSW,13,,17.2,77,,SW,11,
,2025-02-9,10.0,18.8,0.2,,,ESE,35,20:50,12.5,94,,E,7,,11.4,92,,E,9,
,2025-02-10,8.5,17.3,25.4,,,SSW,48,18:32,9.8,84,,W,6,,14.5,75,,ENE,13,
,2025-02-11,8.0,17.2,6.2,,,SW,24,11:55,12.4,69,,SW,7,,16.8,65,,SSW,7,
,2025-02-12,9.0,18.8,1.6,,,ENE,33,18:56,13.4,77,,ENE,7,,16.6,73,,E,11,
,2025-02-13,10.1,21.2,0,,,ENE,46,05:41,11.6,99,,NE,20,,19.9,71,,NNW,15,
,2025-02-14,11.6,15.2,17.6,,,NW,70,15:16,12.4,89,,N,11,,14.2,95,,N,11,
,2025-02-15,5.7,12.1,18.4,,,SW,61,08:34,7.4,89,,SW,22,,11.0,53,,WSW,20,
,2025-02-16,-3.1,11.1,0.2,,,S,46,07:03,1.2,64,,S,19,,9.9,48,,SSW,9,
,2025-02-17,1.2,15.7,0,,,SSW,28,00:51,5.1,63,,SE,2,,15.6,52,,N,6,
,2025-02-18,4.6,17.9,0,,,SSW,33,13:02,10.2,53,,SW,15,,16.6,38,,SW,13,
,2025-02-19,4.3,18.5,0,,,W,31,11:55,11.2,52,,W,6,,18.0,52,,W,11,
,2025-02-20,6.6,16.5,0,,,E,26,16:29,7.4,99,,ENE,13,,15.3,68,,ENE,11,
,2025-02-21,3.9,19.3,0,,,NE,28,19:40,8.1,98,,ENE,11,,19.0,53,,NW,6,
,2025-02-22,8.1,22.6,0,,,NNW,26,15:25,15.2,65,,NW,4,,20.6,52,,WNW,11,
,2025-02-23,12.3,20.4,0,,,WSW,54,09:37,14.2,76,,W,20,,18.5,65,,W,13,
,2025-02-24,11.8,21.9,3.2,,,WNW,48,00:50,15.0,81,,W,15,,21.3,48,,WSW,15,
,2025-02-25,8.1,19.3,0.2,,,ESE,28,01:32,10.7,83,,ESE,7,,17.8,67,,ENE,9,
,2025-02-26,9.3,23.6,0,,,W,37,11:02,14.3,65,,W,13,,22.6,51,,W,17,
,2025-02-27,14.3,25.3,0,,,W,35,15:55,18.7,64,,NNE,6,,22.2,51,,NW,9,
,2025-02-28,14.0,23.1,0,,,SW,56,09:19,14.9,55,,SW,19,,20.5,45,,WSW,15,
