"Daily Weather Observations for Mount Ginini for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW2804.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Mount Ginini AWS {station 070349}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,-2.2,2.3,0,,,S,85,20:20,-0.4,95,,SE,19,,0.3,93,,S,33,
,2025-07-2,-0.5,2.8,1.8,,,S,89,05:44,2.3,94,,S,43,,2.0,98,,SSW,35,
,2025-07-3,-0.5,2.8,1.2,,,S,50,19:48,-0.4,97,,S,19,,1.7,91,,S,20,
,2025-07-4,-1.3,5.9,0,,,S,31,00:34,0.9,70,,SW,11,,5.5,66,,W,7,
,2025-07-5,0.1,6.4,0,,,NW,50,16:45,3.8,51,,WNW,15,,2.1,73,,WNW,19,
,2025-07-6,1.9,7.0,0,,,NW,41,05:14,5.5,82,,N,11,,2.5,94,,SE,6,
,2025-07-7,-0.9,5.7,10.6,,,SSW,39,08:48,0.1,99,,SSW,22,,5.3,79,,W,7,
,2025-07-8,-1.4,0.4,6.8,,,,,,-0.3,99,,WSW,19,,-0.2,99,,W,26,
,2025-07-9,,,,,,,,,,,,,,,-2.3,96,,W,24,
,2025-07-10,,-0.9,4.4,,,SW,70,14:27,-2.9,97,,WSW,19,,-2.7,97,,SW,26,
,2025-07-11,-3.8,,0,,,,,,-1.2,98,,SW,20,,-0.1,99,,SW,24,
,2025-07-12,-2.5,2.4,11.4,,,SW,57,01:38,-1.9,92,,SSW,22,,1.7,73,,WSW,13,
,2025-07-13,-1.9,1.5,0,,,SW,63,15:37,0.3,74,,SW,19,,-0.6,98,,SW,28,
,2025-07-14,-4.5,0.4,0.6,,,,,,-3.8,91,, ,Calm,,0.1,78,,,,
,2025-07-15,-4.8,-1.5,4.6,,,,,,-3.6,96,,,,,-2.2,91,,,,
,2025-07-16,-5.0,1.7,0,,,,,,-3.9,94,,,,,0.7,78,,,,
,2025-07-17,-3.9,0.8,0.6,,,,,,-1.8,98,,,,,0.0,86,,,,
,2025-07-18,-2.4,3.6,0,,,,,,0.3,76,,,,,3.2,72,,,,
,2025-07-19,-2.7,2.2,0,,,,,,-2.0,94,,,,,1.9,73,,,,
,2025-07-20,-3.1,4.5,0.4,,,,,,-0.3,83,,,,,2.7,69,,,,
,2025-07-21,-1.2,3.9,0,,,,,,0.9,99,,,,,3.2,82,,,,
,2025-07-22,0.2,3.4,0.2,,,,,,2.7,99,,,,,3.1,99,,,,
,2025-07-23,-3.6,-0.6,18.2,,,,,,-2.9,97,,,,,-2.1,92,,,,
,2025-07-24,-5.0,-0.2,0.6,,,,,,-3.9,95,,,,,-1.8,95,,,,
,2025-07-25,-3.9,1.8,1.4,,,,,,-1.0,66,,,,,0.5,57,,,,
,2025-07-26,-1.9,1.0,6.8,,,,,,0.8,99,,,,,0.8,99,,,,
,2025-07-27,-0.6,0.4,23.8,,,,,,-0.5,99,,,,,0.0,99,,,,
,2025-07-28,-1.1,0.3,13.0,,,,,,-0.2,99,,,,,0.2,99,,,,
,2025-07-29,-2.1,-0.2,9.8,,,,,,-1.7,98,,,,,-0.4,98,,,,
,2025-07-30,-3.6,-0.9,2.0,,,,,,-3.2,97,,,,,-1.3,97,,,,
,2025-07-31,-3.6,0.5,0,,,,,,-2.0,97,,,,,-0.4,83,,,,
