"Daily Weather Observations for Ballarat, Victoria for November 2023"
"Prepared at 13:01 UTC on Tuesday 12 November 2024   IDCJDW3005.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,5.2,15.5,0,,,S,41,15:23,9.4,70,8,SSE,24,1024.5,14.7,58,1,SSE,22,1023.8
,2023-11-2,6.8,17.4,0,,,SSE,46,21:46,9.4,75,5,SSE,31,1023.2,16.9,55,,S,22,1020.9
,2023-11-3,7.8,17.3,0,,,SE,54,05:51,9.5,79,8,SE,37,1021.8,16.3,54,,SSE,28,1020.5
,2023-11-4,6.8,18.3,0,,,SE,54,19:57,9.0,66,4,SSE,39,1023.1,17.5,48,,SE,30,1021.9
,2023-11-5,8.8,22.9,0,,,SE,56,01:57,12.1,79,8,ESE,20,1025.1,21.9,53,1,NNE,11,1022.3
,2023-11-6,10.2,25.4,0,,,NNE,44,07:57,16.1,64,,NNE,31,1021.4,23.8,45,4,N,30,1017.9
,2023-11-7,16.0,28.6,0,,,N,48,08:45,20.8,49,,NNE,31,1016.3,27.0,31,8,NNW,15,1013.7
,2023-11-8,13.3,27.0,4.2,,,N,43,07:43,19.1,63,,N,30,1015.0,25.8,38,8,W,24,1012.7
,2023-11-9,10.9,24.8,0.2,,,SSE,30,18:27,14.6,81,,S,11,1015.1,23.0,37,,W,13,1012.6
,2023-11-10,10.1,31.1,0,,,NNE,46,22:38,19.6,71,,N,22,1014.4,28.9,22,,N,20,1012.2
,2023-11-11,13.1,19.8,0,,,NNE,50,23:10,13.3,87,8,SW,19,1014.9,18.7,46,,S,24,1016.8
,2023-11-12,4.6,17.1,0,,,SSW,50,11:47,10.0,68,6,SSW,17,1019.6,16.1,46,,SW,26,1020.6
,2023-11-13,6.8,21.0,0,,,SE,39,08:13,10.3,75,7,SSE,24,1020.6,19.8,41,,SSW,20,1018.0
,2023-11-14,8.4,16.5,0.6,,,SSE,35,03:35,8.8,90,7,S,17,1017.3,14.1,60,6,S,13,1016.3
,2023-11-15,6.8,20.5,1.2,,,S,30,15:29,11.6,72,1,SE,13,1014.7,19.9,43,,SSW,15,1013.1
,2023-11-16,8.2,16.7,0.2,,,S,44,14:10,10.4,79,8,S,22,1014.3,15.1,57,6,SSW,26,1014.9
,2023-11-17,5.8,17.7,0,,,S,50,13:27,9.6,67,7,SSE,30,1020.9,15.6,54,,SSE,22,1020.3
,2023-11-18,7.8,23.6,0,,,SW,35,15:04,12.8,70,,SE,20,1020.2,22.0,35,,SSE,19,1017.8
,2023-11-19,5.8,26.2,0,,,SSE,35,15:50,15.7,61,, ,Calm,1018.2,24.5,26,,SSW,15,1017.0
,2023-11-20,10.9,21.7,0,,,SE,37,05:14,14.0,82,7,SE,24,1019.7,21.2,53,4,SE,22,1017.9
,2023-11-21,10.8,23.7,0,,,SE,54,20:07,14.7,77,6,SE,19,1019.9,22.4,43,,S,19,1019.0
,2023-11-22,10.2,22.4,0,,,SE,54,02:16,13.3,69,7,SE,31,1024.8,21.7,44,,SSE,28,1022.6
,2023-11-23,11.0,25.3,0,,,SE,50,01:22,16.2,72,1,ESE,33,1024.4,23.3,54,1,ESE,24,1021.8
,2023-11-24,15.2,24.2,0,,,NNE,61,08:48,20.9,54,8,NNE,39,1017.0,17.6,92,8,NNE,24,1015.0
,2023-11-25,14.0,19.9,9.8,,,N,43,09:15,15.9,93,6,N,22,1010.6,16.5,78,8,NNW,28,1008.7
,2023-11-26,11.7,16.8,5.0,,,SSW,39,17:43,12.5,95,8,SSW,13,1012.6,14.9,85,8,SW,20,1013.3
,2023-11-27,10.0,18.5,0.2,,,SE,35,15:47,11.2,93,8,S,19,1015.2,16.8,69,8,S,19,1013.9
,2023-11-28,9.7,24.2,0,,,SE,41,22:53,13.6,83,8,SE,24,1012.8,22.7,45,5,S,15,1009.3
,2023-11-29,13.6,15.5,0.2,,,SE,65,15:49,14.3,94,8,SSE,31,1006.6,14.8,92,8,SE,41,1006.3
,2023-11-30,11.4,14.9,8.6,,,SE,65,07:31,12.4,93,8,SE,37,1010.9,13.9,80,7,SE,35,1011.0
