"Daily Weather Observations for Ballarat, Victoria for February 2024"
"Prepared at 13:01 UTC on Saturday  9 November 2024   IDCJDW3005.202402"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-02-1,9.7,24.1,0,,,SW,44,14:34,13.3,84,8,SW,15,1016.4,22.9,46,,SSW,24,1013.7
,2024-02-2,12.1,22.9,0.2,,,SSW,43,14:45,13.7,75,1,SW,22,1014.0,21.5,42,,SSW,24,1013.2
,2024-02-3,6.9,32.1,0.2,,,W,39,15:07,19.6,30,,N,9,1011.3,30.6,17,,W,17,1008.5
,2024-02-4,12.5,36.3,0,,,NNW,74,12:41,25.3,38,,N,19,1005.7,34.6,18,,NNW,41,1000.6
,2024-02-5,15.1,20.6,0.2,,,SW,39,05:48,15.4,89,8,S,17,1007.1,19.4,60,8,S,22,1008.7
,2024-02-6,7.3,21.2,0,,,S,46,12:24,13.2,71,,S,24,1017.1,19.7,40,1,S,28,1018.2
,2024-02-7,7.9,21.9,0,,,SSE,44,13:10,13.7,81,,SSE,20,1023.0,20.1,45,3,SE,30,1023.0
,2024-02-8,11.7,26.6,0,,,ESE,50,07:57,15.2,71,,ESE,33,1024.7,24.6,42,,ESE,19,1022.4
,2024-02-9,11.9,23.6,0,,,SSE,48,20:32,14.7,80,8,SSE,30,1024.9,22.4,45,,SE,24,1023.8
,2024-02-10,11.0,26.5,0,,,SSE,50,23:17,13.3,78,6,SE,28,1024.6,25.6,46,,SE,19,1021.4
,2024-02-11,13.1,31.3,0,,,N,48,09:38,21.1,60,,N,31,1020.1,29.2,39,,N,22,1017.1
,2024-02-12,14.0,,0,,,NNW,54,12:08,24.3,48,,N,24,1015.6,34.1,22,1,NNW,26,1012.5
,2024-02-13,19.1,35.3,0,,,NW,83,12:09,25.8,47,,N,37,1008.4,31.6,38,4,NNW,44,1001.6
,2024-02-14,7.9,19.8,1.4,,,SSE,46,12:48,11.4,77,4,SSW,13,1016.4,18.2,41,1,S,20,1017.1
,2024-02-15,5.9,23.7,0,,,ESE,41,21:49,12.4,69,,SE,19,1020.7,22.8,33,,SE,17,1019.9
,2024-02-16,11.1,25.4,0,,,ESE,39,06:51,14.6,72,,ESE,28,1021.2,24.0,40,,SE,20,1019.6
,2024-02-17,11.9,28.4,0,,,SE,33,04:48,16.5,77,,SE,24,1021.2,27.5,30,,SSE,20,1019.6
,2024-02-18,12.1,27.5,0,,,SSE,39,16:30,15.7,77,,SE,24,1020.2,26.1,38,,SSE,20,1019.1
,2024-02-19,12.2,26.0,0,,,SE,46,07:36,14.7,75,,SE,31,1019.4,24.2,43,,SE,24,1018.4
,2024-02-20,13.2,29.3,0,,,N,41,09:53,17.2,80,5, ,Calm,1015.4,28.5,32,8,NW,13,1014.4
,2024-02-21,17.2,31.9,0,,,N,54,09:21,21.1,66,,NNE,26,1015.1,30.7,32,2,N,30,1012.5
,2024-02-22,20.9,35.5,0,,,N,67,13:42,24.3,47,,N,33,1009.7,33.5,27,1,NNW,39,1004.0
,2024-02-23,12.6,18.3,0,,,SW,46,13:45,13.5,73,8,SSW,20,1010.4,18.0,44,6,SW,28,1013.0
,2024-02-24,10.4,23.2,0,,,S,43,08:01,12.9,69,8,SSE,28,1019.0,22.2,41,,SSE,20,1018.0
,2024-02-25,6.3,28.1,0,,,S,39,19:20,16.6,66,,N,7,1015.5,26.8,26,8,NW,11,1013.6
,2024-02-26,11.6,22.0,0,,,SE,46,22:54,12.0,94,8,SSE,28,1017.5,19.8,44,2,SE,26,1017.5
,2024-02-27,10.6,30.5,0.2,,,SE,46,23:18,16.0,69,,SE,15,1014.3,29.0,18,1,NW,17,1012.8
,2024-02-28,15.9,35.2,0,,,N,76,16:14,25.5,35,7,NNE,22,1011.8,32.5,28,1,N,39,1008.7
,2024-02-29,13.1,26.3,0,,,SSW,30,08:28,14.2,91,8,SW,17,1013.8,25.6,38,,WSW,17,1014.1
