"Daily Weather Observations for Ballarat, Victoria for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW3005.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,9.3,23.5,0,,,S,46,13:50,13.5,71,1,SSW,17,1016.4,22.4,41,,S,26,1015.7
,2025-01-2,7.4,22.1,0,,,SSE,50,10:35,13.8,61,4,SSE,33,1021.2,21.2,35,,SE,31,1020.3
,2025-01-3,10.1,31.1,0,,,ESE,56,03:03,17.3,54,,E,19,1018.0,29.2,21,,NNW,20,1014.6
,2025-01-4,13.7,35.8,0,,,NW,50,16:05,27.2,17,,N,22,1012.8,34.2,12,3,WNW,20,1010.5
,2025-01-5,18.8,38.0,0,,,WNW,69,15:36,27.2,23,7,N,19,1012.5,35.8,12,8,N,31,1009.8
,2025-01-6,12.8,16.9,15.4,,,SSE,43,17:39,12.9,96,8,SSW,15,1017.0,13.2,92,8,S,30,1018.3
,2025-01-7,8.2,22.8,6.4,,,SE,63,21:43,12.6,90,8,SSE,28,1021.9,21.4,48,,SE,35,1020.5
,2025-01-8,10.3,29.7,0,,,ESE,57,23:01,20.0,58,,N,31,1019.0,27.3,29,,N,13,1015.8
,2025-01-9,16.6,26.5,0,,,N,44,09:10,20.1,49,,NNE,28,1015.4,24.0,40,8,NW,19,1015.3
,2025-01-10,19.5,31.6,0,,,SSE,37,15:57,23.4,39,7,SSE,15,1015.4,30.1,17,5,SSW,13,1013.2
,2025-01-11,13.1,33.3,0,,,N,46,09:15,23.2,58,,N,30,1011.8,31.4,27,7,W,20,1008.3
,2025-01-12,16.3,25.2,0,,,NNE,35,06:37,20.9,69,8,N,19,1008.5,17.6,90,8,E,17,1007.6
,2025-01-13,14.1,30.4,11.0,,,SE,37,22:13,18.1,84,,SE,15,1007.7,28.7,39,,WSW,17,1005.7
,2025-01-14,14.1,31.2,0,,,ESE,41,17:30,19.7,67,,SE,17,1007.9,29.8,23,,SSE,11,1005.5
,2025-01-15,19.6,24.2,0,,,SW,57,16:31,20.5,57,8,WSW,13,999.0,22.8,50,8,SW,31,999.3
,2025-01-16,7.4,21.4,0,,,S,44,09:57,14.0,66,8,SSW,22,1010.0,18.6,49,8,S,24,1012.0
,2025-01-17,12.1,23.7,0,,,SE,56,22:21,16.7,77,8,SSE,26,1018.1,22.7,36,,SE,35,1018.6
,2025-01-18,13.0,31.5,0,,,SE,50,23:45,16.5,69,,ESE,24,1020.7,28.3,22,,NNW,11,1018.4
,2025-01-19,12.0,33.0,0,,,N,41,10:51,22.8,49,,NNE,28,1018.6,31.6,26,,NE,13,1015.3
,2025-01-20,15.8,34.0,0,,,ESE,43,17:17,25.4,33,8,NE,11,1012.0,31.0,28,8,NNW,7,1008.5
,2025-01-21,15.8,35.4,0,,,SSW,46,16:52,24.4,52,,SE,13,1007.8,34.6,25,,W,19,1004.7
,2025-01-22,12.8,23.4,0,,,SSE,57,09:22,14.0,72,8,SSE,31,1011.2,21.9,45,8,SE,37,1011.9
,2025-01-23,10.1,20.0,0,,,SE,46,23:46,14.1,70,8,SE,26,1009.1,17.5,57,7,S,24,1008.0
,2025-01-24,8.8,23.7,0,,,S,43,09:30,14.2,65,6,S,24,1011.8,22.1,39,2,S,26,1011.4
,2025-01-25,11.2,27.1,0,,,S,41,17:32,15.1,75,8,S,15,1013.8,26.2,38,,WSW,19,1012.7
,2025-01-26,13.4,27.0,0,,,SSE,48,07:28,15.8,77,8,SE,35,1014.2,24.4,46,,ESE,20,1011.3
,2025-01-27,14.5,39.0,0,,,NW,78,15:51,25.0,42,1,N,31,1007.0,36.2,18,1,NW,46,1003.0
,2025-01-28,12.1,23.4,0,,,S,52,15:36,15.5,63,7,S,30,1013.8,22.0,38,,S,26,1015.9
,2025-01-29,9.4,23.1,0,,,SSE,50,05:52,13.5,58,,SSE,31,1017.4,21.5,34,,SE,28,1015.5
,2025-01-30,8.7,23.7,0,,,SSE,48,08:22,13.5,62,,SSE,33,1014.6,22.4,36,,SSE,26,1014.4
,2025-01-31,10.0,26.2,0,,,SE,50,22:54,15.1,72,1,SE,30,1017.7,25.4,35,,ESE,22,1016.8
