"Daily Weather Observations for Ballarat, Victoria for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW3005.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,2.3,10.6,0,,,S,44,11:42,6.2,96,8,SSW,17,1026.3,10.0,82,8,SSE,24,1023.9
,2025-07-2,1.9,11.3,0.4,,,S,46,12:36,5.8,92,,S,13,1020.4,9.7,69,8,S,30,1018.7
,2025-07-3,3.5,12.8,0.2,,,SSE,24,12:19,6.3,94,8,S,7,1019.5,12.0,66,1,SE,15,1017.3
,2025-07-4,0.6,11.5,0,,,NNE,50,23:58,6.4,93,,NNE,15,1019.8,9.7,65,8,N,30,1017.3
,2025-07-5,6.3,13.9,0,,,NNE,54,12:34,7.8,76,7,NNE,31,1018.3,13.4,53,,NNE,35,1015.4
,2025-07-6,7.8,14.2,0,,,NNE,39,00:12,9.3,78,8,N,13,1016.1,13.4,57,6,NNE,15,1014.6
,2025-07-7,0.5,14.5,0.4,,,N,46,23:49,4.5,98,8,E,7,1018.8,13.8,59,1,N,20,1015.3
,2025-07-8,4.5,9.6,0,,,N,74,09:30,7.4,84,8,NNE,46,1001.1,9.2,82,8,NNW,37,998.9
,2025-07-9,3.3,8.8,3.6,,,NNE,63,17:42,4.1,98,8,N,28,1005.7,7.8,85,8,N,41,1000.2
,2025-07-10,4.1,8.2,4.2,,,W,57,12:26,5.0,93,8,W,24,1002.4,6.8,85,8,W,28,1007.5
,2025-07-11,4.8,11.8,2.4,,,WNW,46,12:18,7.7,97,8,N,19,1017.4,10.8,89,8,W,28,1018.7
,2025-07-12,1.7,13.5,0.6,,,N,39,23:23,6.4,95,7,N,7,1026.3,13.5,77,8,NNW,24,1024.5
,2025-07-13,5.8,11.2,0,,,W,59,18:21,6.1,94,5,N,35,1015.8,10.8,67,8,NNW,37,1008.3
,2025-07-14,2.1,10.5,4.0,,,NW,30,13:39,5.1,95,7,NW,13,1015.4,9.2,66,8,NNW,19,1012.3
,2025-07-15,4.2,10.8,2.0,,,WNW,30,14:15,5.7,93,8,NW,15,1011.8,10.2,67,8,WNW,20,1012.1
,2025-07-16,3.5,11.0,0,,,NNE,39,21:44,6.4,97,8,N,19,1017.3,10.2,88,8,N,20,1016.7
,2025-07-17,5.1,11.7,0.8,,,NNE,37,00:44,5.8,95,8,N,22,1016.7,10.5,79,8,W,17,1016.9
,2025-07-18,-0.7,12.3,0.6,,,N,35,23:43,5.9,91,1,NNE,7,1021.2,11.6,62,2,NNW,13,1018.6
,2025-07-19,2.3,9.6,0,,,N,56,10:57,2.9,90,3,N,35,1014.4,9.1,77,8,N,33,1013.8
,2025-07-20,-1.3,10.7,0.6,,,N,31,14:07,3.6,96,, ,Calm,1023.3,9.6,65,,N,22,1021.7
,2025-07-21,2.2,11.8,0,,,N,59,15:11,6.8,81,7,NNE,22,1019.9,11.5,55,4,NNE,41,1013.9
,2025-07-22,6.7,10.3,3.8,,,NNE,91,09:51,7.9,92,8,NNE,48,1003.8,9.4,83,8,N,46,1000.0
,2025-07-23,1.8,9.4,9.6,,,WNW,44,15:44,4.1,91,,N,20,1012.8,8.4,70,8,W,26,1014.0
,2025-07-24,-0.5,11.5,0,,,NNE,35,22:14,4.5,96,,NNE,11,1022.0,10.2,71,1,N,19,1020.1
,2025-07-25,4.5,7.5,0,,,NE,83,19:19,6.4,77,8,NNE,39,1016.7,6.4,77,7,NNE,41,1009.7
,2025-07-26,5.0,8.4,20.6,,,NE,57,00:13,6.9,95,7,NNE,35,998.0,8.2,96,7,N,31,996.5
,2025-07-27,5.7,9.5,8.8,,,WNW,41,17:07,6.6,98,8,N,17,1000.3,9.0,93,8,NW,20,999.2
,2025-07-28,6.4,11.5,12.0,,,WSW,44,11:59,8.3,94,8,WSW,19,1008.3,10.0,68,3,W,26,1009.6
,2025-07-29,4.0,10.3,1.2,,,SSE,26,21:42,5.5,98,8,S,7,1016.6,10.0,68,2,SSE,9,1014.8
,2025-07-30,1.9,10.7,0.4,,,SSE,41,12:48,4.7,98,8,S,15,1019.1,9.4,67,7,SSE,30,1019.2
,2025-07-31,3.7,11.9,0,,,SE,46,05:21,7.5,81,1,SSE,28,1026.4,11.4,54,6,SE,24,1025.5
