"Daily Weather Observations for Ballarat, Victoria for August 2025"
"Prepared at 13:01 UTC on Monday  1 September 2025   IDCJDW3005.202508"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Ballarat Aerodrome {station 089002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-08-1,-0.1,11.1,0.2,,,SE,33,20:18,4.3,97,5,SSE,13,1027.4,9.6,66,5,SE,20,1025.4
,2025-08-2,4.1,12.8,0,,,SE,35,00:39,7.1,88,,SE,22,1027.0,11.9,64,,SSW,13,1025.5
,2025-08-3,-1.3,14.7,0.2,,,N,31,12:48,8.2,73,,NNE,9,1026.2,14.3,48,,N,24,1023.7
,2025-08-4,5.9,14.5,0.2,,,NNE,78,15:58,8.4,80,3,N,30,1018.6,13.2,67,8,NNE,48,1011.9
,2025-08-5,5.0,12.9,6.2,,,NNW,44,03:24,7.3,89,2,N,20,1015.2,12.0,66,8,NNW,24,1015.8
,2025-08-6,5.4,10.8,0.8,,,WSW,39,11:27,7.7,95,8,NW,13,1021.5,9.1,73,8,SW,13,1023.8
,2025-08-7,-0.2,9.4,0.4,,,S,31,14:20,5.1,85,, ,Calm,1030.9,9.0,63,8,SSW,20,1030.7
,2025-08-8,4.4,12.3,0.2,,,SE,44,10:04,7.8,86,6,SE,22,1033.8,11.7,63,,ESE,26,1032.5
,2025-08-9,0.6,14.9,0,,,ESE,35,00:10,7.2,88,,NE,7,1034.3,14.6,46,,NW,6,1031.4
,2025-08-10,0.0,14.9,0,,,N,30,12:07,8.6,80,,ENE,6,1030.9,14.3,54,,N,15,1027.9
,2025-08-11,0.7,14.5,0,,,NNE,43,10:50,9.4,78,,NNE,15,1028.2,13.9,55,,NNE,20,1025.0
,2025-08-12,6.8,10.2,0.2,,,NNE,41,09:36,8.4,78,8,N,19,1024.5,8.1,93,8,N,22,1022.6
,2025-08-13,2.2,12.3,6.4,,,S,35,15:01,6.7,98,8,SW,9,1029.1,12.3,62,3,SSW,19,1028.5
,2025-08-14,0.4,15.0,0,,,,,,5.5,97,1, ,Calm,1028.5,14.6,54,,N,26,1024.4
,2025-08-15,5.4,11.4,0,,,NNE,56,10:14,6.2,84,8,N,41,1015.2,10.7,80,5,NNW,24,1012.2
,2025-08-16,1.4,8.6,4.4,,,WSW,41,13:15,4.2,93,7,WSW,11,1016.0,6.4,79,8,WSW,22,1015.9
,2025-08-17,0.4,9.0,0.8,,,NNE,31,11:35,5.7,95,8,NNE,20,1017.7,7.7,86,8,NE,15,1018.8
,2025-08-18,1.8,9.0,1.4,,,SE,37,11:17,5.4,90,7,S,15,1029.8,6.9,87,8,S,22,1030.2
,2025-08-19,-1.0,12.7,0,,,NNE,39,13:33,6.6,68,,ESE,19,1032.6,11.9,50,,N,26,1030.3
,2025-08-20,0.5,15.8,0,,,NNE,26,10:31,8.9,68,,NNE,9,1032.2,15.1,45,,NNW,15,1029.3
,2025-08-21,1.0,17.4,0.2,,,N,28,13:03,11.0,61,,N,7,1029.0,16.9,47,1,NNW,19,1024.6
,2025-08-22,7.7,14.3,0,,,N,39,16:32,10.1,88,8,N,20,1022.6,12.9,71,8,N,22,1020.0
,2025-08-23,2.8,13.4,0.2,,,S,31,13:23,8.6,95,8,S,13,1024.6,12.1,55,6,SSW,13,1024.1
,2025-08-24,0.5,14.1,0.2,,,SE,35,09:18,7.1,81,1,SSE,17,1026.5,13.8,50,,SE,17,1023.6
,2025-08-25,1.1,14.9,0,,,NNE,50,23:51,8.5,77,7,NNE,24,1020.4,13.0,58,8,N,30,1016.9
,2025-08-26,8.3,10.2,1.2,,,NNE,69,11:15,9.7,86,8,NNE,37,1008.3,8.1,95,8,N,28,1002.6
,2025-08-27,6.9,11.7,14.0,,,W,74,13:34,9.3,84,8,NW,35,997.1,8.5,84,8,W,28,998.7
,2025-08-28,5.2,11.7,5.6,,,W,56,16:14,7.4,81,8,WNW,31,1003.2,10.5,69,1,WNW,31,1003.2
,2025-08-29,5.4,9.5,2.2,,,NNW,87,12:36,7.2,95,8,N,33,1000.0,8.3,75,8,NW,41,995.5
,2025-08-30,2.6,9.5,21.8,,,SW,69,00:38,4.7,81,8,SW,31,1019.2,8.5,67,8,SSW,17,1023.7
,2025-08-31,4.6,13.1,0.8,,,WNW,41,12:14,8.1,96,7,WNW,20,1027.4,11.9,68,8,WNW,22,1024.8
