"Daily Weather Observations for Bendigo, Victoria for December 2023"
"Prepared at 13:01 UTC on Monday 11 November 2024   IDCJDW3008.202312"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-12-1,14.2,25.1,0,,,SSE,37,23:49,17.2,71,8,SE,17,1008.4,24.0,45,8,SSW,15,1005.4
,2023-12-2,14.8,21.3,0,,,S,43,15:17,19.4,64,5,S,17,1008.7,20.8,55,8,S,22,1009.9
,2023-12-3,12.0,25.7,0,,,SSE,30,23:14,17.5,64,,S,17,1015.1,24.4,40,,SSE,15,1013.0
,2023-12-4,11.1,33.2,0,,,NNW,39,16:16,20.5,59,,NNE,13,1015.9,31.4,18,,NW,19,1012.9
,2023-12-5,15.5,35.7,0,,,W,48,14:48,23.9,38,5,SSE,11,1013.2,34.6,15,4,WNW,24,1010.8
,2023-12-6,12.4,30.7,0,,,WSW,30,15:35,18.0,60,,SSE,11,1018.1,28.8,12,5,WSW,11,1015.8
,2023-12-7,15.4,26.1,0,,,WNW,35,13:12,16.1,63,8,SSE,13,1017.2,24.6,36,7,WNW,17,1016.4
,2023-12-8,16.1,33.4,2.8,,,W,61,20:09,20.0,68,8,ESE,7,1013.0,30.7,43,8,NNE,24,1007.9
,2023-12-9,18.7,24.7,0.2,,,SSE,48,21:35,19.1,79,8,S,11,1010.9,20.7,68,8,S,22,1013.8
,2023-12-10,13.4,27.8,1.8,,,SSE,50,16:55,18.3,63,,SSE,22,1015.7,24.7,50,8,SSE,22,1013.5
,2023-12-11,18.2,26.9,0.8,,,SSE,43,00:24,20.9,71,8,SSE,22,1015.3,24.9,61,8,SSE,22,1015.3
,2023-12-12,20.2,36.8,1.0,,,NE,39,13:02,26.9,55,,ENE,15,1015.4,36.1,23,7,NNE,22,1011.2
,2023-12-13,22.6,33.9,0,,,NW,57,17:08,25.2,61,,E,9,1008.1,31.7,35,4,N,26,1004.3
,2023-12-14,14.9,27.3,1.2,,,WNW,44,13:35,19.2,55,3,WSW,19,1007.1,24.1,38,3,WNW,22,1007.0
,2023-12-15,11.9,26.9,0,,,WNW,41,12:41,21.7,31,,N,13,1010.1,25.1,23,,WSW,20,1007.7
,2023-12-16,7.8,24.5,0,,,WSW,41,14:12,15.7,53,,W,15,1009.7,21.9,29,,WSW,20,1008.4
,2023-12-17,9.5,28.9,0,,,WNW,31,14:18,17.6,48,,SSE,7,1014.8,27.3,19,,WSW,17,1012.3
,2023-12-18,15.5,30.5,0,,,SW,46,20:25,22.2,41,8,NE,11,1012.1,27.8,27,,NE,15,1008.0
,2023-12-19,15.5,20.8,0.4,,,SSE,57,12:10,15.5,84,8,SSW,15,1013.3,17.5,61,,S,28,1013.2
,2023-12-20,10.1,23.8,1.2,,,SSE,57,06:43,16.7,40,,S,35,1016.9,22.2,23,,S,28,1015.4
,2023-12-21,13.5,28.7,0,,,SSE,44,23:04,19.0,56,8,SE,17,1018.7,25.8,33,6,S,17,1015.8
,2023-12-22,12.9,28.5,0,,,SSE,43,18:17,19.3,50,,SE,15,1017.7,26.2,31,8,S,19,1013.0
,2023-12-23,12.6,31.8,0,,,SSE,39,19:16,19.6,47,,SSE,15,1011.6,29.3,20,1,W,13,1006.0
,2023-12-24,12.3,30.7,0,,,SSE,61,16:24,20.6,51,,ESE,17,1005.9,29.3,25,2,NNE,22,1002.0
,2023-12-25,13.7,21.4,46.4,,,SE,57,06:47,14.5,92,8,SE,28,1000.5,18.4,70,,ESE,20,1000.0
,2023-12-26,13.6,23.5,24.0,,,NNE,41,10:22,18.5,80,7,SSE,15,1007.5,19.3,69,5,SSE,20,1007.7
,2023-12-27,12.6,28.4,9.4,,,SSE,35,18:48,20.6,71,,SE,15,1010.4,27.7,39,8,WSW,13,1008.8
,2023-12-28,14.9,27.8,0,,,SSE,37,22:52,19.0,71,5,SSW,9,1013.1,26.8,38,,W,17,1011.3
,2023-12-29,12.0,26.8,0,,,WSW,41,16:45,16.6,59,4,SSE,13,1013.8,24.9,25,,SSW,15,1010.8
,2023-12-30,9.4,23.1,0,,,S,41,16:50,15.2,60,1,SSW,24,1015.1,22.2,38,4,SSW,20,1014.7
,2023-12-31,10.7,26.8,0,,,SE,39,12:19,16.9,54,,SE,17,1019.9,25.7,29,,SSE,19,1017.4
