"Daily Weather Observations for Bendigo, Victoria for April 2024"
"Prepared at 16:01 UTC on Thursday  7 November 2024   IDCJDW3008.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,15.6,28.1,0,,,NNE,54,14:17,17.9,50,7,SE,11,1016.3,26.9,46,8,SE,15,1011.4
,2024-04-2,12.6,20.2,,,,SW,44,16:37,12.9,85,6,WNW,20,1011.4,19.2,55,8,WSW,17,1012.5
,2024-04-3,6.9,19.5,0,,,WSW,28,13:39,11.7,86,2,SW,9,1021.1,18.0,49,,SW,17,1020.9
,2024-04-4,8.3,21.4,0.2,,,SSE,37,19:24,11.5,77,,SSE,19,1025.0,20.3,42,1,S,15,1023.3
,2024-04-5,11.2,24.1,0,,,SSE,37,18:55,13.8,68,8,SE,20,1026.9,23.1,47,,E,9,1023.1
,2024-04-6,13.8,20.2,3.4,,,SE,28,11:19,14.8,91,8,S,13,1019.0,19.5,62,8,SSE,17,1014.7
,2024-04-7,12.7,23.9,0,,,SW,30,16:49,18.1,75,8,S,15,1012.9,21.7,55,8,SSE,7,1010.6
,2024-04-8,10.1,20.8,0,,,SW,33,22:27,14.7,68,3,SW,9,1012.6,19.5,43,8,W,17,1010.1
,2024-04-9,7.7,17.6,1.0,,,S,50,10:38,11.7,68,,SSW,13,1017.9,16.6,46,,SSW,20,1017.9
,2024-04-10,8.2,19.0,0,,,SW,37,10:00,14.0,66,6,SW,15,1022.2,17.3,57,8,SW,20,1020.3
,2024-04-11,9.1,20.7,0,,,SSE,30,10:38,14.8,64,,SSW,15,1022.8,19.8,44,,SSE,15,1021.1
,2024-04-12,6.3,20.1,0,,,W,33,14:17,13.9,62,,SSW,11,1022.5,19.4,43,,W,13,1019.6
,2024-04-13,5.6,20.6,0,,,SSE,28,09:58,13.5,69,,SSW,17,1023.8,19.5,45,2,WSW,11,1021.3
,2024-04-14,5.4,20.7,0,,,SW,26,13:53,15.1,73,,W,4,1023.9,18.8,52,,SW,17,1021.9
,2024-04-15,4.8,22.4,0,,,WNW,26,14:58,14.9,77,,W,6,1024.8,21.7,35,,WNW,17,1022.1
,2024-04-16,6.9,22.1,0,,,W,26,13:11,15.0,74,,SSE,9,1025.5,20.7,36,,SW,11,1022.7
,2024-04-17,9.4,18.8,0,,,SSW,30,14:47,14.4,70,7,SSE,17,1026.0,18.4,53,8,SSW,15,1023.3
,2024-04-18,6.2,16.9,0,,,SW,39,09:56,12.6,79,1,WSW,15,1022.9,15.6,51,8,SW,19,1019.6
,2024-04-19,9.2,17.9,0,,,S,43,11:36,13.4,71,,SSW,15,1020.7,16.4,56,8,S,22,1021.8
,2024-04-20,6.5,20.6,0,,,SSE,31,03:38,13.4,65,,S,13,1029.4,20.2,46,,SSW,15,1027.5
,2024-04-21,3.2,22.9,0,,,WSW,20,13:37,10.1,76,,SSE,11,1030.3,22.4,28,,NNW,2,1027.1
,2024-04-22,2.5,23.2,0,,,NNE,24,15:05,12.5,71,,S,9,1028.5,22.9,28,,N,11,1024.4
,2024-04-23,4.1,25.9,0,,,SW,50,23:39,13.0,59,,SSE,9,1022.9,25.4,23,,NNW,22,1015.5
,2024-04-24,8.4,16.1,1.4,,,SW,37,13:09,11.3,70,,SW,20,1022.5,14.3,50,,SW,17,1022.8
,2024-04-25,3.4,16.6,0,,,SSW,37,14:27,11.5,80,8,WSW,9,1025.0,15.1,46,4,SSW,19,1024.1
,2024-04-26,6.2,17.4,0,,,SSW,28,09:50,11.6,60,,SW,19,1026.3,16.5,46,,WSW,13,1024.4
,2024-04-27,1.9,18.4,0,,,NNE,22,13:56,11.0,73,,SE,9,1027.0,17.6,44,,N,11,1024.3
,2024-04-28,3.3,22.6,0,,,N,30,14:30,10.8,69,6,SSE,9,1025.0,21.9,32,,N,22,1019.9
,2024-04-29,5.1,18.7,0,,,SSE,35,19:27,13.0,60,2, ,Calm,1022.8,17.6,55,8,SSW,13,1023.1
,2024-04-30,8.1,16.5,0,,,SSE,54,10:13,11.5,58,6,SSE,19,1029.0,15.9,47,,SSE,30,1027.7
