"Daily Weather Observations for Bendigo, Victoria for May 2024"
"Prepared at 13:01 UTC on Wednesday  6 November 2024   IDCJDW3008.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,6.4,19.3,0,,,S,31,16:41,11.8,63,,SE,19,1031.8,18.7,40,,SSE,11,1029.4
,2024-05-2,6.9,19.6,0,,,SSE,26,02:30,11.8,73,,SE,15,1032.5,18.9,39,,N,11,1029.1
,2024-05-3,6.1,20.3,0,,,SSE,30,22:28,12.8,68,,SE,11,1030.1,18.0,46,8,SE,9,1026.1
,2024-05-4,9.6,19.1,0,,,SSE,26,20:17,10.9,58,8,SSE,13,1025.6,18.0,45,1,SSE,9,1023.0
,2024-05-5,3.9,22.3,0,,,SSE,44,23:55,12.2,74,,SSE,13,1025.9,21.8,30,,S,19,1024.2
,2024-05-6,9.5,21.8,0,,,SSE,37,00:07,13.6,72,,SSE,22,1031.3,21.1,33,,SE,13,1028.9
,2024-05-7,5.5,20.8,0,,,SSE,26,19:20,12.3,73,,SSE,9,1033.1,20.1,36,,WSW,7,1029.6
,2024-05-8,6.8,19.3,0,,,SSE,24,00:50,8.3,82,,ENE,13,1031.2,18.5,49,,ESE,11,1029.1
,2024-05-9,9.0,15.2,0,,,ESE,22,18:39,14.1,69,8,SSE,9,1031.1,13.4,91,8,SE,13,1029.4
,2024-05-10,10.3,15.8,7.4,,,ESE,22,11:42,11.0,91,,SSE,15,1029.1,15.7,79,8,E,11,1027.2
,2024-05-11,11.8,20.4,16.8,,,SE,24,11:25,13.1,94,8,SSE,15,1027.0,19.1,55,8,SE,13,1024.5
,2024-05-12,7.8,21.2,0,,,WNW,20,15:52,14.9,67,,SSE,6,1024.2,20.4,47,,WNW,13,1021.9
,2024-05-13,5.5,20.4,0,,,WSW,28,12:15,13.2,88,, ,Calm,1023.7,20.0,43,,WNW,13,1021.7
,2024-05-14,3.2,16.5,0,,,SW,24,11:29,11.2,70,7,SSW,7,1029.0,15.8,53,,SSW,11,1028.1
,2024-05-15,2.0,18.2,0,,,WSW,20,10:37,9.5,85,,SSE,2,1030.0,17.9,44,,WNW,6,1027.6
,2024-05-16,3.0,20.2,0,,,WSW,20,11:42,14.0,65,,W,7,1029.5,19.9,44,,W,11,1027.0
,2024-05-17,3.6,17.7,0,,,WSW,44,16:50,9.7,97,,S,6,1027.2,16.7,54,8,WSW,22,1025.9
,2024-05-18,5.0,13.9,0.8,,,SSE,39,10:34,8.7,62,,S,15,1032.1,13.7,38,,S,15,1030.2
,2024-05-19,0.8,15.1,0,,,WSW,30,15:33,6.7,78,8,NNW,7,1026.9,14.9,64,8,WSW,13,1023.2
,2024-05-20,6.4,14.7,0.8,,,S,30,14:05,10.9,81,,SSW,9,1027.3,13.8,63,8,S,19,1026.8
,2024-05-21,4.9,15.6,0,,,SSE,35,09:59,10.7,73,,SSE,17,1030.0,12.4,59,,S,19,1028.4
,2024-05-22,2.1,17.2,0.2,,,SSE,17,09:24,9.6,89,,SSW,2,1028.5,17.0,49,1,NW,6,1025.9
,2024-05-23,0.9,17.2,0,,,SSE,20,20:24,11.5,78,,E,6,1029.0,16.3,47,,W,11,1026.6
,2024-05-24,3.7,16.3,0,,,SSE,20,09:04,10.4,75,,SSE,13,1028.3,15.5,56,5,SE,9,1026.0
,2024-05-25,5.1,16.1,0,,,SSE,17,00:02,8.6,96,,SSE,9,1028.2,15.0,50,,SE,7,1025.4
,2024-05-26,-1.4,17.1,0,,,NNE,17,12:02,6.7,95,,SSE,9,1027.2,16.3,44,,N,7,1024.6
,2024-05-27,-1.0,17.8,0.2,,,WNW,19,11:41,12.3,65,,N,6,1027.4,16.6,43,,W,11,1026.1
,2024-05-28,-0.9,18.0,0,,,N,19,13:13,8.5,91,, ,Calm,1029.1,17.2,43,,W,2,1026.6
,2024-05-29,1.3,18.4,0,,,NNE,30,14:42,7.8,83,,SE,7,1027.0,18.1,43,,NNE,19,1022.4
,2024-05-30,6.1,18.1,0,,,N,46,11:21,14.6,69,3,NNE,28,1016.7,15.2,80,8,N,17,1012.1
,2024-05-31,9.7,15.5,24.4,,,NW,39,00:07,10.8,86,4,NW,15,1014.6,15.2,58,7,NW,20,1015.4
