"Daily Weather Observations for Bendigo, Victoria for July 2024"
"Prepared at 13:01 UTC on Monday  4 November 2024   IDCJDW3008.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,-0.1,10.7,0,,,S,28,15:19,6.0,88,7, ,Calm,1028.2,10.3,53,7,SSE,17,1027.6
,2024-07-2,0.5,13.1,0,,,SSE,31,10:32,5.7,78,,SSE,19,1033.0,12.4,45,3,S,9,1031.9
,2024-07-3,-0.9,15.2,0,,,SSE,24,22:28,6.2,70,,SSE,11,1036.6,15.0,44,,S,11,1035.0
,2024-07-4,2.4,16.5,0.2,,,SSE,33,17:47,7.6,68,,SSE,13,1038.4,16.5,39,,SSE,13,1035.5
,2024-07-5,4.7,15.9,0,,,SSE,28,18:35,7.5,84,,SSE,17,1039.6,15.5,54,,SSE,9,1037.9
,2024-07-6,3.1,14.9,0,,,SSE,26,00:23,5.5,81,,SSE,17,1040.4,13.3,53,,ESE,9,1035.9
,2024-07-7,0.7,14.5,0.2,,,ENE,31,13:12,5.8,80,,SE,13,1033.8,14.4,53,,ENE,17,1028.3
,2024-07-8,5.5,11.3,0,,,ENE,31,12:11,10.3,75,8,ENE,15,1023.0,11.0,96,8,ENE,13,1017.8
,2024-07-9,8.8,15.0,15.4,,,WSW,31,15:11,10.4,93,8,SW,7,1020.7,13.9,73,8,SW,13,1020.7
,2024-07-10,2.3,13.5,0.2,,,WNW,20,12:41,6.8,96,,SW,11,1022.6,13.1,54,,NNW,6,1020.5
,2024-07-11,1.7,11.4,0,,,NNE,41,14:43,7.1,87,8,NNE,19,1020.0,11.3,76,8,NNE,24,1014.5
,2024-07-12,7.1,14.1,15.0,,,W,26,13:44,9.4,100,7,SSE,6,1015.4,13.9,57,,W,11,1014.5
,2024-07-13,1.6,13.5,0,,,SW,33,11:29,7.2,100,, ,Calm,1017.8,12.4,59,8,SW,19,1016.2
,2024-07-14,2.2,11.7,0,,,SW,35,13:14,6.4,94,,SW,9,1016.7,10.6,59,8,SW,17,1013.9
,2024-07-15,1.5,11.7,0,,,W,52,15:41,6.7,85,8,WSW,17,1010.0,11.3,58,8,WSW,22,1006.8
,2024-07-16,6.7,14.4,0.4,,,W,54,01:28,11.5,80,3,SW,17,1005.8,14.0,63,8,SSW,17,1006.9
,2024-07-17,4.1,14.5,0.2,,,SW,26,16:06,8.8,90,8,SW,7,1012.6,14.1,64,8,WSW,15,1011.4
,2024-07-18,2.8,11.4,0,,,W,30,12:13,6.5,88,1,W,9,1017.8,10.2,59,8,SW,17,1016.1
,2024-07-19,4.6,10.9,0,,,NNW,61,23:31,7.0,78,8,NNE,19,1013.0,8.7,82,8,N,17,1007.0
,2024-07-20,6.8,11.8,6.0,,,WSW,61,16:56,7.3,75,8,WNW,28,1001.2,11.5,69,8,W,35,1005.4
,2024-07-21,0.8,12.0,0,,,NNW,28,14:28,6.4,98,8,WNW,7,1020.2,11.0,84,8,NNW,15,1019.9
,2024-07-22,6.3,15.9,0.2,,,NNW,28,14:42,9.6,93,,NNW,9,1024.4,15.3,70,8,N,20,1023.1
,2024-07-23,1.3,16.4,0,,,N,31,13:52,7.4,97,, ,Calm,1025.9,16.0,41,1,NNW,19,1022.9
,2024-07-24,0.5,14.8,0,,,NNE,44,14:50,1.5,95,,SSE,9,1021.5,14.1,58,1,NNE,28,1015.6
,2024-07-25,7.2,11.5,0,,,NNE,43,01:47,9.2,87,8, ,Calm,1011.5,10.7,84,8,N,17,1011.0
,2024-07-26,3.2,14.9,2.6,,,N,31,15:25,4.9,99,8,NE,6,1020.1,14.6,64,8,N,20,1017.2
,2024-07-27,3.4,10.2,0,,,SSW,54,16:43,6.4,87,1,NNW,7,1017.9,8.1,89,8,SW,11,1017.1
,2024-07-28,0.3,11.2,3.6,,,SW,39,11:18,5.3,84,,WSW,22,1025.2,9.9,55,1,SW,24,1025.8
,2024-07-29,0.2,13.5,0.2,,,SW,31,10:41,7.0,85,,NNE,6,1031.9,12.7,61,8,WSW,19,1031.3
,2024-07-30,0.0,16.7,0,,,WSW,26,11:55,6.2,99,, ,Calm,1036.9,15.9,50,2,ESE,6,1034.6
,2024-07-31,-1.7,16.5,0.2,,,SSE,17,00:05,5.9,97,, ,Calm,1036.9,15.2,36,,SW,6,1034.4
