"Daily Weather Observations for Bendigo, Victoria for October 2024"
"Prepared at 13:01 UTC on Sunday 10 August 2025   IDCJDW3008.202410"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-10-1,3.9,19.4,0,,,SSW,33,10:36,14.5,65,1,SW,20,1025.6,17.6,47,,SSW,15,1024.0
,2024-10-2,4.0,21.9,0,,,SE,30,08:33,13.3,59,,SE,19,1028.6,21.1,40,2,E,15,1025.4
,2024-10-3,8.4,24.6,0,,,ENE,44,15:18,16.3,67,,ENE,17,1026.8,23.3,37,,NE,24,1021.8
,2024-10-4,12.8,22.1,3.2,,,NE,46,13:34,15.5,73,8,NE,20,1012.7,20.0,62,,NE,17,1008.7
,2024-10-5,6.0,18.8,0.2,,,NW,46,13:29,12.7,80,7,NW,13,1008.3,13.7,89,8,NW,20,1006.1
,2024-10-6,10.1,20.2,1.4,,,W,46,15:27,13.6,72,1,WNW,20,1010.9,18.2,45,,W,26,1013.2
,2024-10-7,10.3,20.5,0,,,W,57,12:01,13.5,79,8,WNW,19,1016.9,20.0,47,8,WNW,26,1016.1
,2024-10-8,1.2,16.2,0,,,SSE,43,15:14,9.4,60,,SSE,19,1025.7,15.0,37,,S,20,1024.7
,2024-10-9,3.2,20.4,0,,,ENE,30,11:53,9.5,60,,SE,15,1025.9,20.0,34,,ESE,7,1020.7
,2024-10-10,4.9,24.6,0,,,SSE,35,18:41,12.9,68,1,NE,13,1020.7,23.6,25,,W,15,1019.2
,2024-10-11,6.7,20.1,0,,,SSW,43,15:51,14.7,48,,SW,20,1025.4,19.0,39,,SW,24,1023.6
,2024-10-12,6.8,22.0,0,,,SSE,31,13:00,16.3,41,,SSE,17,1027.2,21.0,30,,SE,15,1024.5
,2024-10-13,5.4,24.9,0,,,NNE,37,11:09,15.0,43,,ENE,20,1023.3,24.0,22,7,N,20,1018.3
,2024-10-14,13.1,25.1,0,,,SSE,37,18:03,20.7,42,,E,11,1017.1,23.9,39,2,E,20,1015.9
,2024-10-15,11.0,25.8,0,,,ENE,44,08:09,21.3,48,,NE,24,1020.1,23.5,44,,ENE,19,1016.2
,2024-10-16,14.5,21.5,2.8,,,NNE,33,15:02,15.4,67,8,NE,15,1018.8,20.8,59,8,NNW,17,1015.8
,2024-10-17,10.8,23.7,0.2,,,NNE,37,12:08,20.0,64,,ENE,17,1014.9,19.5,75,8,ENE,13,1010.6
,2024-10-18,16.6,22.5,23.0,,,SW,61,17:32,18.3,98,,N,24,1000.1,18.5,71,8,WNW,31,999.0
,2024-10-19,13.3,22.8,4.0,,,SSW,43,02:36,14.8,74,8,SW,20,1015.4,21.7,36,,SSW,15,1016.5
,2024-10-20,8.5,22.1,0,,,SSE,37,09:36,14.2,69,4,SSE,20,1022.6,21.3,45,,S,24,1021.4
,2024-10-21,8.8,27.0,0,,,S,30,23:13,21.2,49,,NE,19,1019.8,26.0,29,,N,11,1017.2
,2024-10-22,10.5,31.5,0,,,NNE,33,13:23,18.7,60,,ENE,9,1014.6,29.2,23,,NNW,13,1011.3
,2024-10-23,11.7,24.7,0,,,W,54,16:33,13.1,79,8,N,4,1011.3,23.0,18,1,NW,17,1008.2
,2024-10-24,7.3,18.7,0,,,SW,44,10:24,13.5,54,,SW,26,1016.4,17.4,31,4,SSW,24,1014.8
,2024-10-25,6.9,18.9,0,,,SW,37,23:29,11.0,49,,SSW,20,1020.6,17.4,33,3,SE,20,1019.4
,2024-10-26,3.5,22.5,0,,,NNE,24,12:20,11.7,48,,ESE,11,1020.9,21.0,17,,NNW,13,1017.5
,2024-10-27,8.5,29.1,0,,,WNW,48,12:48,19.9,35,,NNW,11,1017.0,28.2,15,,W,28,1013.5
,2024-10-28,9.3,22.6,0,,,SW,43,14:17,14.3,56,1,SSW,19,1022.2,20.9,32,,SW,15,1021.9
,2024-10-29,4.9,23.4,0,,,SW,39,15:40,13.3,62,,SE,17,1025.8,22.8,28,,SW,19,1023.0
,2024-10-30,5.5,27.2,0,,,SSW,39,16:02,13.9,61,,WNW,4,1019.2,25.2,24,,W,17,1014.7
,2024-10-31,10.2,22.1,0,,,SW,39,16:35,13.7,63,6,SW,19,1013.9,20.1,34,,SSW,20,1012.5
