"Daily Weather Observations for Bendigo, Victoria for November 2024"
"Prepared at 05:36 UTC on Wednesday 27 November 2024   IDCJDW3008.202411"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-11-1,6.1,19.9,0,,,SSE,41,12:30,12.0,54,,S,24,1018.4,18.4,31,,SSE,20,1018.4
,2024-11-2,6.3,26.5,0,,,N,43,14:22,14.4,50,,ENE,11,1019.5,25.3,11,,N,24,1014.1
,2024-11-3,14.2,27.7,0,,,N,37,05:34,23.8,22,8,NW,20,1007.0,26.7,27,,WSW,20,1007.6
,2024-11-4,10.8,22.6,0,,,SSW,35,10:49,14.8,49,1,SSW,19,1014.5,20.6,33,,WSW,15,1014.2
,2024-11-5,8.0,26.8,0,,,WNW,30,16:03,17.0,47,,E,9,1016.3,25.4,22,,NW,15,1012.3
,2024-11-6,11.4,33.9,0,,,NW,46,13:55,22.5,35,1,NE,13,1008.4,29.7,31,7,WNW,22,1003.9
,2024-11-7,9.9,23.6,0.8,,,W,48,17:55,15.8,49,,SW,13,1010.6,21.8,31,8,NW,22,1007.6
,2024-11-8,5.8,21.0,0.8,,,NW,48,09:19,13.5,68,1,NW,22,1012.5,19.9,40,8,WNW,20,1012.8
,2024-11-9,3.9,19.1,0,,,NNW,26,13:40,13.2,49,,NE,2,1020.5,18.1,29,8,NNW,17,1018.8
,2024-11-10,7.1,25.6,0,,,SSE,28,20:53,15.9,54,,SSE,17,1022.8,24.3,25,,SW,7,1019.8
,2024-11-11,10.9,28.6,0,,,SSE,28,01:09,17.9,51,,E,15,1019.9,27.3,23,5,NNE,9,1016.3
,2024-11-12,15.4,27.5,0,,,N,44,15:47,20.4,45,8,SSE,11,1015.2,25.8,31,7,NE,9,1011.8
,2024-11-13,14.5,23.5,3.4,,,WSW,43,13:30,18.9,72,, ,Calm,1011.3,22.6,50,6,SW,20,1012.2
,2024-11-14,7.2,24.4,0,,,SSE,39,16:14,14.0,54,,SSE,13,1018.0,22.8,24,,SSE,22,1016.3
,2024-11-15,7.5,27.0,0,,,SSE,33,07:06,15.3,51,,SE,17,1019.5,24.1,21,,NNE,9,1016.7
,2024-11-16,8.2,34.4,0,,,NNE,54,12:39,20.4,48,,NE,19,1016.6,33.1,15,,NNW,26,1010.9
,2024-11-17,20.0,25.9,0,,,W,59,15:09,23.6,27,8,NNW,19,1002.9,21.0,31,,W,28,1007.2
,2024-11-18,10.9,22.4,0.2,,,WSW,43,14:16,14.4,51,7,W,24,1018.9,21.5,29,2,WSW,22,1019.0
,2024-11-19,6.9,25.2,0,,,S,41,12:49,13.9,52,,SSE,15,1024.0,23.6,24,,ESE,13,1020.7
,2024-11-20,8.3,28.0,0,,,SSE,35,06:34,15.7,49,,SSE,19,1023.0,26.5,20,,ESE,9,1020.2
,2024-11-21,10.4,33.4,0,,,NW,44,15:14,20.8,48,,E,13,1022.0,31.6,10,,N,17,1018.7
,2024-11-22,17.0,36.2,0,,,NNW,39,10:26,26.0,38,,ENE,7,1020.3,34.4,16,8,N,11,1016.9
,2024-11-23,18.9,36.2,0,,,WSW,63,16:57,27.1,30,2,N,9,1016.8,34.1,15,7,NNW,20,1013.6
,2024-11-24,18.9,21.3,2.8,,,SE,28,20:00,19.2,90,8,SE,7,1016.5,21.1,89,8,NNE,11,1015.3
,2024-11-25,17.4,21.0,9.8,,,SE,30,23:31,18.0,95,8,SE,7,1013.8,20.1,88,8,NE,6,1011.7
,2024-11-26,16.6,29.3,4.4,,,ENE,35,21:09,20.7,82,,S,7,1009.2,26.3,64,3,W,9,1006.6
,2024-11-27,19.6,,16.0,,,,,,20.7,91,8,NNW,17,1003.3,21.9,86,3,N,11,1001.7
