"Daily Weather Observations for Bendigo, Victoria for January 2025"
"Prepared at 16:01 UTC on Thursday  7 August 2025   IDCJDW3008.202501"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-01-1,12.7,30.2,0,,,W,46,12:25,21.3,47,,SW,11,1014.3,28.9,17,,SSW,22,1013.2
,2025-01-2,12.0,26.6,0,,,SSE,41,15:00,17.0,47,,S,22,1019.5,25.3,22,,SSE,26,1018.0
,2025-01-3,11.4,33.2,0,,,SSE,35,01:00,19.8,49,,E,15,1018.0,31.2,18,,NNW,15,1014.0
,2025-01-4,13.1,37.8,0,,,WNW,41,11:54,26.2,30,,ESE,9,1012.8,35.6,8,,W,15,1010.3
,2025-01-5,21.3,39.3,0,,,NNW,46,16:41,26.6,23,7,ENE,9,1012.2,37.7,8,8,NNW,13,1009.4
,2025-01-6,18.9,20.5,3.6,,,SSE,44,17:33,19.0,84,8,WSW,20,1015.8,18.4,76,,S,17,1016.2
,2025-01-7,11.5,28.4,6.0,,,SSE,48,08:50,18.2,58,,SSE,28,1020.2,27.4,27,,E,19,1017.9
,2025-01-8,13.4,31.4,0,,,SSE,30,23:03,21.1,53,,NE,15,1019.2,29.4,29,,NE,13,1015.1
,2025-01-9,14.5,30.9,0,,,NE,30,12:27,20.1,52,,ENE,17,1016.2,30.0,22,,E,11,1013.1
,2025-01-10,19.7,33.3,0,,,ESE,35,18:27,26.0,36,,ENE,13,1014.8,30.5,28,8,S,15,1012.0
,2025-01-11,17.0,34.7,0,,,SSE,33,20:48,26.0,50,,ENE,17,1011.5,33.2,21,1,N,7,1007.5
,2025-01-12,19.5,29.5,0,,,ENE,37,01:50,24.6,56,7,ENE,17,1007.9,27.2,51,8,SSE,19,1006.1
,2025-01-13,16.9,35.1,0.2,,,SSE,43,18:22,22.7,61,,SE,13,1006.9,33.6,20,2,WNW,11,1003.5
,2025-01-14,16.4,36.7,0.2,,,SSE,33,13:28,22.8,50,,SSE,13,1007.0,34.6,16,,WNW,13,1003.3
,2025-01-15,21.1,29.0,0,,,SW,57,18:15,23.2,53,8,SW,4,997.6,26.7,40,6,WSW,28,997.5
,2025-01-16,10.8,25.6,0,,,SSE,48,13:41,16.2,54,,SW,19,1009.9,23.4,30,,SSW,20,1010.3
,2025-01-17,14.1,27.9,0,,,S,54,09:39,20.2,57,1,S,30,1016.7,26.9,26,,S,30,1016.4
,2025-01-18,13.3,33.0,0,,,SE,31,23:23,19.9,51,,SE,17,1019.8,30.1,17,,SSW,7,1017.4
,2025-01-19,15.4,34.8,0,,,NE,33,02:17,23.0,48,,NNE,20,1018.8,33.1,21,,WSW,9,1014.1
,2025-01-20,17.9,34.8,0,,,ENE,24,10:32,25.4,37,8,E,15,1011.4,33.6,21,,SSW,6,1006.8
,2025-01-21,20.8,39.6,0,,,SW,43,18:44,28.1,35,1,ENE,15,1007.2,38.5,12,,W,15,1002.8
,2025-01-22,17.6,26.0,0,,,S,57,10:35,18.8,37,,S,30,1008.9,24.7,35,,S,35,1010.0
,2025-01-23,11.8,25.5,0,,,SSE,46,18:17,16.9,53,7,SE,15,1008.7,23.9,29,6,W,20,1005.8
,2025-01-24,11.1,27.6,0,,,W,44,15:11,15.9,54,,S,24,1011.2,25.4,25,,SW,19,1010.2
,2025-01-25,12.8,31.2,0,,,SSE,44,21:46,18.5,60,1,S,9,1013.6,28.5,28,,W,19,1011.5
,2025-01-26,13.9,32.6,0,,,SSE,35,23:05,19.8,56,,S,13,1013.2,30.2,23,,WSW,11,1010.1
,2025-01-27,16.4,40.9,0,,,WNW,61,17:40,24.8,45,,ENE,9,1008.1,39.3,14,,N,31,1003.3
,2025-01-28,16.0,29.6,0,,,SSE,50,20:01,18.0,52,,SSW,20,1012.3,27.3,23,,SSW,22,1013.3
,2025-01-29,10.5,27.7,0,,,SSE,44,18:28,16.3,50,,SSE,22,1016.1,26.1,23,,SE,20,1013.5
,2025-01-30,12.1,27.3,0,,,S,44,08:58,16.5,52,,SSE,22,1013.5,25.5,27,,SSE,22,1012.4
,2025-01-31,12.3,31.7,0,,,SE,43,17:58,18.1,54,,SSE,19,1016.3,30.0,19,,SSE,19,1014.5
