"Daily Weather Observations for Bendigo, Victoria for February 2025"
"Prepared at 13:00 UTC on Wednesday 20 August 2025   IDCJDW3008.202502"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-02-1,14.8,36.9,0,,,SSE,41,00:50,20.8,58,,SE,17,1017.9,34.8,25,,ENE,15,1013.6
,2025-02-2,20.8,37.9,0,,,SSE,69,21:58,26.6,43,,ENE,17,1015.7,35.7,28,,NNE,19,1012.3
,2025-02-3,20.0,37.0,5.8,,,SSE,67,23:06,26.4,49,3,E,15,1012.4,35.6,22,6,NE,17,1010.8
,2025-02-4,23.1,38.8,0,,,,,,26.9,49,8,SE,13,1008.6,37.9,19,,WSW,15,1006.4
,2025-02-5,15.7,33.4,0,,,S,43,04:21,18.6,61,,SSE,24,1011.4,30.9,30,,NNE,7,1009.4
,2025-02-6,16.1,36.8,0,,,W,39,17:23,22.7,60,,E,11,1011.1,35.1,19,,WNW,19,1008.6
,2025-02-7,20.8,36.6,0,,,SSE,50,18:06,27.7,38,,E,9,1006.0,33.9,19,,SW,22,1004.2
,2025-02-8,14.9,28.1,0,,,SSE,43,08:03,17.8,62,,SSE,28,1009.5,27.4,30,,S,17,1007.5
,2025-02-9,16.1,30.6,0,,,S,50,18:38,20.0,65,4,SE,15,1009.0,29.2,20,2,NE,17,1007.0
,2025-02-10,16.9,31.2,0,,,SSE,44,16:46,20.9,62,,SSE,26,1011.9,30.8,29,2,S,24,1009.5
,2025-02-11,16.6,33.7,0,,,SSE,37,00:15,21.9,60,,SE,13,1011.6,31.5,24,,SE,20,1008.6
,2025-02-12,19.2,36.2,0,,,NE,30,17:22,24.2,54,,ENE,19,1010.9,34.4,23,,ESE,11,1007.2
,2025-02-13,23.3,35.2,0,,,N,54,12:09,27.0,46,,NNE,22,1005.4,34.7,28,2,N,24,1001.3
,2025-02-14,14.4,27.2,0,,,SSW,46,19:31,18.5,59,,SSW,15,1007.0,24.1,35,7,WSW,22,1004.7
,2025-02-15,10.7,19.9,0,,,WSW,57,15:24,13.9,61,8,WNW,13,1008.5,19.2,36,8,SW,22,1009.0
,2025-02-16,7.4,20.8,0,,,SSE,43,16:42,16.1,39,,S,20,1017.4,19.4,31,,S,19,1016.7
,2025-02-17,6.5,27.0,0,,,ESE,26,11:50,13.7,59,,SSE,11,1020.9,23.9,21,,ESE,11,1018.0
,2025-02-18,11.7,27.5,0,,,S,54,12:46,17.9,47,,S,11,1016.1,26.0,24,,SW,22,1013.7
,2025-02-19,11.0,24.9,0,,,SSE,46,07:08,14.9,57,,SSE,26,1016.4,24.0,33,,SE,20,1015.2
,2025-02-20,12.2,25.7,0,,,S,44,08:15,16.1,51,,SSE,24,1020.4,24.7,26,,SSE,24,1019.3
,2025-02-21,11.8,31.8,0,,,SSE,35,01:54,17.9,53,,E,13,1022.3,30.2,26,,NNE,17,1018.4
,2025-02-22,17.9,37.9,0,,,N,52,12:21,24.5,45,2,ENE,19,1017.3,35.1,23,2,N,31,1011.8
,2025-02-23,22.8,32.9,1.2,,,NE,54,00:51,24.6,57,8,ENE,9,1011.8,30.9,29,5,W,24,1011.0
,2025-02-24,11.4,29.5,0,,,SSE,41,20:04,16.6,62,,SSE,9,1020.3,27.4,27,,SSW,19,1019.3
,2025-02-25,13.5,32.9,0,,,SSE,41,05:32,17.4,56,,SE,19,1022.6,30.9,23,,ENE,11,1019.6
,2025-02-26,16.5,36.2,0,,,WSW,39,15:45,21.6,54,,ESE,11,1018.6,34.2,14,,WNW,20,1015.1
,2025-02-27,13.5,34.5,0,,,WNW,41,15:49,18.8,62,,SSE,17,1016.1,32.2,18,,NW,17,1012.7
,2025-02-28,17.7,32.4,0,,,NW,41,16:07,21.8,49,,W,11,1015.0,30.4,28,,WSW,20,1012.6
