"Daily Weather Observations for Bendigo, Victoria for July 2025"
"Prepared at 13:01 UTC on Thursday 21 August 2025   IDCJDW3008.202507"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bendigo Airport {station 081123}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2025-07-1,3.6,14.1,0,,,S,48,11:49,9.9,74,2,S,19,1024.5,13.4,60,8,SSE,24,1021.4
,2025-07-2,4.6,14.8,0,,,S,44,10:01,9.6,67,,SW,19,1018.3,14.1,47,,SSE,20,1016.6
,2025-07-3,6.6,16.9,0.4,,,SSE,30,10:36,9.8,81,8,SSW,13,1018.2,15.2,49,6,SSE,15,1016.3
,2025-07-4,0.0,14.0,0.2,,,N,28,14:33,5.0,97,,SSE,9,1020.5,13.5,53,3,NE,15,1018.1
,2025-07-5,3.1,15.2,0.2,,,ENE,35,15:10,6.0,98,7,ESE,9,1020.4,15.1,55,,NE,20,1016.3
,2025-07-6,5.9,11.6,0.2,,,SE,39,09:51,8.6,85,8,SE,2,1016.2,10.9,86,8,ESE,13,1014.4
,2025-07-7,1.6,15.9,11.2,,,NNW,24,15:49,7.5,100,,WSW,4,1018.7,14.9,64,4,NNW,17,1016.0
,2025-07-8,4.0,,0,,,,,,10.0,72,8,NNE,26,1004.8,9.6,81,7,NW,17,1000.7
,2025-07-9,2.8,11.2,4.6,,,N,37,15:31,3.6,100,8,NNE,9,1007.9,10.5,64,8,N,24,1002.9
,2025-07-10,3.6,11.7,11.0,,,W,48,13:17,6.5,90,4,WNW,17,1002.9,11.0,62,8,W,26,1007.8
,2025-07-11,6.5,15.3,1.6,,,W,39,12:08,9.0,99,8,NNW,9,1018.6,14.2,68,8,WNW,22,1018.7
,2025-07-12,1.8,13.3,0.4,,,WNW,24,11:47,5.4,100,, ,Calm,1026.7,13.0,79,,NNW,6,1024.8
,2025-07-13,5.2,14.9,0,,,N,44,13:47,8.5,81,6,N,17,1018.4,14.1,55,8,NNW,24,1010.3
,2025-07-14,2.0,12.8,1.6,,,W,24,11:10,6.0,94,6,W,7,1016.3,11.3,54,3,NW,15,1013.1
,2025-07-15,3.8,,0.2,,,,,,6.0,93,8,WNW,9,1012.5,10.9,63,,SW,7,1013.0
,2025-07-16,0.6,12.7,0,,,WNW,28,13:56,6.4,98,7,NNE,9,1018.5,11.7,78,8,WNW,11,1017.8
,2025-07-17,5.0,12.4,0,,,NW,22,10:10,7.0,86,3,NNE,6,1018.0,10.6,80,4,W,6,1017.1
,2025-07-18,-0.9,13.7,2.0,,,NW,24,12:26,3.6,99,, ,Calm,1021.7,13.6,56,7,WNW,9,1019.1
,2025-07-19,-2.0,14.1,0,,,N,41,13:40,3.5,98,, ,Calm,1018.0,12.8,56,7,NW,19,1015.3
,2025-07-20,-0.5,13.2,0,,,ENE,17,13:00,5.2,100,1,S,7,1023.8,12.3,51,7,W,4,1021.8
,2025-07-21,1.1,14.4,0,,,NE,37,14:13,7.2,83,7,ENE,11,1021.2,14.1,50,,NNE,20,1015.2
,2025-07-22,7.2,12.3,3.0,,,N,54,10:51,10.2,89,8,NNE,28,1006.8,11.2,82,8,NNW,20,1003.0
,2025-07-23,2.5,11.6,12.8,,,WNW,35,13:21,4.4,97,8,W,13,1014.4,10.5,65,5,W,11,1014.7
,2025-07-24,-2.1,13.1,0.2,,,NW,22,12:02,2.8,97,,SSE,7,1023.1,12.4,58,8,NW,9,1020.6
,2025-07-25,1.3,8.7,0,,,NE,54,20:05,6.5,83,8,ENE,17,1018.8,8.3,73,,ENE,22,1013.7
,2025-07-26,6.2,10.1,28.2,,,NNE,46,02:00,8.9,94,,NNE,22,1000.0,9.2,98,,N,24,998.6
,2025-07-27,8.0,13.0,13.8,,,WNW,33,12:48,8.3,99,8,NW,11,1001.1,11.7,90,8,WNW,13,999.7
,2025-07-28,7.1,14.6,1.8,,,W,39,13:26,9.8,94,8,W,15,1008.6,13.8,53,,W,24,1009.8
,2025-07-29,0.4,,0,,,,,,5.4,99,8,SSE,9,1016.4,10.7,72,8,NNE,6,1014.3
,2025-07-30,3.0,13.1,0.2,,,S,39,16:05,8.1,79,1,S,11,1018.0,12.3,53,3,SSE,24,1017.8
,2025-07-31,3.8,14.3,0,,,SE,43,10:20,8.8,73,,SSE,20,1025.4,13.2,53,4,SE,20,1023.9
