"Daily Weather Observations for Sale, Victoria for August 2024"
"Prepared at 13:01 UTC on Tuesday 12 August 2025   IDCJDW3022.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from East Sale {station 085072}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,-0.1,14.5,0,,,,,,5.1,96,,,,,14.1,56,,,,
,2024-08-2,-2.2,15.4,0,,,,,,2.6,98,,,,,14.4,60,,,,
,2024-08-3,-0.2,14.6,0,,,,,,8.5,79,,,,,13.7,67,,,,
,2024-08-4,1.3,15.0,0.2,,,,,,3.4,98,,,,,15.0,57,,,,
,2024-08-5,1.9,15.2,0,,,,,,4.1,97,,,,,12.7,70,,,,
,2024-08-6,-0.1,16.0,0,,,,,,5.6,98,,,,,15.2,52,,,,
,2024-08-7,3.8,17.8,0,,,,,,11.3,83,,,,,17.5,52,,,,
,2024-08-8,0.5,16.4,0,,,,,,4.6,93,,,,,14.9,55,,,,
,2024-08-9,4.6,17.7,0,,,,,,12.6,76,,,,,17.5,54,,,,
,2024-08-10,4.1,17.9,0,,,,,,9.4,91,,,,,17.5,55,,,,
,2024-08-11,2.8,19.0,0,,,,,,8.2,98,,,,,17.8,53,,,,
,2024-08-12,1.4,18.9,0,,,,,,5.2,98,,,,,18.4,58,,,,
,2024-08-13,1.4,20.3,0,,,,,,7.4,97,,,,,19.9,54,,,,
,2024-08-14,3.6,22.8,0,,,,,,12.2,79,,,,,21.6,45,,,,
,2024-08-15,3.8,20.3,0,,,,,,10.8,87,,,,,20.0,58,,,,
,2024-08-16,2.6,18.1,0,,,,,,9.3,98,,,,,16.7,70,,,,
,2024-08-17,6.5,17.0,4.2,,,,,,10.2,95,,,,,16.9,59,,,,
,2024-08-18,9.5,15.2,2.2,,,,,,11.6,76,,,,,13.7,67,,,,
,2024-08-19,1.0,15.5,0,,,,,,5.4,98,,,,,14.9,65,,,,
,2024-08-20,3.4,15.0,0.2,,,,,,7.8,98,,,,,13.3,96,,,,
,2024-08-21,5.7,18.3,4.2,,,,,,15.0,79,,,,,16.7,65,,,,
,2024-08-22,7.5,18.0,0.6,,,,,,12.2,79,,,,,17.7,47,,,,
,2024-08-23,3.2,20.5,0,,,,,,11.4,87,,,,,19.8,48,,,,
,2024-08-24,9.8,22.9,2.0,,,,,,19.6,64,,,,,21.9,50,,,,
,2024-08-25,4.3,24.1,0,,,,,,11.5,91,,,,,22.6,58,,,,
,2024-08-26,11.4,17.5,4.8,,,,,,15.3,66,,,,,16.5,63,,,,
,2024-08-27,5.3,21.6,0,,,,,,17.0,54,,,,,18.7,48,,,,
,2024-08-28,12.9,18.0,0,,,,,,14.7,49,,,,,15.5,49,,,,
,2024-08-29,8.2,19.1,1.8,,,,,,14.0,59,,,,,17.1,55,,,,
,2024-08-30,9.5,19.7,1.2,,,,,,15.6,64,,,,,18.5,41,,,,
,2024-08-31,12.1,19.5,0,,,,,,15.5,50,,,,,18.1,46,,,,
